'ai'guo'zhi'min'neng'wu'wei'hu 爱国治民能无为乎
'bo'xi'ruo'wu'zhi 泊兮若无止
'bu'shi'qi'suo'zhe'jiu 不失其所者久
'bu'yan'zhi'jiao'wu'wei'zhi'yi'tian'xia'xi'ji'zhi 不言之教无为之益天下希及之
'cao'mu'zhi'sheng'ye'rou'cui'qi'si'ye'ku'gao 草木之生也柔脆其死也枯槁
'chi'er'ying'zhi'bu'ru'qi'yi 持而盈之不如其已
'chong'ru'ruo'jing'gui'da'huan'ruo'shen 宠辱若惊贵大患若身
'chuai'er'rui'zhi'bu'ke'chang'bao 揣而锐之不可长保
'da'bai'ruo'ru 大白若辱
'da'cheng'ruo'que'qi'yong'bu'bi 大成若缺其用不弊
'da'fang'wu'yu 大方无隅
'da'qi'wan'cheng 大器晚成
'da'xiang'wu'xing 大象无形
'da'yin'xi'sheng 大音希声
'da'ying'ruo'chong'qi'yong'bu'qiong 大盈若冲其用不穷
'da'zhi'ruo'qu'da'qiao'ruo'zhuo'da'bian'ruo'ne 大直若屈大巧若拙大辩若讷
'dan'xi'qi'ruo'hai 澹兮其若海
'dao'ke'dao'fei'chang'dao'ming'ke'ming'fei'chang'ming 道可道非常道名可名非常名
'dao'sheng'zhi'de'chu'zhi'wu'xing'zhi'shi'cheng'zhi 道生之德畜之物形之势成之
'dao'yin'wu'ming 道隐无名
'dao'zhi'zun'de'zhi'gui'fu'mo'zhi'ming'er'chang'zi'ran 道之尊德之贵夫莫之命而常自然
'di'chu'xuan'jian'neng'ru'ci'hu 涤除玄鉴能如疵乎
'dui'xi'qi'ruo'piao 敦兮其若朴
'dun'dun'xi'ru'ying'er'zhi'wei'hai 沌沌兮如婴儿之未孩
'duo'yan'shuo'qiong'bu'ru'shou'zhong 多言数穷不如守中
'fan'zhe'dao'zhi'dong'ruo'zhe'dao'zhi'yong 反者道之动弱者道之用
'fu'gui'er'jiao'zi'yi'qi'jiu 富贵而骄自遗其咎
'fu'li'zhe'zhong'xin'zhi'bo'er'luan'zhi'shou 夫礼者忠信之薄而乱之首
'fu'wei'dao'shan'dai'qie'cheng 夫唯道善贷且成
'fu'wei'wu'yi'sheng'wei'zhe'shi'xian'yu'gui'sheng 夫唯无以生为者是贤于贵生
'gong'sui'shen'tui'tian'zhi'dao'ye 功遂身退天之道也
'gu'jian'qiang'zhe'si'zhi'tu'rou'ruo'zhe'sheng'zhi'tu 故坚强者死之徒柔弱者生之徒
'gu'kang'bing'xiang'ruo'ai'zhe'sheng'yi 故抗兵相若哀者胜矣
'gu'wu'huo'sun'zhi'er'yi'huo'yi'zhi'er'sun 故物或损之而益或益之而损
'gu'you'zhi'yi'wei'li'wu'zhi'yi'wei'yong 故有之以为利无之以为用
'gu'zhi'shan'wei'dao'zhe'fei'yi'ming'min'jiang'yi'yu'zhi 古之善为道者非以明民将以愚之
