'bu'wan'quan'jing'zheng'lun 不完全竞争论
'cai'zheng'tong'jie'tong'hai'guo'wai'dai'kuan 财政统借统还国外贷款
'cha'bie'dai'yu 差别待遇
'chan'pin'sheng'chan'zhou'qi'lun 产品生产周期论
'chan'pin'zhou'qi'shuo 产品周期说
'dai'wei'quan 代位权
'di'guo'zhu'yi'zi'ben'shu'chu'lun 帝国主义资本输出论
'di'yuan'jing'ying'mo'shi'lun 地缘经营模式论
'dong'dao'guo'jing'ji'ping'jia 东道国经济评价
'dong'dao'guo'shi'chang'yu'ce 东道国市场预测
'dong'dao'guo'wen'hua'ping'jia 东道国文化评价
'dui'wai'cheng'bao'gong'cheng 对外承包工程
'dui'wai'tou'zi 对外投资
'dui'wai'tou'zi'feng'xian'yu'ce 对外投资风险预测
'dui'wai'tou'zi'gui'mo 对外投资规模
'dui'wai'tou'zi'jie'gou 对外投资结构
'duo'bian'guan'fang'dai'kuan 多边官方贷款
'duo'bian'tou'zi'gong'yue 多边投资公约
'fen'xiang'gu'quan'dai'kuan 分享股权贷款
'gou'mai'mei'guo 购买美国
'gu'li'xing'kong'zhi 鼓励性控制
'gua'tou'lun 寡头论
'guan'fang'fa'zhan'zi'jin'rong'tong 官方发展资金融通
'guo'ji'dai'kuan 国际贷款
'guo'ji'guan'fang'dai'kuan 国际官方贷款
'guo'ji'jian'jie'tou'zi 国际间接投资
'guo'ji'jing'ji'zu'zhi'dai'kuan 国际经济组织贷款
'guo'ji'lao'dong'li'zhi'xiang'xing'tou'zi 国际劳动力指向型投资
'guo'ji'ling'huo'fang'shi'tou'zi 国际灵活方式投资
'guo'ji'mao'yi'zu'lin 国际贸易租赁
'guo'ji'shang'wu 国际商务
'guo'ji'shang'ye'yin'hang'dai'kuan 国际商业银行贷款
'guo'ji'sheng'chan 国际生产
'guo'ji'sheng'chan'zhe'zhong'lun 国际生产折衷论
'guo'ji'shi'chang'zhi'xiang'xing'tou'zi 国际市场指向型投资
'guo'ji'si'ren'dai'kuan 国际私人贷款
'guo'ji'tou'zi 国际投资
'guo'ji'tou'zi'cai'wu'feng'xian 国际投资财务风险
'guo'ji'tou'zi'feng'xian 国际投资风险
'guo'ji'tou'zi'huan'jing 国际投资环境
'guo'ji'tou'zi'ji'ben'bian'liang 国际投资基本变量
'guo'ji'tou'zi'jin'rong'feng'xian 国际投资金融风险
'guo'ji'tou'zi'jing'ji'xue 国际投资经济学
'guo'ji'tou'zi'shang'ye'feng'xian 国际投资商业风险
'guo'ji'tou'zi'zheng'zhi'feng'xian 国际投资政治风险
'guo'ji'xin'tuo 国际信托
'guo'ji'xin'tuo'tou'zi 国际信托投资
'guo'ji'xing'gong'si 国际性公司
'guo'ji'yue'guo'mao'yi'zhang'ai'tou'zi 国际越过贸易障碍投资
'guo'ji'zheng'quan'tou'zi 国际证券投资
'guo'ji'zhi'jie'tou'zi 国际直接投资
'guo'ji'zi'ben'liu'dong 国际资本流动
'guo'ji'zi'ran'zi'yuan'zhi'xiang'xing'tou'zi 国际自然资源指向型投资
'guo'ji'zi'xun'xin'tuo 国际咨询信托
'guo'ji'zi'yuan'zhuan'yi'lun 国际资源转移论
'guo'ji'zu'lin'xin'tuo 国际租赁信托
'guo'min'dai'yu 国民待遇
'hai'wai'tou'zi'fa 海外投资法
'he'zi'jing'ying 合资经营
'he'zuo'jing'ying 合作经营
'he'zuo'kai'fa 合作开发
'hun'he'dai'kuan 混合贷款
'jie'dai'zi'ben'guo'ji'hua 借贷资本国际化
'jie'zi'bao'zi 借资保资
'jin'ru'he'jie'guan'kong'zhi 进入和接管控制
'jin'ru'zhan'lue 进入战略
'jing'guo'min'xiao'yi 净国民效益
'jing'zheng'gu'yong'he'sheng'chan'kong'zhi 竞争雇用和生产控制
'jun'zi'xie'ding 君子协定
'kua'guo'jing'ying'zhan'lue 跨国经营战略
'lei'jin'chang'fu'dai'kuan 累进偿付贷款
'li'yong'wai'zi 利用外资
'li'yong'wai'zi'xiao'yi 利用外资效益
'liang'que'kou'li'lun 两缺口理论
'ling'huo'chang'huan'qi'dai'kuan 灵活偿还期贷款
'long'duan'you'shi'lun 垄断优势论
'nei'bu'hua'lun 内部化论
'sheng'chan'zi'ben'guo'ji'hua 生产资本国际化
'shuang'bian'tou'zi'tiao'yue 双边投资条约
'shuang'bian'zheng'fu'dai'kuan 双边政府贷款
'suo'you'quan'zhan'lue 所有权战略
'tou'zi'bao'hu 投资保护
'tou'zi'bao'xian 投资保险
'tou'zi'bao'zheng 投资保证
'tou'zi'huan'jing'bi'jiao 投资环境比较
'tou'zi'huan'jing'gou'cheng 投资环境构成
'tou'zi'huan'jing'ping'jia 投资环境评价
'tou'zi'qi'hou 投资气候
'tou'zi'xiao'huan'jing 投资小环境
'tou'zi'xiao'qi'hou 投资小气候
'tou'zi'zheng'yi 投资争议
'wai'guo'tou'zi'fa 外国投资法
'wai'guo'tou'zi'kong'zhi 外国投资控制
'wai'guo'tou'zi'shen'pi'cheng'xu 外国投资审批程序
'wai'zhai'chang'huan'neng'li 外债偿还能力
'wai'zhai'gui'mo 外债规模
'wai'zhai'jie'gou 外债结构
'wai'zhai'qing'chang'lv 外债清偿率
'wai'zi'chu'zi'bi'li 外资出资比例
'wai'zi'chu'zi'gou'cheng 外资出资构成
'wai'zi'mo'shou 外资没收
'wai'zi'qi'ye'guo'you'hua 外资企业国有化
'wai'zi'qi'ye'zheng'yong 外资企业征用
