'bai'nian'guo'hen 百年国恨
'bai'qi 白起
'bai'yu'nuo'ruo'zhi'zu'zhe 败于懦弱知足者
'bai'yu'wu'zhi 败于无知
'bai'zai'xin'zhi'ruo'ye 败在心之弱也
'bang'jiao'bang'jiao 邦交邦交
'bei'tong'yu'xin 悲痛於心
'ben'gong'ji'wei 本公即位
'ben'mang'yi'sheng 奔忙一生
'ben'shai'bu'duo 本色不夺
'bi'jiang'wei'da'zheng'zhi'shi'suo'yi'qi 必将为大争之世所遗弃
'bi'lang'zhao'zhi 必朗照之
'bi'qi'zhi'zi 彼其之子
'bi'shui'chang'tian'xi 碧水长天兮
'bi'yi'lv'fa'er'hou'zheng 必以律法而后正
'bi'you'yin'qing 必有隐情
'bian'fa'qiang'qin 变法强秦
'bian'qu'bing'dao 便取兵道
'bian'shi'ju'pa'you'wei'min'qing 便是惧怕有违民情
'bian'tao 卞涛
'bian'zai'yu'san'guo'bian'fa'zhi'zou'ban'tu 便在于三国变法只走半途
'bu'cui'bu'zhe 不摧不折
'bu'de'qi'suo 不得其所
'bu'he'min'qing'me 不合民情么
'bu'he'ming'xin'me 不合铭心么
'bu'jian'jiang'shan 不见江山
'bu'jin'si'xiang'he'li 不禁私相贺礼
'bu'jue'ru'meng 不觉如梦
'bu'ke'liu'yu'xin 不可留余心
'bu'neng'zhe'tui 不能者退
'bu'neng'zhe'yao 不能折腰
'bu'qiang'yong'yuan 不强永远
'bu'rong'xie'xu'fu'yi'zhi'xing 不容些许负义之行
'bu'wei'zhi'niu'yu'yi'ben 不韦执拗于义本
'bu'wen'yin'you 不问因由
'bu'yin'qi'xue'man 不因其学满
'bu'yu'hui'meng 不与会盟
'bu'zu'dao'ye 不足道也
'bu'zu'xiao'fa 不足效法
'cai'nai'cang'sheng'zhi'xing 才乃苍生之幸
'cai'you'cai'huo'tu'di'zhi'zheng'duo 才有财货土地之争夺
'cai'you'dao'zei'bao'li'yu'sha'lu 才有盗贼暴力与杀戮
'cai'you'fa'du 才有法度
'cai'you'sheng'se'quan'ma 才有声色犬马
'cang'hai'nan'ping 沧海难平
'cang'wu'na'gou 藏污纳垢
'ceng'bu'zhi 曾不知
'cha'chi'qi'yu 差池其羽
'cha'dao'zhe'di 察道者帝
'chai'wei 柴蔚
'chang'ping 长平
'chang'si'guo'chi 常思国耻
'chao'ye'jiu'hui'mi'lan 朝野就会糜烂
'chen'bing 陈冰
'chen'hao 陈昊
'chen'ji'ming 陈继铭
'chen'liang 陈良
'chen'si'yu 陈思宇
'chen'xiao 陈晓
'cheng'nian'nan'zi'wu'gu'hao'tao'zhe 成年男子无故嚎啕者
'chi'xiao'zai'xian 耻笑在先
'chong'dao'zuo'ri'fu'zhe 重蹈昨日覆辙
'chu'guo'fan'shi 楚国范式
'chu'kao'lie'wang 楚考烈王
'chu'zhong'wu'gai 初衷无改
'chuang'ye'san'nan 创业三难
'ci'nai'zong'rong'e'xing 此乃纵容恶行
'ci'wei'qi'dao 此为棋道
'ci'zhong'sui'you'bian'fa'zhe 此中虽有变法者
'da'ai'nai'ai'tian'xia 大爱乃爱天下
'da'miu 大谬
'da'qin'zhi'qiang 大秦之强
'da'ren'ze'bi'she'xiao'yi 大仁则必舍小义
'da'wei'jun'fa 大魏军法
'da'ye'you'wang 大业有望
'da'yu'tun'zhou 大鱼吞舟
'da'zheng'zhi'shi 大争之世
'da'zi 达子
'dan'bi'yi'qu'shi'wei'gen'ben 但必以取势为根本
'dan'bu'yao'fang'si 但不要放肆
'dan'you'neng'chu'chang'ce'qi'ji 但有能出长策奇计
'dan'yu'ren'ping 但与人评
'dang'chu'ben'gong'shi'feng'wo'wang'shi 当初本宫侍奉我王时
'dang'ci'zhi'shi 当此之时
'dang'jin'zhi'shi 当今之世
'dang'wang'tian'xia 当王天下
'dang'zhen'ru'ci'hua'ji 当真如此滑稽
'de'xing'nai'wei'zheng'zhi'mo 德行乃为政之末
'di'li'xin'zhi 砥砺心志
'di'xiao'min'shao 地小民少
'dian'dian'yu'huo'bu'tong'mian 点点渔火不同眠
'duan'shao'shu'ren'cai'lu 断少数人财路
'dui'shou'shi'li'qiang'da 对手实力强大
'er'deng'zhi'shi'cang'hai'zhi'yi'su 尔等只是沧海之一粟
'er'ji'jing'bu'zhi'qiang'ren'zhi'suo'zai 而己竟不知强人之所在
'er'jin'lv'fa'zai'qian 而今律法在前
'er'mu'xia'zhi'qin'guo 而目下之秦国
'er'shi'qin'guo'hui'fu'mu'gong'ba'ye'zhe 而使秦国恢复穆公霸业者
'er'ting'zhi 而停之
'er'yan'xia'qin'guo 而眼下秦国
'er'zai'li'xing 而在力行
'er'zai'tui'xing'zhong'ge'you'ce'zhong 而在推行中各有侧重
'er'zhe'san'qiang 而这三强
'er'zhong'zhi'bai'jiang'ru'xiang 而终至拜将入相
'fa'gui'shi'xiao 法贵时效
'fa'jia'he'pai 法家何派
'fa'jia'qiang'guo 法家强国
'fa'jia'san'pai 法家三派
'fa'jia'shu'zhi'pai 法家术治派
'fa'li'ru'shan 法立如山
'fa'ling'ban'xin'ban'jiu 法令半新半旧
'fa'wai'wu'en 法外无恩
'fa'zhi'cheng'jia'cheng'pai 法治成家成派
'fa'zhi'ye'hao 法治也好
'fan'ju 范雎
'fang'de'qi'suo 方得其所
'fang'wei'wu'jia'zhi'bao 方为无价至宝
'fang'yan'tian'xia 放眼天下
'fen'shen'sui'gu 粉身碎骨
'fou'ze'bian'shi'kong'tan'da'dao'yi'wu'tian'xia 否则便是空谈大道贻误天下
'fu'cao'wei'cun 伏草惟存
'fu'ku'cai'huo'ri'jian'kong'kong 府库财货日见空空
'fu'ku'chong'ying 府库充盈
'fu'ku'kong'kong 府库空空
'fu'wo'he'shan 复我河山
'fu'zhi'yi'xiao'ye'shi'tian'xia 付之一笑也是天下
'fu'zi'da'miu 夫子大谬
'fu'zi'duan'zhang'qu'yi 夫子断章取义
'fu'zi'li'lun'wu'ju 夫子立论无据
