'ai'qi'zi 爱其子
'ai'yuan'ti'chu'liang'san'jia 哀猿啼处两三家
'an'de'zhi'lao'bu'geng'gui 安得至老不更归
'an'qiu'qi'neng'qian'li'ye 安求其能千里也
'an'zhi'tuo'tie'ping'bu'po 安置妥帖平不颇
'an'zuo'er'shi 安坐而食
'ba'jiao'ye'da'zhi'zi'fei 芭蕉叶大栀子肥
'ba'qian'zhi'hou 跋前踬后
'ba'qu'xiong'xie 拔去凶邪
'ba'yue'shi'wu'ye'zeng'zhang'gong'cao 八月十五夜赠张功曹
'bai'ban'hong'zi'dou'fang'fei 百般红紫斗芳菲
'bai'gu'zhi'pi 败鼓之皮
'bai'guai'ru'wo'chang 百怪入我肠
'bai'shou'kua'long'zhong 白首夸龙钟
'bai'xue'que'xian'chun'se'wan 白雪却嫌春色晚
'ben'liu'yi'ji'dian 奔流疑激电
'bi'chu'yu'ci 必出于此
'bi'qi'er'jun'chen 必弃而君臣
'bi'sai'sheng'ju'mao 堛塞生怐愗
'bi'tong'zi'zhi'shi 彼童子之师
'bi'yi'xu'xu'wei'ren 彼以煦煦为仁
'bi'yu'bi'nian'xiang'ruo'ye 彼与彼年相若也
'biao'li'hu'tong'tou 表里忽通透
'bing'ren'ru'shu'chong'qiu'ke 柄任儒术崇丘轲
'bing'xue'gong'zhuo'lou 冰雪工琢镂
'bo'ai'zhi'wei'ren 博爱之谓仁
'bo'mu'geng'geng'he'yan'ai 薄暮耿耿和烟埃
'bo'ran'si'che'lie 勃然思坼裂
'bo'ri'yue 薄日月
'bu'chi'xiang'shi 不耻相师
'bu'ju'xia'lou 补苴罅漏
'bu'ju'yu'shi 不拘于时
'bu'neng'ting'zhong'lei'ru'yu 不能听终泪如雨
'bu'qiu'qi'duan 不求其端
'bu'ru'yu'lao 不入于老
'bu'ru'yu'yang 不入于杨
'bu'wei'ju'zhi'yu'kou 不惟举之于口
'bu'xun'qi'mo 不讯其末
'bu'yi'qian'li'cheng'ye 不以千里称也
'bu'zhi'lv'ci 不知虑此
'bu'zhi'qun'er'yu 不知群儿愚
'bu'zhu'chu'ba'huang 捕逐出八荒
'bu'zhu'zhi'nv'xiang 不著织女襄
'bu'zhu'zhi'shui'hang 不瞩治水航
'cai'bo'jiang'nai'shi'gu'he 才薄将奈石鼓何
'cai'mei'bu'wai'jian 才美不外见
'cai'zhou'na'jie'jiu'jiang'si 蔡州纳节旧将死
'can'can'xue'jian'ji 参参削剑戟
'cang'cang'sen'ba'gui 苍苍森八桂
'cang'huang'wang'xia'xi 苍黄忘遐睎
'cao'se'yao'kan'jin'que'wu 草色遥看近却无
'cao'shu'zhi'chun'bu'jiu'gui 草树知春不久归
'ce'ma'shang'qiao'zhao'ri'chu 策马上桥朝日出
'ce'zhi'bu'yi'qi'dao 策之不以其道
'cen'ci'xiang'die'zhong 参差相叠重
'ceng'deng'di'ji'zhou 蹭蹬抵积甃
'cha'bi'bi'yuan'lou 岔蔽毕原陋
'chang'hen'er'ren'bu'xiang'cong 长恨二人不相从
'chang'sheng'chong'qiu'wang 尝升崇丘望
'chang'tong'yu'fang 长通于方
'chang'wen'yu'ci'guan 尝闻于祠官
'chang'zai'shui'zhong'ju 长在水中居
'chao'chao'chu'you'ben 超超出犹奔
'chao'da'guan'lao'yu'shi 朝大官老于事
'chao'ming'xi'an'yi'zu'tan 朝明夕暗已足叹
'chao'ting'wei'sheng'you'yi'ce 朝廷未省有遗策
'chen'bu'xing'jun'zhi'ling'er'zhi'zhi'min 臣不行君之令而致之民
'chen'jin'nong'yu 沉浸醲郁
'chen'yan'er'bu'jun'qi'jun 臣焉而不君其君
'chen'zhe 臣者
'cheng'ma'cong'tu 乘马从徒
'chi'shang'wu'feng'you'luo'hui 池上无风有落晖
'chi'shang'xu 池上絮
'chu'cong'lan'tian'ru 初从蓝田入
'chu'ling'zhe'ye 出令者也
'chu'ru'gao'xia'qiong'yan'fei 出入高下穷烟霏
'chu'su'mi'ma'si 出粟米麻丝
'chu'zhe'nu'zhi 出者奴之
'chu'zhe'wu'zhi 出者污之
'chuan'bo'an'liu'chun'quan'hui 川波岸柳春全回
'chuang'zi'pu'er'qiao 创兹朴而巧
'chun'chun'hai'bu'mao 蠢蠢骇不懋
'chun'tian'ke'geng'shi'yi'cui 春田可耕时已催
'chun'xue 春雪
'chun'yang'qian'ju'ru 春阳潜沮洳
'ci'shi'mo'ci'ying'hou'yuan 刺史莫辞迎候远
'ci'shou'ba'jing'ya 刺手拔鲸牙
'ci'yan'yi'mi'du'nan'xiao 辞严义密读难晓
'cong'chen'cai'yi'xian'di'yi 从臣才艺咸第一
'cong'ji'chao'jian'you 丛集朝贱幼
'cu'xu'suo'jing'gou 粗叙所经觏
'cuan'zhu'man'huang'xing'bu'si 窜逐蛮荒幸不死
'cun'hen'zhi'duan'shui'neng'cai 寸恨至短谁能裁
'da'dao'bu'zhi 大盗不止
'da'kai'ming'tang'shou'chao'he 大开明堂受朝贺
'da'li'yi'shu 答李翊书
'da'lun'shi'hong 大论是弘
'da'nie'zhuang'fu'zou 达枿壮复奏
'da'sha'shen'yan'yu'gai'fu 大厦深檐与盖覆
