'bian'huo'luan'bing'mai'zheng'bing'zhi 辨霍乱病脉证并治
'bian'jue'yin'bing'mai'zheng'bing'zhi 辨厥阴病脉证并治
'bian'shao'yang'bing'mai'zheng'bing'zhi 辨少阳病脉证并治
'bian'shao'yin'bing'mai'zheng'bing'zhi 辨少阴病脉证并治
'bian'tai'yang'bing'mai'zheng'bing'zhi'shang 辨太阳病脉证并治上
'bian'tai'yang'bing'mai'zheng'bing'zhi'xia 辨太阳病脉证并治下
'bian'tai'yang'bing'mai'zheng'bing'zhi'zhong 辨太阳病脉证并治中
'bian'tai'yin'bing'mai'zheng'bing'zhi 辨太阴病脉证并治
'bian'yang'ming'bing'mai'zheng'bing'zhi 辨阳明病脉证并治
'bian'yin'yang'yi'cha'hou'lao'fu'bing'mai'zheng'bing'zhi 辨阴阳易差后劳复病脉证并治
'bing'ren'you'han'fu'fa'han'wei'zhong'leng'bi'tu'you 病人有寒复发汗胃中冷必吐蚘
'chuan'jia'zuo'gui'zhi'tang'jia'hou'pu'xing'zi'jia 喘家作桂枝汤加厚朴杏子佳
'chuang'jia'sui'shen'teng'tong'bu'ke'fa'han'fa'han'ze'jing 疮家虽身疼痛不可发汗发汗则痉
'fa'han'yi'mai'fu'shu'fan'ke'zhe'wu'ling'san'zhu'zhi 发汗已脉浮数烦渴者五苓散主之
'fa're'er'jue'qi'ri'xia'li'zhe'wei'nan'zhi 发热而厥七日下利者为难治
'fan'fu'gui'zhi'tang'tu'zhe'qi'hou'bi'tu'nong'xue'ye 凡服桂枝汤吐者其后必吐脓血也
'feng'jia'biao'jie'er'bu'liao'le'zhe'shi'er'ri'yu 风家表解而不了了者十二日愈
'gan'ou'tu'xian'mo'tou'tong'zhe'wu'zhu'yu'tang'zhu'zhi 干呕吐涎沫头痛者吴茱萸汤主之
'jie'xiong'zheng'xi'ju'fan'zao'zhe'yi'si 结胸证悉具烦躁者亦死
'jue'yin'bing'ke'yu'yin'shui'zhe'shao'shao'yu'zhi'yu 厥阴病渴欲饮水者少少与之愈
