'an'neng'yan'mie'bo 暗能湮灭波
'bai'mei'li'hu 百媚丽狐
'bai'mei'li'hua 百媚丽花
'bai'mei'li'luo 百媚丽罗
'bai'mei'li'ying 百媚丽樱
'bai'mei'mi'hu 百媚迷狐
'bai'mei'mi'hua 百媚迷花
'bai'mei'mi'luo 百媚迷罗
'bai'mei'mi'ying 百媚迷樱
'ban'zhou'gan'she'bo 半周干涉波
'bao'feng'shi'jiu 暴凤狮鹫
'bao'lie'yi'xing 爆裂异形
'bao'long'chu'e 暴龙初颚
'bao'long'chu'hou 暴龙初吼
'bao'long'chu'jia 暴龙初甲
'bao'long'chu'yi 暴龙初翼
'bao'long'yuan'e 暴龙原颚
'bao'long'yuan'hou 暴龙原吼
'bao'long'yuan'jia 暴龙原甲
'bao'long'yuan'yi 暴龙原翼
'beng'huai'wo'liu 崩坏涡流
'bi'yi'xuan'ying 比翼旋影
'bi'yu'ling'yin 碧羽铃音
'cang'qiong'fei'fu 苍穹飞斧
'cang'qiong'jian'mao 苍穹尖矛
'cang'qiong'lie'yan 苍穹烈炎
'cang'qiong'xuan'dun 苍穹旋盾
'cang'qiong'zhi'dun 苍穹之盾
'cang'qiong'zhi'fu 苍穹之斧
'cang'qiong'zhi'mao 苍穹之矛
'cang'qiong'zhi'yan 苍穹之炎
'ceng'xing'mang 层星芒
'chi'qiong'liu'huo 赤宆流火
'cui'jing'deng'xin 翠晶灯芯
'dan'dao'dao'dan 弹道导弹
'di'jun'zhan'jian 帝君战箭
'di'jun'zhan'kai 帝君战铠
'di'jun'zhan'ren 帝君战刃
'di'jun'zhan'wei 帝君战威
'di'jun'zhi'jian 帝君之箭
'di'jun'zhi'kai 帝君之铠
'di'jun'zhi'ren 帝君之刃
'di'jun'zhi'wei 帝君之威
'duo'tai'ye'jing'pao 多态液晶炮
'e'mo'dao'feng 恶魔刀锋
'fan'chong'bi'lei 反冲壁垒
'fan'chong'zhuang'jia 反冲装甲
'fan'liu'neng'liang'ren 返流能量刃
'fan'zhuan'huan'yi 反转幻翼
'feng'bao'bing'he 风暴冰河
'fu'bian'xie'zhen'bo 复变谐振波
'fu'she'hui'guang 辐射辉光
'fu'wu'qi 副武器
'gang'tie'shou'wei 钢铁守卫
'gang'tie'yi'xing 钢铁异形
'gao'neng'bao'po'dan 高能爆破弹
'gao'neng'dian'ci'pao 高能电磁炮
'gao'neng'dian'jiang'pao 高能电浆炮
'gao'neng'ji'guang 高能激光
'gao'su'huo'pao 高速火炮
'ge'ren'wu'jin 个人无尽
'ge'shi'ju'zhen 格式矩阵
'gong'zhen'li'chang 共振力场
'guan'jia'po'pian'dan 贯甲破片弹
'guang'neng'hu'wei 光能护卫
'gui'fan'ju'zhen 规范矩阵
'hao'you'zhu'zhan 好友助战
'he'bian'guang'yun 核变光晕
'he'jin'cang'yi 合金苍翼
'he'jin'chuan'jia'dan 合金穿甲弹
'he'jin'cui'feng 合金翠锋
'he'ping'shu'guang 和平曙光
'he'zi'dan 核子弹
'hei'an'mei'ying 黑暗魅影
'hei'qiang'liang'yi 黑枪两仪
'hei'qiang'san'shi 黑枪三识
'hei'qiang'yan'mie'bo 黑腔湮灭波
'hei'ti'bao'po'dan 黑梯爆破弹
'hei'ti'deng'xin 黑体灯芯
'hong'lian'bi'lei 红莲壁垒
'hong'lian'zhuang'jia 红莲装甲
'huang'jin'bi'lei 黄金壁垒
'huang'jin'zhuang'jia 黄金装甲
'hui'shou'neng'liang'ren 回收能量刃
'ji'feng'huan'ying 疾风幻影
'ji'jing'bi'lei 寂静壁垒
'ji'jing'zhuang'jia 寂静装甲
'ji'sheng'bao'zi 寄生孢子
'ji'su'huo'pao 急速火炮
'jin'gang'bi'lei 金刚壁垒
'jin'gang'zhuang'jia 金刚装甲
'jin'guang'shou'wei 金光守卫
'jing'he 晶核
'jing'ji'chu'jia 荆棘初甲
'jing'ji'guang'die 荆棘光蝶
'jing'ji'lian'jia 荆棘链甲
'jing'ji'shan'qiang 荆棘闪枪
'jing'ji'tu'ci 荆棘突刺
'jing'ji'zhi'ci 荆棘之刺
'jing'ji'zhi'die 荆棘之蝶
'jing'ji'zhi'qiang 荆棘之枪
'jing'ying'wu'jin 精英无尽
'ju'jiao'fen'hui 聚焦分辉
'ju'jiao'mo'yan'pao 聚焦魔眼炮
'ju'neng'bi'lei 聚能壁垒
'ju'neng'hu'wei 聚能护卫
'ju'neng'zhuang'jia 聚能装甲
'kai'xuan'zhan'dao 凯旋战刀
'kai'xuan'zhan'jia 凯旋战甲
'kai'xuan'zhan'jian 凯旋战剑
'kai'xuan'zhan'jian 凯旋战箭
'kai'xuan'zhi'dao 凯旋之刀
'kai'xuan'zhi'jia 凯旋之甲
'kai'xuan'zhi'jian 凯旋之剑
'kai'xuan'zhi'jian 凯旋之箭
'kuang're'bi'lei 狂热壁垒
'kuang're'zhuang'jia 狂热装甲
'kuo'san'rong'jiao'pao 扩散溶胶炮
'lan'ling'ling'yin 蓝翎铃音
'lan'wang'bu'shou 拦网捕手
'lei'da'dao'dan 雷达导弹
'lei'da'ji'guang 雷达激光
'lei'she'dian'jiang'pao 镭射电浆炮
'li'zi'pao 粒子炮
'lian'huan'xuan'ying 连环旋影
'liao'ji 僚机
'lie'feng'zhan'ying 烈风战鹰
'lie'yang'guang'dun 烈阳光盾
'lie'yang'guang'hui 烈阳光辉
'lie'yang'guang'lun 烈阳光轮
'lie'yang'guang'wu 烈阳光乌
'lie'yang'ling'dun 烈阳灵盾
'lie'yang'ling'hui 烈阳灵辉
'lie'yang'ling'lun 烈阳灵轮
'lie'yang'ling'wu 烈阳灵乌
'ling'long'ye'fu 玲珑夜蝠
'lun'zhan'po'pian'dan 轮斩破片弹
'mai'chong'dian'ci'pao 脉冲电磁炮
'mai'chong'jian'feng 脉冲尖锋
'mai'chong'tu'ji 脉冲突击
'mi'cai'xu'huan 迷彩虚幻
'mi'huan'hui'guang 迷幻辉光
'mi'jia'li'zi'pao 米加粒子炮
'mie'que'bi'lei 灭却壁垒
'mie'que'zhuang'jia 灭却装甲
'ming'yuan'bi'lei 名远壁垒
