'ba'qi'guan 靶器官
'ban'mo'ting'zhen'qu 瓣膜听诊区
'bing'qing'ping'gu'ji'fen'xi'ru'xia 病情评估及分析如下
'bu'neng'ping'wo 不能平卧
'ce'zhi'xun'huan 侧枝循环
'cha'bu'cha'er 察布查尔
'chang'jian'qi 长间期
'chen'yun'guo 陈云国
'ci'quan'bi'se 次全闭塞
'dao'si 导丝
'di'yi'xin'yin'qiang'ruo'bu'deng 第一心音强弱不等
'dou'xing'ting'bo 窦性停搏
'duan'zan'xing'nao'que'xie 短暂性脑缺血
'duan'zhen 短阵
'dui'jiao'zhi 对角支
'dun'yuan'zhi 钝缘支
'er'jian'ban'fan'liu 二尖瓣反流
'fang'chan 房颤
'fang'xing'xin'dong'guo'su 房性心动过速
'fang'xing'zao'bo 房性早搏
'fei'bu'gan'ran 肺部感染
'fu'zhu'ren'hu'shi 副主任护师
'fu'zhu'ren'yi'shi 副主任医师
'gan'dan'yi'pi'shen 肝胆胰脾肾
'gan'ti'zhong 干体重
'gong'liu 巩留
'guan'mai'zao'ying'shu 冠脉造影术
'guan'zhuang'dong'mai'pang'lu'yi'zhi'shu 冠状动脉旁路移植术
'guan'zhuang'dong'mai'zhi'jia'zhi'ru 冠状动脉支架置入
'hei'meng 黑懵
'hou'ce'zhi 后侧支
'hou'jiang'zhi 后降支
'hou'kuo'zhang 后扩张
'hu'shi 护士
'hui'xuan'zhi 回旋支
'huo'er'guo'si 霍尔果斯
'ji'guan'bing'qing'bian'hua 继观病情变化
'ji'li 吉丽
'ji'xing'guan'mai'zong'he'zheng 急性冠脉综合征
'ji'xing'xin'ji'geng'si 急性心肌梗死
'jian'qing'xin'ji'hao'yang'liang 减轻心肌耗氧量
'jiang'yan 江燕
'jiao'jie'xing'yi'bo 交界性逸搏
'jin'xiu'yi'shi 进修医师
'jing'dong'mai'cai'chao 颈动脉彩超
'jing'dong'mai'zhou'yang'ying'hua 颈动脉粥样硬化
'ju'bing'qing'tiao'zheng'zhi'liao'fang'an 据病情调整治疗方案
'kang'ning 抗凝
'kang'xue'xiao'ban'ju'ji 抗血小板聚积
'ke'ke'da'la 可克达拉
'kou'bei 叩背
'li'de'gang 李德刚
'li'zhan'guo 李战国
'liu'wan'ning 刘万宁
'liu'xiao'mei 刘晓梅
'lu'nei'duo'pu'le 颅内多普勒
'lun'zhuan'yi'shi 轮转医师
'mai'bo'duan'chu 脉搏短绌
'man'xing'zhi'qi'guan'yan 慢性支气管炎
'men'zhang 闷胀
'ni'le'ke 尼勒克
'pai'tan 排痰
'pan'chun'liang 潘春良
'qian'jiang'zhi 前降支
'qiang'xi'xing'nao'geng'si 腔隙性脑梗死
'que'yang 缺氧
'rui'yuan'zhi 锐缘支
'san'jian'ban'fan'liu 三尖瓣反流
'she'pin'xiao'rong'shu 射频消融术
'shen'bing'zong'he'zheng 肾病综合征
'shi'chan 室颤
'shi'feng'ling 时风玲
'shi'shang'xing'zao'bo 室上性早搏
'shi'su 室速
'shi'xi'yi'shi 实习医师
'shi'xing'zao'bo 室性早搏
'shuan'se'xing 栓塞性
'shuang'shen'ji'shen'xue'guan'cai'chao 双肾及肾血管彩超
'shui'dian'jie'zhi'ping'heng 水电解质平衡
'si'lie'yang 撕裂样
'si'zhi'duo'pu'le 四肢多普勒
'ting'bo 停搏
'ting'zhen'qu 听诊区
'wan'quan'bi'se 完全闭塞
'wen'ding'ban'kuai 稳定斑块
'xi'xiao'jie'shi 细小结石
'xin'ji'que'xue 心肌缺血
'xin'lv'jue'dui'bu'qi 心律绝对不齐
'xin'zang'cai'chao 心脏彩超
'xin'zang'po'lie 心脏破裂
'xu'dao'zhen 徐道珍
'ya'po'yang 压迫样
'yang'xiao'hong 杨晓红
'yi'li'ha'sa'ke'zi'zhi'zhou 伊犁哈萨克自治州
'yi'ning'shi 伊宁市
'yi'qu 疫区
'yong'jiu'xing'xin'zang'qi'bo'qi 永久性心脏起搏器
'you'guan 右冠
'yu'fang'e'xing'xin'lv'shi'chang 预防恶性心律失常
'yu'fang'zuo'shi'chong'gou 预防左室重构
'yu'kuo'zhang 预扩张
'yuan'fa'xing'gao'xue'ya 原发性高血压
'zhang'lu 张璐
'zhang'tong 胀痛
'zhang'yu'juan 张玉娟
'zhen'fa'xing'shi'shang'xing'xin'dong'guo'su 阵发性室上性心动过速
'zhi'yin'dao'guan 指引导管
'zhu'dong'mai'ban'fan'liu 主动脉瓣返流
'zhu'dong'mai'ban'gai'hua 主动脉瓣钙化
'zhu'guan'hu'shi 主管护师
'zhu'ren'yi'shi 主任医师
'zhu'yuan'yi'shi 住院医师
'zhu'zhi'yi'shi 主治医师
'zuo'shi'hou'zhi 左室后支
'zuo'shi'shou'suo'gong'neng'jian'di 左室收缩功能减低
'zuo'xin'zeng'da 左心增大
'zuo'zhu'gan 左主干
