'ban'shi'fu'wu'da'ting 办事服务大厅
'bei'jing'shi'she'hui'bao'xian'wang'shang'fu'wu'ping'tai 北京市社会保险网上服务平台
'bu'jiao'ji'shu'cha'e 补缴基数差额
'cai'ji'ge'ren'yin'hang'ka'hao 采集个人银行卡号
'can'bao'ping'zheng 参保凭证
'chan'jian 产检
'chan'qian'jian'cha 产前检查
'cheng'xiang'ju'min 城乡居民
'cheng'zhen'zhi'gong 城镇职工
'dai'yu'he'zhun'biao 待遇核准表
'dan'wei'gong'shang'fu'dong'fei'lv 单位工伤浮动费率
'dan'wei'hai'qian 单位还欠
'dan'wei'ji'ti'hu 单位集体户
'dan'wei'xin'xi'bian'geng 单位信息变更
'ding'dian'yi'liao'ji'gou'bian'geng 定点医疗机构变更
'fei'ben'ren'yi'yuan'zhong'duan'jiu'ye 非本人意愿中断就业
'fen'mian 分娩
'gan'bu'shen'fen'bian'geng 干部身份变更
'ge'ren'bu'jiao 个人补缴
'ge'ren'dang'an 个人档案
'ge'ren'suo'de'shui'na'shui'qing'dan 个人所得税纳税清单
'ge'ren'xin'xi'bian'geng 个人信息变更
'gong'zi'bian'geng 工资变更
'gong'zi'shen'bao 工资申报
'gong'zuo'ju'zhu'zheng 工作居住证
'lin'shi'she'bao'ka 临时社保卡
'lin'shi'zhang'hu 临时账户
'qi'ye'ban'ji'shu'zhi'chi 企业版技术支持
'qi'ye'ban'ruan'jian 企业版软件
'qing'kuang'shuo'ming 情况说明
'she'bao'ka 社保卡
'she'hui'bao'xian 社会保险
'shen'bao'xin'xi'zhuang'tai'cha'xun 申报信息状态查询
'sheng'yu'jin'tie'ji'suan 生育津贴计算
'sheng'yu'men'zhen 生育门诊
'sheng'yu'zhu'yuan 生育住院
'shou'fei'piao'ju 收费票据
'shou'gong'bao'xiao 手工报销
'si'xian'dian'nao'xu'hao 四险电脑序号
'wai'sheng'zhuan'ru 外省转入
'wan'shui'zheng'ming 完税证明
'wei'tuo'dai'fa'yin'hang 委托代发银行
'wu'xian'he'yi 五险合一
'yi'ban'zhang'hu 一般账户
'yi'bao'bao'xiao 医保报销
'yi'lao'yi'xiao 一老一小
'yi'shi'fu'wu'fei 医事服务费
'yue'bao'bu'jiao 月报补缴
'zhi'na'jin 滞纳金
'zhuan'ke'yi'yuan 专科医院
'zhuan'ru'zeng'yuan 转入增员
'zhuan'wai'sheng 转外省
'zhuan'yi'jie'xu 转移接续
'zuo'xi'cun'zai'wen'ti 坐席存在问题
