'a'ke'li'di'shu'chong 阿克里地树虫
'a'na'sheng'yu 阿纳圣域
'a'na'xin'tu 阿纳信徒
'a'tuo'ge 阿托格
'ai'tong'yu'jue 哀恸欲绝
'ai'zhong'ren'bei'zhu 矮种刃背猪
'an'chong'tian'shi 暗崇天使
'an'guang'bao'lei 黯光堡垒
'an'jiao'ji'shi 暗礁祭师
'an'xiang'pian'tu 暗巷骗徒
'ba'la'si'tuo'deng 巴拉斯驮登
'ba'lin 巴林
'ba'lin'zhi'yuan 巴林之怨
'ba'si'tuo'deng 巴斯驮登
'bai'mu'jia 白木甲
'bai'shou'nv'huang'qiu'lei'er 百兽女皇裘蕾尔
'bai'zi'ju'mo 白子巨魔
'bao'feng'jing'ying 暴风警鹰
'bao'ling'kong 暴凌空
'bao'shi'yan'jing'she 暴食眼鏡蛇
'bao'zi'sheng'zhi 孢子生殖
'bei'er'bei'de'fei'niao 贝尔蓓的飞鸟
'bei'er'bei'de'shi'guang'tong'dao 贝尔蓓的时光通道
'bei'er'bei'zhi'kai 贝尔蓓之铠
'beng'huai'bian'jie 崩坏边界
'beng'yan'xi 迸焰蜥
'bi'cong 逼从
'bi'yin'zhu'dao 庇荫祝祷
'bian'chi'shi'tou'xiang 鞭笞狮头象
'bian'di'ye'zao 遍地野藻
'bian'jie'ji'ban 变节羁绊
'bian'zhi'bei 编枝杯
'bian'zhi'liu'fen'yi 编枝六分仪
'bin'na'li'ya'bu'xian'bing 宾纳里亚布陷兵
'bin'na'li'ya'qiang'qi'bing 宾纳里亚枪骑兵
'bing'qi'yan'yuan 冰碛岩缘
'bing'qu'dai'yuan'ti 病蛆带原体
'bo'dong'ji 波动机
'bo'mu'xing'zhe 薄暮行者
'bu'cong'zhe'si 不从者死
'bu'dang'zhi'li 不当之利
'bu'huo'de'shi'tou'xiang 捕获的狮头象
'bu'shun'zhe'yi 不顺者夷
'cai'hua'shan'mao 彩华山猫
'cai'hua'shi 彩华狮
'chang'chun'teng'yu'yan'shi 长春藤预言师
'chang'fan'diao 唱反调
'chang'fu 偿付
'chao'xi'huan'shi'shi 潮汐幻视师
'chao'xi'ju'guai 潮汐巨怪
'chen'xiao'shao'ban 晨晓哨班
'cheng'sai'ji'lv 城塞纪律
'cheng'sai'ji'xie'ji'shi 城塞机械技师
'cheng'sai'sheng'wu'xue'zhe 城塞生物学者
'cheng'sai'xian'jue'zhan 城塞先决战
'cheng'xiong'bai'kou 成雄败寇
'chi'bian'shi'guan 持鞭士官
'chong'feng'ju'mo 冲锋巨魔
'chou'shi 仇视
'chu'mei'shi 触媒石
'chu'mie 除灭
'chu'yu'e 初羽鹗
'chuan'shan'jia'wai'yi 穿山甲外衣
'chuan'xin'jian'die 传心间谍
'chun'liang'fan'she 纯量反射
'ci'feng'xian'ling 刺风仙灵
'ci'ji'fu'lu'chong 刺棘腐鲁虫
'ci'jiao'ka'fu 刺角卡甫
'ci'mao'shou 刺毛兽
'ci'tie'si 刺铁丝
'ci'zhen'ping'zhang 刺针屏障
'cong'lin'shou'hu'shen'nai'ma'ta 丛林守护神奈玛塔
'cui'yu'shi'zhi 翠玉石蛭
'da'ao'bu'wang'shi 达奥布网师
'da'ao'zu'qi'shi'chang 达奥族骑士长
'da'dao'qiang'fei 大道抢匪
'da'er'ba'niao 达尔巴鸟
'da'li'jia'de'yan'xi 达里迦的炎息
'da'xue'yuan'zhang'lei'an 大学院长蕾安
'da'zhi'guai 打肢怪
'dan'bai'shi'tai'tan'xiang 蛋白石泰坦像
'dan'feng'shou 单峰兽
