'bing'ci'xie'jie 并辞谢节
'bing'zou'teng'nei'chen'wai'jiao 并奏腾内臣外交
'cao'can'yi'gong'feng'ping'yang'hou 曹参以功封平阳侯
'cao'teng'wei'zhong'chang'shi'da'chang'qiu 曹腾为中常侍大长秋
'chang'cheng'tan'gao 常称叹暠
'chun'qiu'zhi'shi 春秋之世
'ci'zi'shu'xing 次子叔兴
'ci'zi'zhong'xing 次子仲兴
'cun'xian'shi'zhi'hou 存先世之后
'dai'zhi'zhan'guo 逮至战国
'dang'gao'yang'shi 当高阳世
'er'bu'fa'qi'shan 而不伐其善
'er'yang'zi'song'si 二养子嵩嗣
'fei'qi'zui'ye 非其罪也
'feng'cao'xia'yu'zhu 封曹侠于邾
'feng'fei'ting'hou 封费亭侯
'gao'hou'wei'si'tu 暠后为司徒
'guan'zhi'tai'wei 官至太尉
'han'gao'zu'zhi'qi 汉高祖之起
'han'xiang'guo'can'zhi'hou 汉相国参之后
'hao'jin'da'xian'neng 好进达贤能
'hong'nong'zhang'huan 弘农张奂
'hou'suo'wang'shi'zi'hai'qi'jia 后所亡豕自还其家
'huan'di'ji'wei 桓帝即位
'hui'cao 讳操
'huo'jia'yu'pei 或家于沛
'jia'wei'te'jin 加位特进
'jian'zi'wai'lai 笺自外来
'jie'bu'yu'zheng 节不与争
'jie'ci'lei'ye 皆此类也
'jie'xiao'er'shou'zhi 节笑而受之
'jie'zhi'wei'gong'qing 皆致位公卿
'jin'ri'wei'gong 今日为公
'jue'er'fu'shao 绝而复绍
'li'shi'si'di'wei'chang'you'guo 历事四帝未尝有过
'lin'ren'you'wang'shi'zhe 邻人有亡豕者
'lu'zhong'zhi'zi'yue'an 陆终之子曰安
'mo'neng'shen'qi'sheng'chu'ben'mo 莫能审其生出本末
'nai'cao'chang'shi'en'ye 乃曹常侍恩也
'nai'qin'gao'zou 乃寝暠奏
'nan'yang'yan'gu'zhang'wen 南阳延固张温
'pei'guo'qiao'ren'ye 沛国谯人也
'qi'suo'cheng'jian 其所称荐
'qi'xian'chu'yu'huang'di 其先出于黄帝
'qian'zhi'zhong'chang'shi'da'chang'qiu 迁至中常侍大长秋
'qing'mian'guan'zhi'zui 请免官治罪
'ruo'chen'liu'yu'fang'bian'shao 若陈留虞放边韶
'san'guo'zhi 三国志
'san'song'sheng'tai'zu 三嵩生太祖
'shang'tai'shou 上太守
'shao'chu'huang'men'cong'guan 少除黄门从官
'shi'wei'cao'xing 是为曹姓
'shi'xi'jue'tu 世袭爵土
'shi'zhu'ren'da'can 豕主人大惭
'shu'jun'tai'shou'yin'ji'li'xiu'jing'yu'teng 蜀郡太守因计吏修敬于腾
'shun'di'ji'wei 顺帝即位
'si'ma'biao'xu'han'shu'yue 司马彪续汉书曰
'song'suo'ren'shi 送所认豕
'su'yi'ren'hou'cheng 素以仁厚称
'suo'bu'dang'wei 所不当为
'tai'he'san'nian 太和三年
'tai'zi'te'qin'ai'teng 太子特亲爱腾
'tai'zu'yi'ming'ji'li 太祖一名吉利
'teng'bu'yi'jie'yi 腾不以介意
'teng'fu'jie 腾父节
'teng'shu'bu'chu 腾书不出
'teng'ying'qi'xuan 腾应其选
'teng'zhi'xing'shi 腾之行事
'teng'zi'ji'xing 腾字季兴
'wang'shen'wei'shu'yue 王沈魏书曰
'wei'chu'suo'mie 为楚所灭
'wei'xiao'huang'men 为小黄门
'wu'di'ji'tai'zu'wu'huang'di 武帝纪太祖武皇帝
'xi'jin'chen'shou 西晋陈寿
'xiao'zi'a'man 小字阿瞒
'xing'cao 姓曹
'yi'huan'di'shi 一桓帝世
'yi'men'ren'zhi 诣门认之
'yi'teng'xian'di'jiu'chen 以腾先帝旧臣
'yi'wei'gao'de'shi'shang'zhi'jie 以为暠得事上之节
'yi'zhou'ci'shi'zhong'gao'yu'han'gu'guan'sou'de'qi'jian 益州刺史种暠于函谷关搜得其笺
'yin'shi'shang'ci'yu'wei'you'yi 饮食赏赐与觽有异
'ying'chuan'tang'xi'dian'deng 颍川堂溪典等
'yong'ning'yuan'nian 永宁元年
'you'shi'xiang'dang'gui'tan'yan 由是乡党贵叹焉
'yu'jie'shi'xiang'lei 与节豕相类
'yu'yu'meng'hui 与于盟会
'zai'sheng'ta'san'shi'yu'nian 在省闼三十余年
'zhang'zi'bo'xing 长子伯兴
'zhi'jin'shi'si'guo'yu'rong'cheng 至今适嗣国于容城
'zhong'wu'suo'hui'shang 终无所毁伤
'zhong'xiao'zhang'zhe 忠孝彰着
'zhou'wu'wang'ke'yin 周武王克殷
'zhui'zun'teng'yue'gao'huang'di 追尊腾曰高皇帝
'zi'fu'wei 字符伟
'zi'meng'de 字孟德
'zi'sun'fen'liu 子孙分流
