'ba'ren'zhi'cheng'er'fei'gong'ye 拔人之城而非攻也
'bai'xing'zhi'fei 百姓之费
'bei'er'jiao'zhi 卑而骄之
'bei'ze'fen'zhi 倍则分之
'bi'yi'quan'zheng'yu'tian'xia 必以全争于天下
'bin'ke'zhi'yong 宾客之用
'bing'fa 兵法
'bing'zhong'shu'qiang 兵众孰强
'bu'gui'jiu 不贵久
'bu'ke'bu'cha'ye 不可不察也
'bu'ke'xian'chuan'ye 不可先传也
'bu'ruo'ze'neng'bi'zhi 不若则能避之
'bu'zhan'er'qu'ren'zhi'bing 不战而屈人之兵
'bu'zhi'bi'er'zhi'ji 不知彼而知己
'bu'zhi'jun'zhi'bu'ke'yi'jin'er'wei'zhi'jin 不知军之不可以进而谓之进
'bu'zhi'jun'zhi'bu'ke'yi'tui'er'wei'zhi'tui 不知军之不可以退而谓之退
'bu'zhi'san'jun'zhi'quan'er'tong'san'jun'zhi'ren 不知三军之权而同三军之任
'bu'zhi'san'jun'zhi'shi'er'tong'san'jun'zhi'zheng 不知三军之事而同三军之政
'bu'zhi'zhi'zhe'bu'sheng 不知之者不胜
'cai'jie'ze'ji'yu'qiu'yi 财竭则急于丘役
'che'jia'zhi'feng 车甲之奉
'che'za'er'cheng'zhi 车杂而乘之
'che'zhan'de'che'shi'cheng'yi'shang 车战得车十乘以上
'chi'che'qian'si 驰车千驷
'chu'qi'bu'yi 出其不意
'ci'bing'jia'zhi'sheng 此兵家之胜
'ci'gong'zhi'zai'ye 此攻之灾也
'ci'mou'gong'zhi'fa'ye 此谋攻之法也
'ci'wu'zhe 此五者
'cun'wang'zhi'dao 存亡之道
'da'di'zhi'qin'ye 大敌之擒也
'dai'jia'shi'wan 带甲十万
'dang'wu'er'shi'shi 当吾二十石
'dang'wu'er'shi'zhong 当吾二十钟
'dao'zhe 道者
'de'suan'duo'ye 得算多也
'de'suan'shao'ye 得算少也
'di'ze'neng'zhan'zhi 敌则能战之
'di'zhe 地者
'duo'suan'sheng'shao'suan 多算胜少算
'er'bu'wei'ye 而不危也
'er'cheng'bu'ba'zhe 而城不拔者
'er'kuang'yu'wu'suan'hu 而况于无算乎
'er'suo'qi'qing 而索其情
'er'yue'tian 二曰天
'fa'ling'shu'xing 法令孰行
'fa'zhe 法者
'fan'ci'wu'zhe 凡此五者
'fan'yong'bing'zhi'fa 凡用兵之法
'fei'shan'zhi'shan'ye 非善之善也
'fu'bing'jiu'er'guo'li'zhe 夫兵久而国利者
'fu'dun'bing'cuo'rui 夫钝兵挫锐
'fu'jiang'zhe 夫将者
'fu'wei'zhan'er'miao'suan'sheng'zhe 夫未战而庙算胜者
'fu'xi'ze'guo'bi'ruo 辅隙则国必弱
'fu'yong'bing'zhi'fa 夫用兵之法
'fu'zhou'ze'guo'bi'qiang 辅周则国必强
'gan'yi'dan 杆一石
'ge'che'qian'sheng 革车千乘
'gong'cheng'ze'li'qu 攻城则力屈
'gong'cheng'zhi'fa 攻城之法
'gong'jia'zhi'fei 公家之费
'gong'qi'wu'bei 攻其无备
'gu'bing'bu'dun'er'li'ke'quan 故兵不顿而利可全
'gu'bing'gui'sheng 故兵贵胜
'gu'bing'wen'zhuo'su'wei'du'qiao'zhi'jiu'ye 故兵闻拙速未睹巧之久也
'gu'bu'jin'zhi'yong'bing'zhi'hai'zhe 故不尽知用兵之害者
'gu'jing'zhi'yi'wu'shi 故经之以五事
'gu'jun'shi'ke'zu'ye 故军食可足也
'gu'jun'zhi'suo'yi'huan'yu'jun'zhe'san 故君之所以患于军者三
'gu'neng'er'shi'zhi'bu'neng 故能而示之不能
'gu'sha'di'zhe 故杀敌者
'gu'shan'yong'bing'zhe 故善用兵者
