'ai'lian'shuo 爱莲说
'ai'shi'zu 爱士卒
'ai'zhuan'jiu'jue 哀转久绝
'an'ling'jun'bu'ting'gua'ren 安陵君不听寡人
'an'ling'jun'qi'xu'gua'ren 安陵君其许寡人
'an'ling'jun'shou'di'yu'xian'wang'er'shou'zhi 安陵君受地于先王而守之
'an'ling'jun'yin'shi'tang'ju'shi'yu'qin 安陵君因使唐雎使于秦
'an'ling'jun'yue 安陵君曰
'an'qiu'qi'neng'qian'li'ye 安求其能千里也
'an'zhi'ting'lan 岸芷汀兰
'an'zhi'wo'bu'zhi'yu'zhi'le 安知我不知鱼之乐
'an'zhi'yu'zhi'le 安知鱼之乐
'ang'shou'guan'zhi 昂首观之
'ao'zhe'wei'he 凹者为壑
'ba'dong'san'xia'wu'xia'chang 巴东三峡巫峡长
'ba'jiu'lin'feng 把酒临风
'ba'nian'ji'shang'ce 八年级上册
'ba'nian'ji'xia'ce 八年级下册
'ba'shan'dao'shu'er'lai 拔山倒树而来
'bai'er'shi'cheng 百二十城
'bai'fei'ju'xing 百废具兴
'bai'hong'guan'ri 白虹贯日
'bai'li'xi'ju'yu'shi 百里奚举于市
'bai'qian'er'ku 百千儿哭
'bai'qian'qi'zuo 百千齐作
'bai'qian'quan'fei 百千犬吠
'bai'xing'duo'wen'qi'xian 百姓多闻其贤
'bai'xue'fen'fen'he'suo'si 白雪纷纷何所似
'bao'qi'yan'zu 保其岩阻
'bei'ding'zhong'yuan 北定中原
'bei'fang'you'wu'chen'zhe 北方有侮臣者
'bei'shan'yu'gong'chang'xi'yue 北山愚公长息曰
'bei'shan'yu'gong'zhe 北山愚公者
'bei'yin'da'ze 北饮大泽
'ben'zai'ji'zhou'zhi'nan 本在冀州之南
'bi'jiang'you'dao 必将有盗
'bi'jie'wo'ying 彼竭我盈
'bi'neng'bi'bu'que'lou 必能裨补阙漏
'bi'neng'shi'hang'zhen'he'mu 必能使行阵和睦
'bi'qi'shou'zhi'tian'ye 彼其受之天也
'bi'qu'song 必取宋
'bi'wa'fei'meng 碧瓦飞甍
'bi'wei'you'qie'ji'yi 必为有窃疾矣
'bi'xia'yi'yi'zi'mou 陛下亦宜自谋
'bi'xian'ku'qi'xin'zhi 必先苦其心志
'bi'yi'fen'ren 必以分人
'bi'yi'qing 必以情
'bi'yi'xin 必以信
'bi'you'de'tian'shi'zhe'yi 必有得天时者矣
'bi'you'wo'shi'yan 必有我师焉
'bi'zhi 闭之
'bi'zhi'chen 比至陈
'bian'de'yi'shan 便得一山
'bian'fu'xiang'lu 便扶向路
'bian'she'chuan 便舍船
'bian'shu'shi 鞭数十
'bian'xin'ran'wang'shi 便欣然忘食
'bian'yao'huan'jia 便要还家
'bian'you'fu'ren'jing'jue'qian'shen 便有妇人惊觉欠伸
'bin'ke'yi'shao'shu 宾客意少舒
'bing'ge'fei'bu'jian'li'ye 兵革非不坚利也
'bing'jia'yi'zu 兵甲已足
'bing'sha'liang'wei 并杀两尉
'bing'yi'ran'zi'le 并怡然自乐
'bing'you'cheng'qi'nong'qi'biao'qiang'wu'dao'yu'shui'mian'zhe 并有乘骑弄旗标枪舞刀于水面者
'bing'zi'wei'qi'ming 并自为其名
'bo'lan'bu'jing 波澜不惊
'bo'mu'ming'ming 薄暮冥冥
'bo'se'zha'ming 波色乍明
'bu'bi'cang'yu'ji 不必藏于己
'bu'bi'feng'ri 不蔽风日
'bu'bi'wei'ji 不必为己
'bu'dang'li 不当立
'bu'du'zi'qi'zi 不独子其子
'bu'fu'chu'yan 不复出焉
'bu'fu'de'lu 不复得路
'bu'gan'chu'yi'yan'yi'fu 不敢出一言以复
'bu'gan'shao'yu'yue 不敢稍逾约
'bu'ji'ji'yu'fu'gui 不汲汲于富贵
'bu'jian'xi'yue 不见曦月
'bu'jue'ya'ran'yi'jing 不觉呀然一惊
'bu'ke 不可
'bu'ke'bu'xue 不可不学
'bu'ke'ji'qi'ceng'ci'yi 不可计其层次矣
'bu'ke'jiu'ju 不可久居
'bu'ke'qu'zhi'ye 不可屈致也
'bu'ke'wei'qiang 不可谓强
'bu'ke'wei'ren 不可谓仁
'bu'ke'wei'zhi 不可谓智
'bu'ke'wei'zhi'lei 不可谓知类
'bu'ke'wei'zhong 不可谓忠
'bu'ke'zhi'qi'yuan 不可知其源
'bu'man'bu'zhi 不蔓不枝
'bu'mu'rong'li 不慕荣利
'bu'neng'cheng'qian'shi'zhi'wen 不能称前时之闻
'bu'neng'jue'ye 不能绝也
'bu'neng'ming'qi'yi'chu'ye 不能名其一处也
'bu'neng'zhi'qi'yi'duan 不能指其一端
'bu'qi'qi'yu'pin'jian 不戚戚于贫贱
'bu'qiu'shen'jie 不求甚解
'bu'qiu'wen'da'yu'zhu'hou 不求闻达于诸侯
'bu'shi'xue 不使学
'bu'shou'zhi'ren 不受之人
'bu'xiao 不效
'bu'yi'ji'bei 不以己悲
'bu'yi'ji'ye 不以疾也
'bu'yi'jun'zi'hu 不亦君子乎
'bu'yi'le'hu 不亦乐乎
'bu'yi'pian'si 不宜偏私
'bu'yi'qian'li'cheng'ye 不以千里称也
'bu'yi'wang'zi'fei'bo 不宜妄自菲薄
'bu'yi'wu'xi 不以物喜
'bu'yi'yi'tong 不宜异同
'bu'yi'yuan'hu 不亦远乎
'bu'yi'yue'hu 不亦说乎
'bu'yi'zhi'nu 布衣之怒
'bu'yi'zhong'hu 不亦重乎
'bu'yi'zhuang 不一状
'bu'zhe'zhi'qi'zhi'yi 卜者知其指意
'bu'zhi'kou'ti'zhi'feng'bu'ruo'ren'ye 不知口体之奉不若人也
'bu'zhi'suo'yan 不知所言
'bu'zhi'wei'bu'zhi 不知为不知
'bu'zhu 不筑
'bu'zu'wei'wai'ren'dao'ye 不足为外人道也
'cai'mei'bu'wai'jian 才美不外见
'cai'ru'xing'dian 裁如星点
'cai'tong'ren 才通人
'cang'yan'bai'fa 苍颜白发
'cang'ying'ji'yu'dian'shang 仓鹰击于殿上
'cao'cao'bi'yu'yuan'shao 曹操比于袁绍
'cao'gui'lun'zhan 曹刿论战
'cao'gui'qing'jian 曹刿请见
'cao'se'ru'lian'qing 草色入帘青
'cao'she'zhi'shen'wen'zhi 操蛇之神闻之
'ce'mu'wei'xiao'mo'tan 侧目微笑默叹
'ce'zhi'bu'yi'qi'dao 策之不以其道
'cen'ci'pi'fu 参差披拂
'ceng'bu'lin'qing'qu'liu 曾不吝情去留
'ceng'bu'neng'hui'shan'zhi'yi'mao 曾不能毁山之一毛
'ceng'bu'neng'sun'kui'fu'zhi'qiu 曾不能损魁父之丘
'ceng'bu'ruo'shuang'qi'ruo'zi 曾不若孀妻弱子
'ceng'ceng'zhi'shu 层层指数
'ceng'yi'qi'suo'bu'neng 曾益其所不能
'cha'na'ya'yan 察纳雅言
'chan'ze'qian'zhuan'bu'qiong 蝉则千转不穷
'chang'gui'er'xie'zhi'yue 长跪而谢之曰
'chang'hen'jiu'zhi 怅恨久之
'chang'qu'bai'li'wai 尝趋百里外
'chang'yi'yu'he'zhou'yi 尝贻余核舟一
'chang'you'gao'yuan'chang'xiao 常有高猿长啸
'chang'yu'ren'yong'geng 尝与人佣耕
'chang'zhu'ji'xin'qi'zhong 场主积薪其中
'chang'zhu'wen'zhang'zi'yu 常著文章自娱
'chao'er'wang 朝而往
'chao'fu'yi'guan 朝服衣冠
'chao'ting'zhi'chen'mo'bu'wei'wang 朝廷之臣莫不畏王
'che'liu'qi'bai'sheng 车六七百乘
'che'ma'sai'tu 车马塞途
'che'ping'shi'zhi 撤屏视之
'chen'ben'bu'yi 臣本布衣
'chen'bu'sheng'shou'en'gan'ji 臣不胜受恩感激
'chen'cheng'zhi'bu'ru'xu'gong'mei 臣诚知不如徐公美
'chen'lin'jing'yue 沉鳞竞跃
'chen'qi'mang'mang'ran 尘气莽莽然
'chen'she'nai'li'wei'wang 陈涉乃立为王
'chen'she'shao'shi 陈涉少时
'chen'she'shi'jia 陈涉世家
'chen'she'tai'xi'yue 陈涉太息曰
'chen'sheng'wang 陈胜王
'chen'sheng'wu'guang'jie'ci'dang'hang 陈胜吴广皆次当行
'chen'sheng'wu'guang'nai'mou'yue 陈胜吴广乃谋曰
'chen'sheng'wu'guang'xi 陈胜吴广喜
'chen'sheng'yue 陈胜曰
'chen'sheng'zhe 陈胜者
'chen'sheng'zi'li'wei'jiang'jun 陈胜自立为将军
'chen'sheng'zuo'zhi 陈胜佐之
'chen'shou 陈寿
'chen'shou'ling'jie'bu'zai 陈守令皆不在
'chen'tai'qiu'yu'you'qi 陈太丘与友期
'chen'tai'qiu'yu'you'qi'xing 陈太丘与友期行
'chen'wei'chang'wen'ye 臣未尝闻也
'chen'yi'wang'li'zhi'gong'song'ye 臣以王吏之攻宋也
'chen'zhi'ke'yu'you'qiu'yu'chen 臣之客欲有求于臣
'chen'zhi'qi'si'chen 臣之妻私臣
'chen'zhi'qie'wei'chen 臣之妾畏臣
'cheng'bei'xu'gong 城北徐公
'cheng'da'chu 称大楚
'cheng'fei'bu'gao'ye 城非不高也
'cheng'ru'shi 诚如是
'cheng'shan'bei'zhi'sai 惩山北之塞
'cheng'shi'yi'xi'er'yi 城市依稀而已
'cheng'yi'kai'zhang'sheng'ting 诚宜开张圣听
