'an'jie 安节
'an'zhen'ji 安贞吉
'ba'mao'ru 拔茅茹
'bai'ben 白贲
'bao'cheng 包承
'bao'huang 包荒
'bao'meng'ji 包蒙吉
'bao'wu'yu 包无鱼
'bao'xiu 包羞
'bao'you'yu 包有鱼
'ben'gua 贲卦
'ben'qi'xu 贲其须
'ben'qi'zhi 贲其趾
'ben'ru'po'ru'bai'ma'han'ru'fei'kou'hun'gou 贲如皤如白马翰如匪寇婚媾
'ben'ru'ru'ru'yong 贲如濡如永
'ben'yu'qiu'yuan'shu'bo'jian'jian'lin 贲于丘园束帛戋戋吝
'bi'gua 比卦
'bi'zhi'fei'ren 比之匪人
'bi'zhi'wu'shou 比之无首
'bi'zhi'zi'nei 比之自内
'bing'shou'qi'fu 并受其福
'bo'chuang'yi'bian 剥牀以辨
'bo'chuang'yi'fu 剥牀以肤
'bo'chuang'yi'zu 剥牀以足
'bo'gua 剥卦
'bo'neng'lv 跛能履
'bo'zhi 剥之
'bu'chu'hu'ting 不出户庭
'bu'chu'men'ting 不出门庭
'bu'fu'yi'qi'lin 不富以其邻
'bu'geng'huo 不耕获
'bu'gu'fou'er'ge 不鼓缶而歌
'bu'heng'qi'de 不恒其德
'bu'huo'qi'shen 不获其身
'bu'ji'qi'jun 不及其君
'bu'jia'shi 不家食
'bu'jian'qi'qi 不见其妻
'bu'jian'qi'ren 不见其人
'bu'jie'ruo 不节若
'bu'jie'yi'fu 不戒以孚
'bu'ke'da'shi 不可大事
'bu'ke'ji'zhen 不可疾贞
'bu'ke'she'da'chuan 不可涉大川
'bu'ke'song 不克讼
'bu'li'bin 不利宾
'bu'li'dong'bei 不利东北
'bu'li'ji'rong 不利即戎
'bu'li'jun'zi'zhen 不利君子贞
'bu'li'wei'kou 不利为寇
'bu'li'you'you'wang 不利有攸往
'bu'ming'hui 不明晦
'bu'neng'sui 不能遂
'bu'neng'tui 不能退
'bu'ning'fang'lai 不宁方来
'bu'qi'jia 蔀其家
'bu'ru'qi'di'zhi'mei'liang 不如其娣之袂良
'bu'ru'xi'lin'zhi'yue'ji 不如西邻之禴祭
'bu'sang'bi'chang 不丧匕鬯
