'ai'guo'zhi'min 爱国治民
'ai'yi'shen'wei'tian'xia 爱以身为天下
'ai'zhe'sheng'yi 哀者胜矣
'an'ke'yi'wei'shan 安可以为善
'an'ping'tai 安平泰
'an'qi'ju 安其居
'ba'shi'yi'zhang 八十一章
'ba'shi'zhang 八十章
'bai'xing'jie'wei 百姓皆谓
'bai'xing'jie'zhu'qi'er'mu 百姓皆注其耳目
'bao'ci'dao'zhe 保此道者
'bei'jing'zhong'hua'shu'ju 北京中华书局
'ben'chuan'tong 本传统
'ben'dian'zi'ban 本电子版
'ben'wei'lan'ben 本为蓝本
'bi'gu'qiang'zhi 必故强之
'bi'gu'xing 必故兴
'bi'gu'xing'zhi 必故兴之
'bi'gu'yu'zhi 必故与之
'bi'gu'zhang'zhi 必故张之
'bi'qi'men 闭其门
'bi'yi'shen'hou'zhi 必以身后之
'bi'yi'yan'xia'zhi 必以言下之
'bi'you'xiong'nian 必有凶年
'bi'you'yu'yuan 必有余怨
'bi'yu'chi'zi 比于赤子
'bi'ze'xin 敝则新
'bi'zuo'yu'xi 必作于细
'bi'zuo'yu'yi 必作于易
'bian'zhe'bu'shan 辩者不善
'bing'wu'suo'rong'qi'ren 兵无所容其刃
'bing'zhe'bu'xiang'zhi'qi 兵者不祥之器
'bo'shu'ben 帛书本
'bo'shu'ben'ji 帛书本及
'bo'zhe'bu'zhi 博者不知
'bo'zhi'bu'de 搏之不得
'bu'ai 不爱
'bu'chu'hu 不出户
'bu'dai 不殆
'bu'dan'rong'hui'yu 不但融汇于
'bu'dao'zao'yi 不道早已
'bu'de 不得
'bu'de'yi 不得已
'bu'de'yi'er'yong'zhi 不得已而用之
'bu'gan'jin'cun'er'tui'chi 不敢进寸而退尺
'bu'gan'wei'tian'xia'xian 不敢为天下先
'bu'gu 不谷
'bu'gui'nan'de'zhi'huo 不贵难得之货
'bu'gui'qi'shi 不贵其师
'bu'jian'er'ming 不见而明
'bu'jian'ke'yu 不见可欲
'bu'ju'qi'bo 不居其薄
'bu'ju'qi'hua 不居其华
'bu'ke 不可
'bu'ke'bu 不可不
'bu'ke'bu'wei 不可不畏
'bu'ke'chang'bao 不可长保
'bu'ke'de'er 不可得而
'bu'ke'de'er'gui 不可得而贵
'bu'ke'de'er'hai 不可得而害
'bu'ke'de'er'jian 不可得而贱
'bu'ke'de'er'li 不可得而利
'bu'ke'de'er'shu 不可得而疏
'bu'ke'wei'ye 不可为也
'bu'ke'zhi'ye 不可执也
'bu'kui'you 不窥牖
'bu'qin 不勤
'bu'ru'qi'yi 不如其已
'bu'ru'shou'zhong 不如守中
'bu'ru'zuo'jin'ci'dao 不如坐进此道
'bu'shan'ren'zhe 不善人者
'bu'shan'ren'zhi'shi 不善人之师
'bu'shan'ren'zhi'suo'bao 不善人之所保
'bu'shan'zhe 不善者
'bu'shang'xian 不尚贤
'bu'shi'qi'suo'zhe'jiu 不失其所者久
'bu'wei'er'cheng 不为而成
'bu'xiang'wang'lai 不相往来
'bu'xiang'zhi'qi 不祥之器
'bu'xiao'bu'zu'yi'wei'dao 不笑不足以为道
'bu'xin'zhe 不信者
'bu'yan'er'shan'ying 不言而善应
'bu'yan'zhi'jiao 不言之教
'bu'yi'bing'qiang'tian'xia 不以兵强天下
'bu'yi'qu'qiang 不以取强
'bu'yi'zhi'zhi'guo 不以智治国
'bu'yu'yi'jing 不欲以静
'bu'yu'ying 不欲盈
'bu'yue 不曰
'bu'zhao'er'zi'lai 不召而自来
'bu'zheng'er'shan'sheng 不争而善胜
'bu'zhi'chang 不知常
'bu'zhi'you'zhi 不知有之
'bu'zhi'zhi'bing 不知知病
'bu'zi'fa 不自伐
'bu'zi'jian 不自见
'bu'zi'jin 不自矜
'bu'zi'shi 不自是
'bu'zu 不足
'bu'zu'yi'qu'tian'xia 不足以取天下
'bu'zu'zhe'bu'zhi 不足者补之
'cai'huo'you'yu 财货有馀
'can'kan'hu'nan 参看湖南
'can'kan'hu'nan'chang'sha'ma'wang'dui'han'mu'chu'tu 参看湖南长沙马王堆汉墓出土
'cang'shen'xu 仓甚虚
'cang'zhi'ming'shan'zhe 藏之名山者
'chan'ran'er'shan'mou 繟然而善谋
'chang'de'bu'li 常德不离
'chang'de'bu'tei 常德不忒
'chang'de'nai'zu 常德乃足
'chang'duan'xiang'xing 长短相形
'chang'er'bu'zai 长而不宰
'chang'sha'ma'wang'dui'han'mu 长沙马王堆汉墓
'chang'shan'jiu'wu 常善救物
'chang'sheng'jiu'shi'zhi'dao 长生久视之道
'chang'shi'min'wu'zhi 常使民无知
'chang'you 常有
'chang'you'si'sha'zhe'sha 常有司杀者杀
'chang'yu'ji'cheng'er'bai'zhi 常于几成而败之
'chang'yu'shan'ren 常与善人
'chang'zhi'ji'shi 常知稽式
'chang'zhi'yu'zhi 长之育之
'chang'zu'yi 常足矣
'chao'shen'chu 朝甚除
'chen'gu'ying 陈鼓应
'cheng'quan'er'gui'zhi 诚全而归之
'cheng'zhi'shu'zhi 成之熟之
'chi'cheng'tian'lie 驰骋畋猎
'chi'cheng'tian'xia'zhi'zhi'jian 驰骋天下之至坚
'chi'er'bao'zhi 持而保之
'chi'er'ying'zhi 持而盈之
'chong'qi'yi 冲气以
'chong'ru'ruo'jing 宠辱若惊
'chong'wei'xia 宠为下
'chu'qi'shi 处其实
'chu'qian'er'min'bu'hai 处前而民不害
'chu'shang'er'min'bu'zhong 处上而民不重
'chu'sheng'ru'si 出生入死
'chu'tu'de 出土的
'chu'zhong'ren'zhi'suo'e 处众人之所恶
'chuai'er'rui'zhi 揣而锐之
'ci'fei 此非
'ci'gu'neng'yong 慈故能勇
'ci'liang'zhe 此两者
'ci'san'zhe'bu'ke'zhi'jie 此三者不可致诘
'ci'san'zhe'yi'wei'wen 此三者以为文
'ci'san'zhe'yi'wei'wen'bu'zu 此三者以为文不足
'ci'wai 此外
'ci'wai'wei'shu'bu'duo'zhi'chu 此外为数不多之处
'cuo'qi'rui 挫其锐
'da'bai'ruo'ru 大白若辱
'da'bang'bu'guo'yu'jian'chu'ren 大邦不过欲兼畜人
'da'bang'zhe'xia'liu 大邦者下流
'da'bian'ruo'ne 大辩若讷
'da'cheng'ruo'que 大成若缺
'da'dao'fan'xi 大道泛兮
'da'dao'fei 大道废
'da'dao'shen'yi 大道甚夷
'da'fang'wu'yu 大方无隅
'da'jun'zhi'hou 大军之后
'da'qi'wan'cheng 大器晚成
'da'qiao'ruo'zhuo 大巧若拙
'da'xiang'wu'xing 大象无形
'da'xiao'zhi 大笑之
'da'yin'xi'sheng 大音希声
'da'ying'ruo'chong 大盈若冲
'da'yue'shi 大曰逝
'da'zhe'yi'wei'xia 大者宜为下
'da'zhi'ruo'qu 大直若屈
'da'zi'shu'ru'er'cheng 打字输入而成
'dai'li 带利
'dai'li'jian 带利剑
'dan'hu'qi'wu'wei 淡乎其无味
'dan'lun'ji 但论及
'dan'lun'ji'neng'zong'kuo'zhong'hua'min'zu'de'ji 但论及能总括中华民族的基
'dan'rong'hui'yu'ru 但融汇于儒
'dan'xi'qi'ruo'hai 澹兮其若海
'dang'qi'wu 当其无
'dang'shou'shu 当首数
'dang'shou'shu'lao'zi'de 当首数老子的
'dao'chang'wu'ming'pu 道常无名朴
'dao'chang'wu'wei'er'wu'bu'wei 道常无为而无不为
'dao'chong 道冲
'dao'de'jing 道德经
'dao'fa'zi'ran 道法自然
