'ai'wo'wo 艾窝窝
'tian'jiang'jiang'ya 甜酱姜牙
'tian'jiang'luo'pu 甜酱萝葡
'tian'la'qian 甜辣乾
'tian'mian'jiang 甜面酱
'tian'suan'ru'gua 甜酸乳瓜
'tian'xiang'bao'yu 天香鲍鱼
'ting'chen'yan 廷臣宴
'wan'dou'huang 豌豆黄
'wan'shou'yan 万寿宴
'wan'zi'ma'la'du'si 万字麻辣肚丝
'wan'zi'shan'hu'bai 万字珊瑚白
'wan'zi'shan'hu'bai'cai 万字珊瑚白菜
'wei'zu'kao'yang'rou 维族烤羊肉
'wu'bao'san'dan 芜爆散丹
'wu'cai'chao'shou 五彩抄手
'wu'cai'chao'tuo'feng 五彩炒驼峰
'wu'cai'niu'liu 五彩牛柳
'wu'long'tu'zhu 乌龙吐珠
'wu'si'yang'fen 五丝洋粉
'wu'xiang'gui'yu 五香鳜鱼
'wu'xiang'jiang'ji 五香酱鸡
'wu'xiang'shu'jie 五香熟芥
'wu'xiang'xing'ren 五香杏仁
'wu'xiang'yao'guo 五香腰果
'wu'xiang'zai'ge 五香仔鸽
'wu'zi'yan'shui'niu'rou 无字盐水牛肉
'xi'que'deng'mei 喜鹊登梅
'xi'zhen'hei'mi'zhou 稀珍黑米粥
'xia'you'huang'gua 暇油黄瓜
'xia'zi'dong'sun 虾籽冬笋
'xian'dou'miao 鲜豆苗
'xian'mo'cai'xin 鲜蘑菜心
'xian'yu'rou 鲜鱼肉
'xiang'la'huang'gua'tiao 香辣黄瓜条
'xiang'long'shuang'fei 祥龙双飞
'xiang'ma'lu'rou'bing 香麻鹿肉饼
'xiang'peng'pao'ji 香烹狍脊
'xiang'su'ping'guo 香酥苹果
'xiang'you'shan'hu 香油膳糊
'xiang'zi'dou'fu 箱子豆腐
'xiao'dou'gao 小豆糕
'xie'rou'shuang'sun'si 蟹肉双笋丝
'xin'yang'mao'jian 信阳毛尖
'xing'ren'dou'fu 杏仁豆腐
'xing'ren'fo'shou 杏仁佛手
'xiong'mao'xie'rou'xia 熊猫蟹肉虾
'xiu'qiu'qian'bei 绣球乾贝
'xue'li'hong 雪里蕻
'xue'shan'mei 雪山梅
'yan'jian'rou 盐煎肉
'yan'shui'jie'pi 腌水芥皮
'yan'shui'li'ji 盐水里脊
'yang'he'chun'lv 杨河春绿
'yao'guo'lu'ding 腰果鹿丁
'yao'guo'qin'xin 腰果芹心
'ye'wei'huo'guo 野味火锅
'ye'ya'pu 野鸭脯
'ye'ya'tao'ren'ding 野鸭桃仁丁
'ye'zhu'rou 野猪肉
'ye'zi'zhan 椰子盏
'yi'pin'dou'fu 一品豆腐
'yi'pin'guan'yan 一品官燕
'ying'shi'shui'guo'pin'pan'yi'pin 应时水果拼盘一品
'you'men'cao'gu 油焖草菇
'you'men'xian'mo 油焖鲜蘑
'you'men'xian'mo'mi'zhi'fan'qie 油焖鲜蘑蜜汁蕃茄
'you'yu'juan 鱿鱼卷
'yu'cai'san'pin 御菜三品
'yu'cai'si'pin 御菜四品
'yu'cai'wu'pin 御菜五品
'yu'cai'yi'pin 御菜一品
'yu'mian'hu'lu 玉面葫芦
'yu'shan'dou'huang 御膳豆黄
'yu'shan'kao'ji 御膳烤鸡
'yu'sun'jue'cai 玉笋蕨菜
'yu'tu'bai'cai 玉兔白菜
'yu'zhang'xian'shou 玉掌献寿
'yuan'bao'zai'ge 芫爆仔鸽
'yuan'ke'xian'bao'yu 原壳鲜鲍鱼
'yuan'yang'juan 鸳鸯卷
'yue'bing 月饼
'yun'dou'juan 芸豆卷
'zao'ni'gao 枣泥糕
'zhen'zhu'yu'wan 珍珠鱼丸
'zhi'ma'juan 芝麻卷
'zhi'ma'nan'tang 芝麻南糖
'zhi'ma'yu 芝麻鱼
'zhu'lan'da'fang 珠兰大方
'zi'dong'sun 籽冬笋
'zi'xiang'qian 紫香乾
