'an'zhi'ting'lan 岸芷汀兰
'ba'jiu'lin'feng 把酒临风
'bai'fei'ju'xing 百废具兴
'bai'li'xi'ju'yu'shi 百里奚举于市
'bi'jie'wo'ying 彼竭我盈
'bi'xian'ku'qi'xin'zhi 必先苦其心志
'bi'yi'fen'ren 必以分人
'bi'yi'qing 必以情
'bi'yi'xin 必以信
'bian'de'yi'shan 便得一山
'bian'she'chuan 便舍船
'bing'yi'ran'zi'le 并怡然自乐
'bo'lan'bu'jing 波澜不惊
'bo'mu'ming'ming 薄暮冥冥
'bu'ke'jiu'ju 不可久居
'bu'ke'zhi'qi'yuan 不可知其源
'bu'yi'ji'bei 不以己悲
'bu'yi'jun'zi'hu 不亦君子乎
'bu'yi'le'hu 不亦乐乎
'bu'yi'wu'xi 不以物喜
'bu'yi'yue'hu 不亦说乎
'cai'tong'ren 才通人
'cao'gui'lun'zhan 曹刿论战
'cao'gui'qing'jian 曹刿请见
'cao'se'ru'lian'qing 草色入帘青
'cen'ci'pi'fu 参差披拂
'ceng'yi'qi'suo'bu'neng 曾益其所不能
'chong'ru'xie'wang 宠辱偕忘
'chu'er'yuan'shi 俶尔远逝
'chu'ji'xia 初极狭
'chu'jiang'hu'zhi'yuan'ze'you'qi'jun 处江湖之远则忧其君
'chu'ze'wu'di'guo'wai'huan'zhe 出则无敌国外患者
'ci'le'he'ji 此乐何极
'ci'ze'yue'yang'lou'zhi'da'guan'ye 此则岳阳楼之大观也
'cong'kou'ru 从口入
'cong'xiao'qiu'xi'xing'bai'er'shi'bu 从小丘西行百二十步
'de'wu'yi'hu 得无异乎
'deng'shi'er'wang'zhi 登轼而望之
'deng'si'lou'ye 登斯楼也
'dong'jin 东晋
'dou'zhe'she'xing 斗折蛇行
'dui'yue 对曰
'duo'hui'yu'ci 多会于此
'e'qi'ti'fu 饿其体肤
'er'hou'yu 而后喻
'er'hou'zuo 而后作
'er'huo'chang'yan'yi'kong 而或长烟一空
'er'si'yu'an'le'ye 而死于安乐也
'fa'yu'sheng 发于声
'fa'zhu'qu'dao 伐竹取道
'fan'zhong'yan 范仲淹
'fang'cao'xian'mei 芳草鲜美
'fang'fu'ruo'you'guang 仿佛若有光
'fu'da'guo 夫大国
'fu'gan'jia'ye 弗敢加也
'fu'gan'zhuan'ye 弗敢专也
'fu'guang'yue'jin 浮光跃金
'fu'qian'xing 复前行
'fu'shuo'ju'yu'ban'zhu'zhi'jian 傅说举于版筑之间
'fu'xing'shu'shi'bu 复行数十步
'fu'zhan 夫战
'gan'ji'er'bei'zhe'yi 感极而悲者矣
'ge'huang'zhu 隔篁竹
'gong'jiang'chi'zhi 公将驰之
'gong'jiang'gu'zhi 公将鼓之
'gong'jiang'zhan 公将战
'gong'wen'qi'gu 公问其故
'gong'yu'zhi'cheng 公与之乘
'gong'yue 公曰
'gu'ke'zhi 故克之
'gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye 故天将降大任于是人也
'gu'zhu'zhi 故逐之
'guan'yi'wu'ju'yu'shi 管夷吾举于士
'gui'yue 刿曰
'guo'heng'wang 国恒亡
'hao'hao'shang'tang 浩浩汤汤
'hao'yue'qian'li 皓月千里
'he'lou'zhi'you 何陋之有
'he'yi'zhan 何以战
'he'zai 何哉
'heng'wu'ji'ya 横无际涯
'heng'yu'lv 衡于虑
'hou'tian'xia'zhi'le'er'le 后天下之乐而乐
'hu'feng'tao'hua'lin 忽逢桃花林
'hu'xiao'yuan'ti 虎啸猿啼
'huang'fa'chui'tiao 黄发垂髫
'huo'ran'kai'lang 豁然开朗
'huo'yi'er'zhe'zhi'wei 或异二者之为
'ji'ke 既克
'ji'liao'wu'ren 寂寥无人
'ji'quan'xiang'wen 鸡犬相闻
'jia'an'shu'bai'bu 夹岸数百步
'jiao'ge'ju'yu'yu'yan'zhi'zhong 胶鬲举于鱼盐之中
'jie'fu 嗟夫
'jie'ruo'kong'you'wu'suo'yi 皆若空游无所依
'jin'an 近岸
'jin'lin'you'yong 锦鳞游泳
'jin'tai'yuan'zhong 晋太元中
'jing'ying'chen'bi 静影沉璧
'ju'miao'tang'zhi'gao'ze'you'qi'min 居庙堂之高则忧其民
'ju'you'fu'yan 惧有伏焉
'juan'shi'di'yi'chu 卷石底以出
'ke'tang'xian'jin'ren'shi'fu'yu'qi'shang 刻唐贤今人诗赋于其上
'ke'yi 可矣
'ke'yi'tiao'su'qin 可以调素琴
'ke'yi'wei'shi'yi 可以为师矣
'ke'yi'yi'zhan 可以一战
'kong'fa'qi'shen 空乏其身
'kong'zi'yun 孔子云
'kun'yu'xin 困于心
'lan'wu'zhi'qing 览物之情
'lao'qi'jin'gu 劳其筋骨
'lian'yue'bu'kai 连月不开
'lin'jin'shui'yuan 林尽水源
'liu'yu'xi 刘禹锡
'liu'zong'yuan 柳宗元
'lou'shi'ming 陋室铭
'lun'yu 论语
'luo'ying'bin'fen 落英缤纷
'man'mu'xiao'ran 满目萧然
'meng'luo'yao'zhui 蒙络摇缀
'meng'zi 孟子
'min'fu'cong'ye 民弗从也
'ming'mie'ke'jian 明灭可见
'nai'chong'xiu'yue'yang'lou 乃重修岳阳楼
'nai'ji'zhi'er'qu 乃记之而去
'nai'ru'jian 乃入见
'nan'ce'ye 难测也
'nan'ji'xiao'xiang 南极潇湘
'nan'nv'yi'zhuo 男女衣着
'nan'yang'zhu'ge'lu 南阳诸葛庐
'qi'an'shi'quan'ya'cha'hu 其岸势犬牙差互
'qi'bi'yue 其必曰
'qi'ren'san'gu 齐人三鼓
'qi'shen'han'gu 凄神寒骨
'qi'shi'bai'ji 齐师败绩
'qi'shi'fa'wo 齐师伐我
'qi'xi'yang'yang'zhe'yi 其喜洋洋者矣
'qi'xiang'ren'yue 其乡人曰
'qi'xiang'wan'qian 气象万千
'qi'zhong'wang'lai'zhong'zuo 其中往来种作
'qian'ke'sao'ren 迁客骚人
'qian'mo'jiao'tong 阡陌交通
'qian'ren'zhi'shu'bei'yi 前人之述备矣
'qiang'qing'ji'cui 樯倾楫摧
'qiao'chuang'you'sui 悄怆幽邃
'qing'li'si'nian'chun 庆历四年春
'qing'shu'cui'man 青树翠蔓
'quan'shi'yi'wei'di 全石以为底
'ran'hou'neng'gai 然后能改
'ran'hou'zhi'sheng'yu'you'huan 然后知生于忧患
'ran'ze'bei'tong'wu'xia 然则北通巫峡
'ran'ze'he'shi'er'le'ye 然则何时而乐耶
'ren'bu'zhi'er'bu'yun 人不知而不愠
'ren'heng'guo 人恒过
'ri'guang'xia'che 日光下彻
'ri'xing'yin'yao 日星隐耀
'rou'shi'zhe'bi 肉食者鄙
'rou'shi'zhe'mou'zhi 肉食者谋之
'ru'ming'pei'huan 如鸣佩环
'ru'ze'wu'fa'jia'bi'shi 入则无法家拂士
'ruo'fu'yin'yu'fei'fei 若夫霪雨霏霏
'san'er'jie 三而竭
'sha'ou'xiang'ji 沙鸥翔集
'shan'bu'zai'gao 山不在高
'shan'you'xiao'kou 山有小口
'shan'yue'qian'xing 山岳潜形
'shang'lv'bu'xing 商旅不行
'shang'xia'tian'guang 上下天光
'shen'fu'fu'ye 神弗福也
'sheng'yu'you'huan'si'yu'an'le 生于忧患死于安乐
'shi'jin'yi'you 是进亦忧
'shi'liu'nian'jiu'yue'shi'wu'ri 时六年九月十五日
'shi'nian'chun 十年春
'shu'yu'zuo'wen'yi'ji'zhi 属予作文以记之
'shui'bu'zai'shen 水不在深
'shui'you'qing'lie 水尤清洌
'shun'fa'yu'quan'mu'zhi'zhong 舜发于畎亩之中
'si'er'bu'xue'ze'dai 思而不学则殆
'si'mian'zhu'shu'huan'he 四面竹树环合
'si'shi'lou'shi 斯是陋室
'si'yu'you'zhe'xiang'le 似与游者相乐
'sui'bu'neng'cha 虽不能察
'sui'zhu'qi'shi 遂逐齐师
'sun'shu'ao'ju'yu'hai 孙叔敖举于海
'suo'yi'dong'xin'ren'xing 所以动心忍性
'tai'hen'shang'jie'lv 苔痕上阶绿
'tan'xi'nan'er'wang 潭西南而望
'tan'xiao'you'hong'ru 谈笑有鸿儒
'tan'zhong'yu'ke'bai'xu'tou 潭中鱼可百许头
'tao'hua'yuan'ji 桃花源记
'tao'yuan'ming 陶渊明
'teng'zi'jing'zhe'shou'ba'ling'jun 滕子京谪守巴陵郡
'tu'di'ping'kuang 土地平旷
'tui'yi'you 退亦忧
'tun'chang'jiang 吞长江
'wang'lai'wu'bai'ding 往来无白丁
'wang'lai'xi'hu 往来翕忽
'wang'lu'zhi'yuan'jin 忘路之远近
'wang'qi'qi'mi 望其旗靡
'wei'di 为坻
'wei'ke 未可
'wei'neng'yuan'mou 未能远谋
'wei'si'ren 微斯人
'wei'wu'de'xin 惟吾德馨
'wei'yan 为岩
'wei'yu 为屿
'wei'zhan 为嵁
'wen'gu'er'zhi'xin 温故而知新
'wen'shui'sheng 闻水声
'wu'an'du'zhi'lao'xing 无案牍之劳形
'wu'ling'ren'bu'yu'wei'ye 武陵人捕鱼为业
'wu'she'yan'ran 屋舍俨然
'wu'shi'qi'zhe'luan 吾视其辙乱
'wu'shui'yu'gui 吾谁与归
'wu'si'zhu'zhi'luan'er 无丝竹之乱耳
'xi'ru'wai'ren 悉如外人
'xi'sheng'yu'bo 牺牲玉帛
'xi'shu'zi'yun'ting 西蜀子云亭
'xia'jian'xiao'tan 下见小潭
'xia'shi'qi'zhe 下视其辙
'xian'tian'xia'zhi'you'er'you 先天下之忧而忧
'xian'yuan'shan 衔远山
'xiao'da'zhi'yu 小大之狱
'xiao'hui'wei'bian 小惠未徧
'xiao'shi'tan'ji 小石潭记
'xiao'xin'wei'fu 小信未孚
'xin'le'zhi 心乐之
'xing'fu'luan'qi'suo'wei 行拂乱其所为
'xue'er'bu'si'ze'wang 学而不思则罔
'xue'er'shi'xi'zhi 学而时习之
'yi'bi'wan'qing 一碧万顷
'yi'gu'zuo'qi 一鼓作气
'yi'qi'jing'guo'qing 以其境过清
'yi'ran'bu'dong 佁然不动
'yi'shi'suo'an 衣食所安
'yin'feng'nu'hao 阴风怒号
'ying'bu'shi'shang 影布石上
'yong'qi'ye 勇气也
'you'chan'wei'ji 忧谗畏讥
'you'he'jian'yan 又何间焉
'you'liang'tian'mei'chi'sang'zhu'zhi'shu 有良田美池桑竹之属
'you'long'ze'ling 有龙则灵
'you'peng'zi'yuan'fang'lai 有朋自远方来
'you'xian'ze'ming 有仙则名
'yu'chang'qiu'gu'ren'ren'zhi'xin 予尝求古仁人之心
'yu'ge'hu'da 渔歌互答
'yu'guan'fu'ba'ling'sheng'zhuang 予观夫巴陵胜状
'yu'qiong'qi'lin 欲穷其林
'yu'ren'shen'yi'zhi 渔人甚异之
'yu'yu'qing'qing 郁郁青青
'yuan'xi'xing 缘溪行
'yue'jin'jing 阅金经
'yue'ming'nian 越明年
'yue'yang'lou'ji 岳阳楼记
'zai'dong'ting'yi'hu 在洞庭一湖
'zai'er'shuai 再而衰
'ze'you'qu'guo'huai'xiang 则有去国怀乡
'ze'you'xin'kuang'shen'yi 则有心旷神怡
'zeng'qi'jiu'zhi 增其旧制
'zhan'guo 战国
'zhan'yu'chang'shao 战于长勺
'zhan'ze'qing'cong 战则请从
'zhao'hui'xi'yin 朝晖夕阴
'zheng'tong'ren'he 政通人和
'zheng'yu'se 征于色
'zhi'ruo'chun'he'jing'ming 至若春和景明
'zhong'wu'za'shu 中无杂树
'zhong'zhi'shu'ye 忠之属也
'zhuo'lang'pai'kong 浊浪排空
'zuo'tan'shang 坐潭上
'zuo'zhuan 左传
