'bai'mo'jiao'zheng'shou'shu 白膜矫正手术
'ban'dao 半导
'bao'pi'ji'dai'guo'duan 包皮系带过短
'bei'shen'jing'fa'zhi 背神经阀值
'bian'ping'you 扁平疣
'chu'xie 出血
'cu'suan'bai'shi'yan'yang'xing 醋酸白试验阳性
'di'du 滴度
'dian'jing'jian'cha 电镜检查
'dian'zhuo'zhi'liao 电灼治疗
'dou'you'ke'neng'dao'zhi'yin'jing'xiang'xia'wan'qu 都有可能导致阴茎向下弯曲
'fu'gao 附睾
'fu'gao'yan 附睾炎
'gao'wan'ji'bing 睾丸疾病
'gao'wan'yan'fu'gao'yan 睾丸炎附睾炎
'gao'wan'you'dian'ying 睾丸有点硬
'gong'xue'bu'hao 供血不好
'gui'tou'min'gan'du 龟头敏感度
'gui'tou'xing'shen'jing'yu'zhi'zuo'jian'cha 龟头性神经阈值做检查
'gui'tou'yan 龟头炎
'hai'mian'ti'ji'bing 海绵体疾病
'hong'guang 红光
'hua'liu'bing 花柳病
'hui'liu'shou'zu 回流受阻
'ji'guang'zhi'liao 激光治疗
'ji'yin'jian'cha 基因检查
'jia'xing'ruan'you 假性软疣
'jian'ce'ti'gao'zhen'duan'lv 检测提高诊断率
'jian'cha 检查
'jian'cha'fang'fa 检查方法
'jian'cha'yin'jing'de'xue'guan 检查阴茎的血管
'jian'rui'shi'you 尖锐湿疣
'jing'mai'cong'xue'guan'kuo'zhang 静脉丛血管扩张
'jing'nang'yan 精囊炎
'jun'wei'yin'xing 均为阴性
'kang'yuan'jian'cha 抗原检查
'ke'kao'lv'wei'zhi'yu 可考虑为治愈
'leng'dong'liao'fa 冷冻疗法
'liao'fa 疗法
'lin'ba'guan'yan 淋巴管炎
'mao'nang'yan 毛囊炎
'mei'du 梅毒
'mei'du'luo'xuan'ti'jian'cha 梅毒螺旋体检查
'mei'du'xue'qing'shi'yan'shi'jian'cha 梅毒血清试验室检查
'min'gan'du'de'jian'cha 敏感度的检查
'niao'bu'jin 尿不尽
'niao'dao'kuo'yue'ji'shi'tiao 尿道括约肌失调
'niao'di'li 尿滴沥
'niao'xian'bian'xi 尿线变细
'ning'xue 凝血
'pao'zhen 疱疹
'pao'zhen'bing'du'de'xi'bao'xue'jian'cha 疱疹病毒的细胞学检查
'pao'zhen'bing'du'de'xue'qing'xue'jian'cha 疱疹病毒的血清学检查
'pao'zhen'bing'du'zu'zhi'pei'yang 疱疹病毒组织培养
'pei'yang'jian'cha 培养检查
'qian'lie'xian'yan 前列腺炎
'qiang'dao'jie'ru 腔道介入
'she'xian'zhi'liao 射线治疗
'shou'shu'liao'fa 手术疗法
'shuang'ce'hai'mian'ti'fa'yu'bu'dui'chen 双侧海绵体发育不对称
'tiao'jie'da'nao'pi'zhi'gong'neng 调节大脑皮质功能
'tu'pian'jian'cha 涂片检查
'wei'bo'zhi'liao 微波治疗
'xi'bao'xue'zhen'duan 细胞学诊断
'xue'ce'kang'ti'ci 血测抗体次
'xue'guan'ji'bing 血管疾病
'xue'liu 血瘤
'xue'liu'he'hai'mian'ti 血流和海绵体
'xue'qing'jian'cha 血清检查
'yan'zheng'fang'mian'de'jian'cha 炎症方面的检查
'yao'min'shi'yan 药敏试验
'yao'tong 腰痛
'yi'nian'wei'fu'fa 一年未复发
'yin'jing'bai'mo'ji'hai'mian'ti 阴茎白膜及海绵体
'yin'jing'bei'shen'min'gan'du'guo'gao 阴茎背神敏感度过高
'yin'jing'bei'xue'liu'liang'bu'zu 阴茎背血流量不足
'yin'jing'fu'ce'fa'yu'bu'quan 阴茎腹侧发育不全
'yin'jing'hai'mian'ti'bai'mo'yi'chang 阴茎海绵体白膜异常
'yin'jing'suo'jing'mai'xue'liu'yu'ji 因精索静脉血流淤积
'yin'jing'xue'guan'ji'xue'liu 阴茎血管及血流
'yin'jing'xue'guan'kuo'zhang 阴茎血管扩张
'yin'jing'xue'guan'yan 阴茎血管炎
'yin'jing'ying'jie'zheng 阴茎硬结症
'yin'xing'chu'xie 隐性出血
'yu'qu'he'bian'chang 迂曲和变长
'zhi'yu'biao'zhun 治愈标准
'zu'zhi'zhou'xiang'duan'suo 组织轴向短缩
