'bao'xian'biao'di 保险标的
'bao'xian'biao'di'wei'fu 保险标的委付
'bao'xian'dan'zheng'qian'fa 保险单证签发
'bao'xian'fei 保险费
'bao'xian'fei'zhi'fu'yi'wu 保险费支付义务
'bao'xian'jia'zhi'yue'ding 保险价值约定
'bao'xian'jin'xian'e 保险金限额
'bao'xian'jin'yue'ding 保险金约定
'bao'xian'li'yi 保险利益
'bao'xian'qi'jian 保险期间
'bao'xian'ren'bu'fu'pei'chang'ze'ren'de'qing'xing 保险人不负赔偿责任的情形
'bao'xian'ren'de'dai'wei'qiu'chang'quan 保险人的代位求偿权
'bao'xian'ren'de'he'tong'jie'chu'quan 保险人的合同解除权
'bao'xian'ren'de'tong'shi'lv'xing'kang'bian'quan 保险人的同时履行抗辩权
'bao'xian'ren'de'zai'bao'xian'quan 保险人的再保险权
'bao'xian'ren'dui'bao'xian'biao'di'quan'li'de'fang'qi 保险人对保险标的权利的放弃
'bao'xian'ren'dui'shu'ci'bao'xian'shi'gu'de'pei'chang 保险人对数次保险事故的赔偿
'bao'xian'ren'fei'yong'pei'chang'xian'e 保险人费用赔偿限额
'bao'xian'ren'fei'yong'pei'chang'yi'wu 保险人费用赔偿义务
'bao'xian'ren'fen'qian'de'bao'xian'dan'zheng 保险人分签的保险单证
'bao'xian'ren'jie'shou'wei'fu'de'xiao'li 保险人接受委付的效力
'bao'xian'ren'kou'jian'bao'xian'pei'chang'de'qing'xing 保险人扣减保险赔偿的情形
'bao'xian'ren'pei'chang'hou'qu'de'de'quan'li 保险人赔偿后取得的权利
'bao'xian'shi'gu 保险事故
'bao'xian'ze'ren 保险责任
'bao'xian'ze'ren'kai'shi'hou'yue'ding'he'tong'jie'chu'quan 保险责任开始后约定合同解除权
'bei'bao'xian'ren'bao'xian'shi'gu'tong'zhi'yi'wu 被保险人保险事故通知义务
'bei'bao'xian'ren'de'gao'zhi'yi'wu'mian'chu 被保险人的告知义务免除
'bei'bao'xian'ren'de'he'tong'jie'chu'quan 被保险人的合同解除权
'bei'bao'xian'ren'fang'zhi'huo'jian'shao'sun'shi'de'yi'wu 被保险人防止或减少损失的义务
'bei'bao'xian'ren'ti'gong'zheng'ming'zi'liao'de'yi'wu 被保险人提供证明资料的义务
'bei'bao'xian'ren'xie'zhu'bao'xian'ren'zhui'chang'de'yi'wu 被保险人协助保险人追偿的义务
'bei'di'ya'chuan'bo'de'bao'xian 被抵押船舶的保险
'bei'di'ya'chuan'bo'de'zhuan'rang 被抵押船舶的转让
'bei'jiu'zhu'fang'de'yi'wu 被救助方的义务
'bei'jiu'zhu'fang'jiu'zhu'kuan'xiang'de'dan'bao 被救助方救助款项的担保
'bei'tuo'fang'shi'huo'wu'shi'tuo'de'yi'wu 被拖方使货物适拖的义务
'bu'fen'sun'shi 部分损失
'cai'qu'hai'shi'zheng'ju'bao'quan'de'tiao'jian 采取海事证据保全的条件
'cang'mian'huo'yun'shu'ze'ren 舱面货运输责任
'cheng'tuo'fang'de'mian'ze 承拖方的免责
'cheng'tuo'fang'dui'bei'tuo'wu'de'liu'zhi'quan 承拖方对被拖物的留置权
'cheng'tuo'fang'shi'tuo'lun'shi'hang'shi'tuo'de'yi'wu 承拖方使拖轮适航适拖的义务
'cheng'yun'ren 承运人
'cheng'yun'ren'chi'yan'jiao'fu'de'ze'ren 承运人迟延交付的责任
'cheng'yun'ren'de'bu'rao'hang'yi'wu 承运人的不绕航义务
'cheng'yun'ren'de'guan'huo'yi'wu 承运人的管货义务
'cheng'yun'ren'de'huo'wu'liu'zhi'quan 承运人的货物留置权
'cheng'yun'ren'de'mian'ze 承运人的免责
'cheng'yun'ren'de'ze'ren'ji'chu 承运人的责任基础
'cheng'yun'ren'de'ze'ren'qi'jian 承运人的责任期间
'cheng'yun'ren'pei'chang'ze'ren'xian'zhi'de'li'wai 承运人赔偿责任限制的例外
'cheng'yun'ren'ti'gong'shi'hang'chuan'bo'de'yi'wu 承运人提供适航船舶的义务
'cheng'yun'ren'wu'fa'jiao'huo'shi'de'chu'zhi'quan 承运人无法交货时的处置权
'cheng'yun'ren'ze'ren'jia'zhong 承运人责任加重
'cheng'zu'ren'yi'yue'ding'ti'gong'huo'wu'de'yi'wu 承租人依约定提供货物的义务
'cheng'zu'ren'zhuan'zu'chuan'bo 承租人转租船舶
'chi'yan'jiao'fu'de'pei'chang'xian'e 迟延交付的赔偿限额
'chong'fu'bao'xian 重复保险
'chong'fu'kou'chuan 重复扣船
'chu'wai'ze'ren 除外责任
'chu'zu'ren'de'xie'huo'yi'wu 出租人的卸货义务
'chu'zu'ren'yi'yue'ding'ti'gong'chuan'bo'de'yi'wu 出租人依约定提供船舶的义务
'chuan'bo 船舶
'chuan'bo'de'pai'mai 船舶的拍卖
'chuan'bo'di'ya'he'tong'cheng'li'yao'jian 船舶抵押合同成立要件
'chuan'bo'di'ya'quan 船舶抵押权
'chuan'bo'di'ya'quan'de'fa'lv'shi'yong 船舶抵押权的法律适用
'chuan'bo'di'ya'quan'de'wu'shang'dai'wei 船舶抵押权的物上代位
'chuan'bo'di'ya'quan'de'zhuan'yi 船舶抵押权的转移
'chuan'bo'di'ya'quan'deng'ji 船舶抵押权登记
'chuan'bo'di'ya'quan'she'ding'zhu'ti 船舶抵押权设定主体
'chuan'bo'gong'you 船舶共有
'chuan'bo'peng'zhuang 船舶碰撞
'chuan'bo'peng'zhuang'an'jian'shen'li'de'qi'xian 船舶碰撞案件审理的期限
'chuan'bo'peng'zhuang'an'jian'zhong'de'zheng'ju 船舶碰撞案件中的证据
'chuan'bo'peng'zhuang'de'qing'qiu'quan'shi'xiao'qi'jian 船舶碰撞的请求权时效期间
'chuan'bo'peng'zhuang'sun'hai'pei'chang'de'fa'lv'shi'yong 船舶碰撞损害赔偿的法律适用
'chuan'bo'peng'zhuang'zhong'de'chuan'bo 船舶碰撞中的船舶
'chuan'bo'shi'zong 船舶失踪
'chuan'bo'shi'zong'de'fa'lv'yi'yi 船舶失踪的法律意义
'chuan'bo'sun'huai'de'jin'e 船舶损坏的金额
'chuan'bo'suo'you'quan 船舶所有权
'chuan'bo'suo'you'quan'de'bian'dong 船舶所有权的变动
'chuan'bo'suo'you'quan'de'fa'lv'shi'yong 船舶所有权的法律适用
'chuan'bo'you'xian'quan 船舶优先权
'chuan'bo'you'xian'quan'de'fa'lv'shi'yong 船舶优先权的法律适用
'chuan'bo'you'xian'quan'de'fan'wei 船舶优先权的范围
'chuan'bo'you'xian'quan'de'xiao'mie 船舶优先权的消灭
'chuan'bo'you'xian'quan'de'xing'shi 船舶优先权的行使
'chuan'bo'you'xian'quan'de'zhuan'yi 船舶优先权的转移
'chuan'bo'you'xian'quan'yu'chuan'bo'suo'you'quan'zhuan'rang 船舶优先权与船舶所有权转让
'chuan'bo'you'xian'quan'yu'hai'shi'pei'chang'ze'ren'xian'zhi 船舶优先权与海事赔偿责任限制
'chuan'bo'zhong'guo'guo'ji'qu'de 船舶中国国籍取得
'chuan'bo'zhuan'rang'shi'chuan'bo'bao'xian'he'tong'de'zhuan'rang 船舶转让时船舶保险合同的转让
'chuan'bo'zu'yong'he'tong'cheng'li'de'shu'mian'yao'jian 船舶租用合同成立的书面要件
'chuan'bo'zu'yong'he'tong'de'qing'qiu'quan'shi'xiao'qi'jian 船舶租用合同的请求权时效期间
'chuan'bo'zu'yong'he'tong'ji'qi'zhong'lei 船舶租用合同及其种类
'chuan'yuan 船员
'chuan'yuan'lao'dong'guan'xi 船员劳动关系
'chuan'yuan'ren'zhi'zi'ge 船员任职资格
'chuan'zai'huo'wu'de'kou'ya 船载货物的扣押
'chuan'zai'huo'wu'de'pai'mai 船载货物的拍卖
'chuan'zhang'de'guan'li'he'jia'shi'ze'ren 船长的管理和驾驶责任
'chuan'zhang'de'zhi'quan'zhi'ze 船长的职权职责
'chuan'zhang'de'zhun'si'fa'quan 船长的准司法权
'chuan'zhang'mu'di'gang'wai'de'xie'huo'quan 船长目的港外的卸货权
'chuan'zhang'zhi'wu'de'dai'li 船长职务的代理
'dan'du'hai'sun 单独海损
'dan'fang'guo'shi'chuan'bo'peng'zhuang 单方过失船舶碰撞
'di'san'ren'pei'chang'shi'de'bao'xian'pei'chang 第三人赔偿时的保险赔偿
'di'yu'guan'xia 地域管辖
'ding'qi'zu'chuan'he'tong 定期租船合同
'ding'qi'zu'chuan'he'tong'de'cheng'zu'ren'zhi'shi'tiao'kuan 定期租船合同的承租人指示条款
'ding'qi'zu'chuan'he'tong'de'chuan'bo'shi'hang'tiao'kuan 定期租船合同的船舶适航条款
'ding'qi'zu'chuan'he'tong'de'chuan'bo'shuo'ming'tiao'kuan 定期租船合同的船舶说明条款
'ding'qi'zu'chuan'he'tong'de'chuan'bo'zhuan'rang'tiao'kuan 定期租船合同的船舶转让条款
'ding'qi'zu'chuan'he'tong'de'hai'chuan'tiao'kuan 定期租船合同的还船条款
'ding'qi'zu'chuan'he'tong'de'hai'nan'jiu'zhu'tiao'kuan 定期租船合同的海难救助条款
'ding'qi'zu'chuan'he'tong'de'jiao'chuan'shi'jian'tiao'kuan 定期租船合同的交船时间条款
'ding'qi'zu'chuan'he'tong'de'liu'zhi'quan'tiao'kuan 定期租船合同的留置权条款
'ding'qi'zu'chuan'he'tong'de'zhu'yao'nei'rong 定期租船合同的主要内容
'ding'qi'zu'chuan'he'tong'de'zhuan'zu'tiao'kuan 定期租船合同的转租条款
'ding'qi'zu'chuan'he'tong'de'zu'jin'tiao'kuan 定期租船合同的租金条款
'duo'ge'jiu'zhu'fang'de'jiu'zhu'bao'chou'fen'xiang 多个救助方的救助报酬分享
'duo'shi'lian'yun'de'wang'zhuang'ze'ren'zhi 多式联运的网状责任制
'duo'shi'lian'yun'he'tong 多式联运合同
'duo'shi'lian'yun'jing'ying'ren 多式联运经营人
'duo'shi'lian'yun'jing'ying'ren'de'ze'ren'qi'jian 多式联运经营人的责任期间
'fen'tan'jia'zhi'yu'hai'shang'bao'xian 分摊价值与海上保险
'gong'gong'zhi'xu'bao'liu'yuan'ze 公共秩序保留原则
'gong'tong'an'quan 共同安全
'gong'tong'hai'sun 共同海损
'gong'tong'hai'sun'an'jian'shen'li'de'qi'xian 共同海损案件审理的期限
'gong'tong'hai'sun'dan'bao 共同海损担保
'gong'tong'hai'sun'de'li'suan 共同海损的理算
'gong'tong'hai'sun'fei'yong 共同海损费用
'gong'tong'hai'sun'fei'yong'de'jin'e 共同海损费用的金额
'gong'tong'hai'sun'fen'tan'jia'zhi 共同海损分摊价值
'gong'tong'hai'sun'fen'tan'qing'qiu'quan'de'shi'xiao'qi'jian 共同海损分摊请求权的时效期间
'gong'tong'hai'sun'li'suan 共同海损理算
'gong'tong'hai'sun'li'suan'de'fa'lv'shi'yong 共同海损理算的法律适用
'gong'tong'hai'sun'sun'shi'jin'e 共同海损损失金额
'gong'tong'hai'sun'xi'sheng 共同海损牺牲
'gong'you'chuan'bo'di'ya'quan 共有船舶抵押权
'guang'chuan'zu'chuan'he'tong 光船租船合同
'guang'chuan'zu'chuan'he'tong'de'chuan'bo'bao'xian'tiao'kuan 光船租船合同的船舶保险条款
'guang'chuan'zu'chuan'he'tong'de'chuan'bo'di'ya'tiao'kuan 光船租船合同的船舶抵押条款
'guang'chuan'zu'chuan'he'tong'de'chuan'bo'zhuan'zu'tiao'kuan 光船租船合同的船舶转租条款
'guang'chuan'zu'chuan'he'tong'de'jiao'chuan'tiao'kuan 光船租船合同的交船条款
'guang'chuan'zu'chuan'he'tong'de'xiang'hu'bao'zheng'tiao'kuan 光船租船合同的相互保证条款
'guang'chuan'zu'chuan'he'tong'de'zu'gou'tiao'kuan 光船租船合同的租购条款
'guang'chuan'zu'chuan'he'tong'de'zu'jin'tiao'kuan 光船租船合同的租金条款
'guo'ji'guan'li'bu'chong'shi'yong'yuan'ze 国际惯例补充适用原则
'guo'ji'tiao'yue'you'xian'shi'yong'yuan'ze 国际条约优先适用原则
'guo'jia'suo'you'chuan'bo 国家所有船舶
'guo'jia'zhu'guan'ji'guan'de'jiu'zhu'bao'chou'zhun'yong 国家主管机关的救助报酬准用
'guo'shi'yu'gong'tong'hai'sun'li'suan 过失与共同海损理算
'hai'nan'jiu'zhu 海难救助
'hai'nan'jiu'zhu'qing'qiu'quan'de'shi'xiao'qi'jian 海难救助请求权的时效期间
'hai'nan'jiu'zhu'zhong'de'cai'chan 海难救助中的财产
'hai'nan'jiu'zhu'zhong'de'chuan'bo 海难救助中的船舶
'hai'shang'bao'xian'he'tong 海上保险合同
'hai'shang'bao'xian'he'tong'de'cheng'li 海上保险合同的成立
