'bai'yu'shen'miao 白玉神庙
'bao'zi'kong'gu 孢子空谷
'beng'huai'chang'lang 崩坏长廊
'bin'hai'shan'qiu 滨海山丘
'bin'hai'you'xue 滨海幽穴
'bing'chuan 冰川
'bing'leng'tong'dao 冰冷通道
'bu'jie'jiao'tang 不洁教堂
'bu'si'niao'duan'tai 不死鸟锻台
'chao'xue 巢穴
'chen'lun'zhi'cheng 沉沦之城
'chen'xi'mu'di 晨曦墓地
'cheng'zhong'guang'chang 城中广场
'chi'han'he'an 赤寒河岸
'chi'hong'shan'di 赤红山地
'chi'pin'ju'suo 赤贫居所
'chi'yan'chuan'wu 炽炎船坞
'chuang'shi'zhi'jing 创世之境
'da'jue'dou'chang 大决斗场
'di'di'zhi'he 地底之河
'dong'jie'zhi'cang 冻结之舱
'du'ya'hai'gang 毒牙海港
'duan'jing'che'jian 锻晶车间
'duo'hun'zhi'dian 夺魂之殿
'duo'ying'mu'chang 堕影墓场
'e'chou'si'yu 恶臭死域
'e'ling'xue'yuan 恶灵学院
'e'nian'lao'long 恶念牢笼
'fei'hong'xiao'zhen 绯红小镇
'fei'qi'kuang'shan 废弃矿山
'fen'cha'zhi'he 分叉之河
'fu'wen'zhi'ming'tan'lan 符文致命贪婪
'gan'chao'lin'di 干潮林地
'gan'ku'zhi'hai 干枯之海
'gao'ta 高塔
'gong'chang'yi'ji 工厂遗迹
'gu'bao 古堡
'gu'bing'gong'chang 古兵工厂
'gu'bo'wu'guan 古博物馆
'gu'cang'mi'shi 古藏密室
'gu'dao'deng'ta 孤岛灯塔
'gu'shi'ling'mu 古石陵墓
'gu'ta'nei'tang 古塔内堂
'guang'chang 广场
'hai'bin'tai'di 海滨台地
'hai'feng'gao'yuan 海风高原
'han'ding'zhi'dian 寒顶之巅
'han'mu'lin'di 旱木林地
'han'shuang'zhi'he 寒霜之河
'he'xin 核心
'hei'ji'gu'di 黑棘谷地
'hua'yuan'mi'gong 花园迷宫
'huan'jing'di'tu 幻境地图
'huang'di 荒地
'huang'fen'ao'di 荒坟凹地
'huang'liang'yuan'ye 荒凉原野
'huang'mo'lv'zhou 荒漠绿洲
'huang'wu'hu'yu 荒芜湖域
'huo'shan'yan'yu 火山炎域
'ji'feng'xia'wan 疾风峡湾
'ji'guan'bao'ku 机关宝库
'ji'han'bing'yuan 极寒冰原
'ji'ling'zhi'yuan 寂灵之渊
'ji'shui'kuang'keng 积水矿坑
'ji'xing'wang'yu 畸形亡域
'ji'ye'lin'yuan 寂夜林苑
'ji'zhan'zhu'lang 激战柱廊
'jin'duan'zhi'lin 禁断之林
'jin'hun'yan'yu 禁魂炎狱
'jing'ji'chang 竞技场
'jing'ju'shu'cong 惊惧树丛
'jiu'tou'she'chao'xue 九头蛇巢穴
'ju'du'lin'gu 剧毒林谷
'ju'du'shui'dao 剧毒水道
'ju'keng 巨坑
'ju'xing'jing'ji'chang 巨型竞技场
'ju'zhu'chao'xue 巨蛛巢穴
'ju'zhu'zhi'lin 巨蛛之林
'jue'di'zhi'lao 掘地之牢
'jue'wang'zhao'ze 绝望沼泽
'ku'xing'zhi'yu 苦行之域
'ling'chong'mu'xue 灵虫墓穴
'ling'ji'ta'miao 灵祭塔庙
'liu'huang'shi'an 硫磺蚀岸
'mei'hong'shen'dian 玫红神殿
'mei'ying'bie'shu 魅影别墅
'mi'cao'shen'dian 密草神殿
'mi'lin'guo'yuan 密林果园
