'a'xiu'luo 阿修罗
'bei'guan'ji'ci'guan 悲观及慈观
'bei'ti'jie'lei'zhen 悲体戒雷震
'bi'qiu'ni 比丘尼
'bi'suo'zhi'dao'zhang 彼所执刀杖
'bian'dei'li'chen 便得离嗔
'bian'dei'li'chi 便得离痴
'bian'dei'li'yu 便得离欲
'bian'sheng'duan'zheng'you'xiang'zhi'nv 便生端正有相之女
'bian'sheng'fu'de'zhi'hui'zhi'nan 便生福德智慧之男
'bo'lang'bu'neng'mei 波浪不能没
'bu'neng'sun'yi'mao 不能损一毛
'bu'wei'jun'zhen'zhong 怖畏军阵中
'chang'nian'gong'jing'guan'shi'yin'pu'sa 常念恭敬观世音菩萨
'chang'yuan'chang'zhan'yang 常愿常瞻仰
'che'qu 砗磲
'cheng'guan'shi'yin'pu'sa'ming'zhe 称观世音菩萨名者
'cheng'qi'ming'gu 称其名故
'cheng'qi'ming'hao 称其名号
'ci'yan'shi'zhong'sheng 慈眼视众生
'ci'yi'miao'da'yun 慈意妙大云
'dang'de'jie'tuo 当得解脱
'dang'min'ci'wu'jin'yi'pu'sa'ji'si'zhong 当愍此无尽意菩萨及四众
'dang'zhi'shi'ren'gong'de'bu'shao 当知是人功德不少
'dao'xun'duan'duan'huai 刀寻段段坏
'de'ru'shi'wu'bian'fu'de'zhi'li 得如是无边福德之利
'di'yu'gui'chu'sheng 地狱鬼畜生
'du'long'zhu'gui'deng 毒龙诸鬼等
'du'tuo'zhong'sheng 度脱众生
'duo'suo'rao'yi 多所饶益
'er'de'jie'tuo 而得解脱
'er'shi'chi'di'pu'sa'ji'cong'zuo'qi 尔时持地菩萨即从座起
'er'shi'fo'gao'guan'shi'yin'pu'sa 尔时佛告观世音菩萨
'er'shi'wu'jin'yi'pu'sa'ji'cong'zuo'qi 尔时无尽意菩萨即从座起
'er'shi'wu'jin'yi'pu'sa'yi'ji'wen'yue 尔时无尽意菩萨以偈问曰
'er'yi'yu'zhi 而以予之
'fa'da'qing'jing'yuan 发大清敬愿
'fan'yin'hai'chao'yin 梵音海潮音
'fang'bian'zhi'li 方便之力
'fei'ren'deng 非人等
'fei'ren'deng'gu 非人等故
'fei'ren'deng'shen'de'du'zhe 非人等身得度者
'fen'zuo'er'fen 分作二分
'fo'gao'wu'jin'yi'pu'sa 佛告无尽意菩萨
'fo'shuo'shi'pu'men'pin'shi 佛说是普门品时
'fo'yan 佛言
'fo'zi'he'yin'yuan 佛子何因缘
'fu'bu'tang'juan 福不唐捐
'fu'jin'xing'gong'yang'yin'shi'yi'fu'wo'ju'yi'yao 复尽形供养饮食衣服卧具医药
'fu'ju'hai'wu'liang 福聚海无量
'ge'zhi'dao'jia'hai 各执刀加害
'guan'shi'yin'jing'sheng 观世音净圣
'guan'shi'yin'pu'sa'ji'xian'fo'shen'er'wei'shuo'fa 观世音菩萨即现佛身而为说法
'guan'shi'yin'pu'sa'mo'he'sa'wei'shen'zhi'li 观世音菩萨摩诃萨威神之力
'guan'shi'yin'pu'sa'pu'men'pin'yuan'wen 观世音菩萨普门品原文
'guan'shi'yin'pu'sa'yi'he'yin'yuan'ming'guan'shi'yin 观世音菩萨以何因缘名观世音
'guan'shi'yin'pu'sa'you'ru'shi'deng'da'wei'shen'li 观世音菩萨有如是等大威神力
'guan'shi'yin'pu'sa'you'ru'shi'li 观世音菩萨有如是力
'guan'shi'yin'pu'sa'you'ru'shi'zi'zai'shen'li 观世音菩萨有如是自在神力
'guan'shi'yin'pu'sa'yun'he'you'ci'suo'po'shi'jie 观世音菩萨云何游此娑婆世界
'guan'yin'miao'zhi'li 观音妙智力
'guang'da'zhi'hui'guan 广大智慧观
'guang'xiu'zhi'fang'bian 广修智方便
'hai'zhu'yu'ben'ren 还著于本人
'he'zhang'xiang'fo'er'zuo'shi'yan 合掌向佛而作是言
'hong'shi'shen'ru'hai 弘誓深如海
'hu'po'zhen'zhu'deng'bao 琥珀真珠等宝
'hui'ri'po'zhu'an 慧日破诸暗
'huo'bei'e'ren'zhu 或被恶人逐
'huo'bu'neng'shao 火不能烧
'huo'keng'bian'cheng'chi 火坑变成池
'huo'piao'liu'ju'hai 或漂流巨海
'huo'qiu'jin'jia'suo 或囚禁枷锁
'huo'yu'e'luo'cha 或遇恶罗刹
'huo'zai'xu'mi'feng 或在须弥峰
'huo'zao'wang'nan'ku 或遭王难苦
'huo'zhi'yuan'zei'rao 或值怨贼绕
'ji'chi'zhong'bao 赍持重宝
'ji'da'wu'jin'yi 偈答无尽意
'ji'de'jie'tuo 即得解脱
'ji'de'qian'chu 即得浅处
'ji'jie'jing'zhong'bao'zhu'ying'luo 即解颈众宝珠璎珞
'ji'shi'guan'shi'yin'pu'sa'min'zhu'si'zhong 即时观世音菩萨愍诸四众
'ji'xian'bi'qiu 即现比丘
'ji'xian'da'zi'zai'tian'shen'er'wei'shuo'fa 即现大自在天身而为说法
'ji'xian'di'shi'shen'er'wei'shuo'fa 即现帝释身而为说法
'ji'xian'fan'wang'shen'er'wei'shuo'fa 即现梵王身而为说法
'ji'xian'fu'nv'shen'er'wei'shuo'fa 即现妇女身而为说法
'ji'xian'ju'shi'shen'er'wei'shuo'fa 即现居士身而为说法
'ji'xian'pi'sha'men'shen'er'wei'shuo'fa 即现毗沙门身而为说法
'ji'xian'pi'zhi'fo'shen'er'wei'shuo'fa 即现辟支佛身而为说法
'ji'xian'po'luo'men'shen'er'wei'shuo'fa 即现婆罗门身而为说法
'ji'xian'sheng'wen'shen'er'wei'shuo'fa 即现声闻身而为说法
'ji'xian'tian'da'jiang'jun'shen'er'wei'shuo'fa 即现天大将军身而为说法
'ji'xian'tong'nan'tong'nv'shen'er'wei'shuo'fa 即现童男童女身而为说法
'ji'xian'xiao'wang'shen'er'wei'shuo'fa 即现小王身而为说法
'ji'xian'zai'guan'shen'er'wei'shuo'fa 即现宰官身而为说法
'ji'xian'zhang'zhe'shen'er'wei'shuo'fa 即现长者身而为说法
'ji'xian'zhi'er'wei'shuo'fa 即现之而为说法
'ji'xian'zhi'jin'gang'shen'er'wei'shuo'fa 即现执金刚神而为说法
'ji'xian'zi'zai'tian'shen'er'wei'shuo'fa 即现自在天身而为说法
'ji'yu'tian 及于天
'ji'zou'wu'bian'fang 疾走无边方
'jia'lou'luo 迦楼罗
'jia'shi'hei'feng'chui'qi'chuan'fang 假使黑风吹其船舫
'jia'shi'xing'hai'yi 假使兴害意
'jia'zhi'bai'qian'liang'jin 价值百千两金
'jiang'bao'shu'da'yu 降雹澍大雨
'jie'hao'zhi'wei'shi'wu'wei'zhe 皆号之为施无畏者
'jie'xi'duan'huai 皆悉断坏
'jin'na'luo 紧那罗
'jing'guo'xian'lu 经过险路
'ju'yi'qie'gong'de 具一切功德
'ju'zu'miao'xiang'zun 具足妙相尊
'ju'zu'shen'tong'li 具足神通力
'kuang'fu'jia'hai 况复加害
'li'bai'gong'yang'guan'shi'yin'pu'sa 礼拜供养观世音菩萨
'li'jie'bu'si'yi 历劫不思议
'li'ya'zhao'ke'bu 利牙爪可怖
'lin'xing'yu'shou'zhong 临刑欲寿终
'liu'li 琉璃
'long'yu'zhu'gui'nan 龙鱼诸鬼难
'luo'cha 罗刹
'ma'nao 玛瑙
'man'zhong'ye'cha 满中夜叉
'man'zhong'yuan'zei 满中怨贼
'miao'fa'lian'hua'jing'guan'shi'yin'pu'sa'pu'men'pin'zhong 妙法莲华经观世音菩萨普门品终
'miao'yin'guan'shi'yin 妙音观世音
'mie'chu'fan'nao'yan 灭除烦恼焰
'ming'guan'shi'yin 名观世音
'ming'wei'guan'shi'yin 名为观世音
'mo'hou'luo'jia 摩喉罗伽
'na'mo'guan'shi'yin'pu'sa 南无观世音菩萨
'nai'zhi'yi'shi'li'bai'gong'yang 乃至一时礼拜供养
'neng'fu'zai'feng'huo 能伏灾风火
'neng'jiu'shi'jian'ku 能救世间苦
'neng'mie'zhu'you'ku 能灭诸有苦
'neng'shi'wu'wei 能施无畏
'neng'wei'zuo'yi'hu 能为作衣怙
'nian'bi'guan'yin'li 念彼观音力
'nian'nian'wu'sheng'yi 念念勿生疑
'niu'xie'jia'suo'jian'xi'qi'shen 扭械枷锁检系其身
'pian'tan'you'jian 偏袒右肩
'piao'zhui'luo'cha'gui'guo 漂坠罗刹鬼国
'po'luo'men'fu'nv'shen'de'du'zhe 婆罗门妇女身得度者
'pu'men'shi'xian'shen'tong'li'zhe 普门示现神通力者
'pu'ming'zhao'shi'jian 普明照世间
'qi'du'yan'huo'ran 气毒烟火然
'qi'shi'yun'he 其事云何
'qi'zhong'yi'ren'zuo'shi'chang'yan 其中一人作是唱言
'qian'bai'fo'yan 前白佛言
'qian'ta'po 乾闼婆
'ren'zhe'min'wo'deng'gu 仁者愍我等故
'ren'zhe'shou'ci'fa'shi'zhen'bao'ying'luo 仁者受此法施珍宝璎珞
'ru'deng'ruo'cheng'ming'zhe 汝等若称名者
'ru'deng'ying'dang'yi'xin'cheng'guan'shi'yin'pu'sa'ming'hao 汝等应当一心称观世音菩萨名号
'ru'ri'xu'kong'zhu 如日虚空住
'ru'ting'guan'yin'xing 汝听观音行
'ru'yu'da'hai 入于大海
'ruo'duo'chen'hui 若多嗔恚
'ruo'duo'yu'chi 若多愚痴
'ruo'e'shou'wei'rao 若恶兽围绕
'ruo'fu'you'ren'lin'dang'bei'hai 若复有人临当被害
'ruo'fu'you'ren'shou'chi'guan'shi'yin'pu'sa'ming'hao 若复有人受持观世音菩萨名号
'ruo'san'qian'da'qian'guo'tu 若三千大千国土
'ruo'wei'da'shui'suo'piao 若为大水所漂
'ruo'wu'zui 若无罪
'ruo'you'bai'qian'wan'yi'zhong'sheng 若有百千万亿众生
'ruo'you'chi'shi'guan'shi'yin'pu'sa'ming'zhe 若有持是观世音菩萨名者
'ruo'you'guo'tu'zhong'sheng 若有国土众生
'ruo'you'nv'ren 若有女人
'ruo'you'wu'liang'bai'qian'wan'yi'zhong'sheng 若有无量百千万亿众生
'ruo'you'zhong'sheng'duo'yu'yin'yu 若有众生多于淫欲
