'da'zhi'zheng'chang'xin'dian'tu 大致正常心电图
'dou'xing'xin'dong'guo'huan 窦性心动过缓
'dou'xing'xin'lv 窦性心律
'dou'xing'xin'lv'bu'qi 窦性心律不齐
'er'lian'lv 二联律
'fang'shi'chuan'dao'zu'zhi 房室传导阻滞
'fang'xing 房性
'fang'xing'xin'dong'guo'su 房性心动过速
'fang'xing'xin'lv 房性心律
'fang'xing'zao'bo 房性早搏
'fang'xing'zi'zhu'xin'lv 房性自主心律
'gong'bei'xiang'shang'xing'tai'gao 弓背向上型抬高
'jia'su'xing 加速性
'jian'qi'yan'chang 间期延长
'qi'bo'qi'gan'zhi'gong'neng 起搏器感知功能
'san'du'fang'shi'chuan'dao'zu'zhi 三度房室传导阻滞
'san'lian'lv 三联律
'shi'chan 室颤
'shi'pu 室扑
'shi'shang'xing'xin'dong'guo'su 室上性心动过速
'shi'xing'xin'dong'guo'su 室性心动过速
'shi'xing'yi'bo 室性逸搏
'shi'xing'zao'bo 室性早搏
'wan'quan'xing'you'shu'zhi'zu'zhi 完全性右束支阻滞
'wan'quan'xing'zuo'shu'zhi'zu'zhi 完全性左束支阻滞
'xin'dian'zhou 心电轴
'xin'dian'zhou'zheng'chang 心电轴正常
'xin'dian'zhou'zuo'pian 心电轴左偏
'xin'fang'chan'dong 心房颤动
'xin'fang'chan'dong'ban'kuai'xin'shi'lv 心房颤动伴快心室率
'xin'fang'pu'dong 心房扑动
'xin'shi'yu'ji 心室预激
'yi'bo'xin'lv 逸搏心律
'yu'ji'zong'he'zheng 预激综合征
'zao'bo 早搏
'zuo'qian'fen'zhi'zu'zhi 左前分支阻滞
'zuo'xin'shi'gao'dian'ya 左心室高电压
