'bai'bu'yu'zhang'zhe'li'you'wu'zuo 百步余长者立幼勿坐
'bai'shi'huai 百事坏
'bao'en'chang'dai'bi'pu'shen'gui'duan 报恩长待婢仆身贵端
'bi'cong'ming'huai'xin'zhi'wu'zi'bao 敝聪明坏心志勿自暴
'bi'shuo'chang'ci'shuo'duan'bu'guan'ji 彼说长此说短不关己
'bi'wu'qi'kuan'wei'xian'jin'yong'gong 彼勿起宽为限紧用功
'bi'yan'zheng'mo'mo'pian'xin'bu'duan 笔砚正墨磨偏心不端
'bian'niao'hui'zhe'jing'shou'guan'bi'zheng 便溺回辄净手冠必正
'bu'li'xing'dan'xue'wen'chang'fu'hua 不力行但学文长浮华
'bu'qin'ren'wu'xian'hai'xiao'ren'jin 不亲仁无限害小人进
'bu'ru'ren'wu'sheng'qi'wen'guo'nu 不如人勿生戚闻过怒
'chang'hu'ren'ji'dai'jiao'ren'bu'zai 长呼人即代叫人不在
'chao'qi'zao'ye'mian'chi'lao'yi'zhi 朝起早夜眠迟老易至
'cheng'he'ren'dan'li'xing'bu'xue'wen 成何人但力行不学文
'chu'bi'gao'fan'bi'mian'ju'you'chang 出必告反必面居有常
'chu'ze'di 出则弟
'ci'jin'xin'fan'ai'zhong'er'qin'ren 次谨信泛爱众而亲仁
'dang'zi'li'ruo'yi'fu'ruo'yin'shi 当自砺若衣服若饮食
'dao'liang'kui'fan'qu'yu'gui'fen'xiao 道两亏凡取与贵分晓
'de'you'shang'yi'qin'xiu'qin'ai'wo 德有伤贻亲羞亲爱我
'di'tong'zai'hang'gao'zhe'ming'zi'gao 地同载行高者名自高
'di'zi'gui'sheng'ren'xun'shou'xiao'di 弟子规圣人训首孝弟
'dou'nao'chang'jue'wu'jin'xie'pi'shi 斗闹场绝勿近邪僻事
'dui'yi'ming'wu'yu'wo'bu'fen'ming 对以名吾与我不分明
'dui'zun'zhang'wu'jian'neng'lu'yu'chang 对尊长勿见能路遇长
'en'yu'bao'yuan'yu'wang'bao'yuan'duan 恩欲报怨欲忘报怨短
'fan'ai'zhong 泛爱众
'fan'chu'yan'xin'wei'xian'zha'yu'wang 凡出言信为先诈与妄
'fan'shi'ren'jie'xu'ai'tian'tong'fu 凡是人皆须爱天同覆
'fang'du'ci'wu'mu'bi'ci'wei'zhong 方读此勿慕彼此未终
'fang'shi'qing'qiang'bi'jing'ji'an'jie 房室清墙壁净几案洁
'fu'mu'hu'ying'wu'huan'fu'mu'ming 父母呼应勿缓父母命
'fu'mu'ze'xu'shun'cheng'dong'ze'wen 父母责须顺承冬则温
'gong'fu'dao'zhi'se'tong'xin'you'yi 工夫到滞塞通心有疑
'gou'qing'nuo'jin'tui'cuo'fan'dao'zi 苟轻诺进退错凡道字
'gou'shan'wei'zi'dao'kui'wu'sui'xiao 苟擅为子道亏物虽小
'gui'yu'wu'tang'yan'shi'zeng'yi'gu 归于无倘掩饰增一辜
'hao'qi'sui'ta'wu'yuan'qin'you'ji 号泣随挞无怨亲有疾
'hou'you'ji'jie'bu'nan 后有急借不难
'huan'jie'lian'wu'you'sheng'kuan'zhuan'wan 缓揭帘勿有声宽转弯
'hui'wu'ci'shi'jing'qi'qie'jie'zhi 秽污词市井气切戒之
'huo'zuo'zou'zhang'zhe'xian'you'zhe'hou 或坐走长者先幼者后
'ji'ji'dao'cheng'zun'zhang'wu'hu'ming 己即到称尊长勿呼名
'ji'nei'xing'you'ze'gai'wu'jia'jing 即内省有则改无加警
'ji'qu'yi'chang'wu'yan'tui'gong'li 疾趋揖长无言退恭立
'ji'shi'e'ji'zhi'shen'huo'qie'zuo 既是恶疾之甚祸且作
'ji'wei'tou'jie'ren'wu'ji'shi'hai 即为偷借人物及时还
'ji'you'neng'wu'zi'si'ren'suo'neng 己有能勿自私人所能
'jian'wei'zhen'wu'qing'yan'zhi'wei'de 见未真勿轻言知未的
'jian'xiang'qin'wu'xin'fei'ming'wei'cuo 渐相亲无心非名为错
'jiang'shang'tang'sheng'bi'yang'ren'wen'shui 将上堂声必扬人问谁
'jin'bi'qu'tui'bi'chi'wen'qi'dui 近必趋退必迟问起对
'jin'wei'qu'shen'you'shang'yi'qin'you 谨为去身有伤贻亲忧
'jiu'bu'zhi'fei'sheng'shu'ping'wu'shi 就补之非圣书屏勿视
'jiu'rou'jue'sang'jin'li'ji'jin'cheng 酒肉绝丧尽礼祭尽诚
'jue'wu'wen'jiang'ru'men'wen'shu'cun 绝勿问将入门问孰存
'mang'duo'cuo'wu'wei'nan'wu'qing'lue 忙多错勿畏难勿轻略
'mo'xian'guan'jian'ren'shan'ji'si'qi 莫闲管见人善即思齐
'nian'fang'shao'wu'yin'jiu'yin'jiu'zui 年方少勿饮酒饮酒醉
'niu'bi'jie'wa'yu'lv'ju'jin'qie 纽必结袜与履俱紧切
'qi'xia'ma'cheng'xia'che'guo'you'dai 骑下马乘下车过犹待
'qie'mo'shuo'dao'ren'shan'ji'shi'shan 切莫说道人善即是善
'qin'ren 亲仁
'qin'suo'hao'li'wei'ju'qin'suo'e 亲所好力为具亲所恶
'qin'you'guo'jian'shi'geng'yi'wu'se 亲有过谏使更怡吾色
'ren'ji'jian'mei'li'zhen'du'shu'fa 任己见昧理真读书法
'ren'suo'zhong'fei'mao'gao'cai'da'zhe 人所重非貌高才大者
'ren'you'duan'qie'mo'jie'ren'you'si 人有短切莫揭人有私
'ren'zhe'xi'guo'ren'zhe'ren'duo'wei 仁者希果仁者人多畏
'ren'zhi'zhi'yu'si'mian'yang'ren'e 人知之愈思勉扬人恶
'rou'wu'sheng'jian'bu'ru'yue'fu'jian 柔吾声谏不入悦复谏
'ru'xu'shi'ru'you'ren'shi'wu'mang 入虚室如有人事勿忙
'ru'ze'xiao 入则孝
'sang'san'nian'chang'bei'ye'ju'chu'bian 丧三年常悲咽居处变
'shan'xiang'quan'de'jie'jian'guo'bu'gui 善相劝德皆建过不规
'shang'xun'fen'xia'cheng'jia'dui'yin'shi 上循分下称家对饮食
'sheng'yao'di'di'bu'wen'que'fei'yi 声要低低不闻却非宜
'shi'si'zhe'ru'shi'sheng 事死者如事生
'shi'wu'yi'shi'zhu'fu'ru'shi'fu 视勿移事诸父如事父
'shi'zhu'xiong'ru'shi'xiong 事诸兄如事兄
'sui'gui'duan'ci'er'kuan'shi'fu'ren 虽贵端慈而宽势服人
'sui'you'ji'juan'shu'qi'you'que'huai 虽有急卷束齐有缺坏
'sui'zha'ji'jiu'ren'wen'qiu'que'yi 随札记就人问求确义
'tong'shi'ren'lei'bu'qi'liu'su'zhong 同是人类不齐流俗众
'wang'zi'da'ren'suo'fu'fei'yan'da 望自大人所服非言大
'wei'de'xue'wei'cai'yi'bu'ru'ren 唯德学唯才艺不如人
'wei'qi'shi'wu'ning'qiao'jian'qiao'yu 惟其是勿佞巧奸巧语
'wen'yu'kong'wen'guo'xin'zhi'liang'shi 闻誉恐闻过欣直谅士
'wen'yu'le'sun'you'lai'yi'you'que 闻誉乐损友来益友却
'wu'bo'yi'wu'ji'ju'wu'yao'bi 勿跛倚勿箕踞勿摇髀
'wu'chu'leng'zhi'xu'qi'ru'zhi'ying 勿触棱执虚器如执盈
'wu'jian'ze'shi'shi'ke'wu'guo'ze 勿拣择食适可勿过则
'wu'qing'chuan'shi'fei'yi'wu'qing'nuo 勿轻传事非宜勿轻诺
'wu'qing'zi'wu'chan'fu'wu'jiao'pin 勿轻訾勿谄富勿骄贫
'wu'shi'jiao'ren'bu'an'wu'hua'rao 勿事搅人不安勿话扰
'wu'si'cang'gou'si'cang'qin'xin'shang 勿私藏苟私藏亲心伤
'wu'xian'hao'de'ri'jin'guo'ri'shao 无限好德日进过日少
'wu'yan'gu'wu'xi'xin'ren'bu'xian 勿厌故勿喜新人不闲
'wu'zi'qi'sheng'yu'xian'ke'xun'zhi 勿自弃圣与贤可驯致
'xi'ci'shi'chen'bi'guan'jian'shu'kou 惜此时晨必盥兼漱口
'xi'ke'yan'hua'shuo'duo'bu'ru'shao 奚可焉话说多不如少
'xia'ze'qing'chen'ze'sheng'hun'ze'ding 夏则凊晨则省昏则定
'xian'wen'ji'ji'bu'yu'ji'su'yi 先问己己不欲即速已
'xiao'he'nan'qin'zeng'wo'xiao'fang'xian 孝何难亲憎我孝方贤
'xiao'zai'zhong'cai'wu'qing'yuan'he'sheng 孝在中财物轻怨何生
'xin'bu'ran'li'fu'ren'fang'wu'yan 心不然理服人方无言
'xing'wu'lan'fu'mu'jiao'xu'jing'ting 行勿懒父母教须敬听
'xiong'dao'you'di'dao'gong'xiong'di'mu 兄道友弟道恭兄弟睦
'yan'bu'hui'se'bu'mei'neng'qin'ren 言不讳色不媚能亲仁
'yan'yu'ren'fen'zi'min'huo'yin'shi 言语忍忿自泯或饮食
'yao'xian'chang'zhou'ye'shi'bu'li'chuang 药先尝昼夜侍不离床
'ye'wu'bian'shi'sui'xiao'wu'shan'wei 业无变事虽小勿擅为
'yi'shen'yuan'bai'gong'jing'wu'jian'yu 揖深圆拜恭敬勿践阈
'yong'ren'wu'xu'ming'qiu'tang'bu'wen 用人物须明求倘不问
'you'ding'chu'du'kan'bi'huan'yuan'chu 有定处读看毕还原处
'you'san'dao'xin'yan'kou'xin'jie'yao 有三到心眼口信皆要
'you'xin'fei'ming'wei'e'guo'neng'gai 有心非名为恶过能改
