'an'yu 暗域
'ba'zhu 霸主
'bai'jia 白甲
'bai'lian'dong 百炼洞
'bao'feng'pao 爆风炮
'bao'lie'jian 爆裂箭
'bi'gong'tang 毕工淌
'bi'hu'you'qiang 壁虎游墙
'bi'ji'qiang 壁击枪
'bi'shou 匕首
'bu'zhou'tan 不舟滩
'cai'mi 财迷
'chang'jian 长剑
'chang'qiang 长枪
'chou'xin'bu'tian 抽芯补天
'chuan'jia'dan 穿甲弹
'da'sheng'you 大圣游
'di'qi'pen'yong 地气喷涌
'di'sha'fu 地煞符
'di'tang'ba'jiao 地堂霸脚
'du'jian 毒箭
'duo'hun'chang'jian 夺魂长剑
'duo'hun'kuo'dao 夺魂阔刀
'duo'hun'tai'dao 夺魂太刀
'fan'hun 返魂
'fan'tan 反弹
'fei'suo 飞索
'feng'huang'yu 凤凰羽
'feng'juan'yun'can 风卷云残
'feng'nan 风男
'fu'tian 伏天
'gong'ji 攻击
'gong'jian 弓箭
'guang'you 光佑
'gui'ren'an'zha 鬼刃暗扎
'gui'yuan 归元
'he'shang 和尚
'hu'tao 胡桃
'hua'bu 滑步
'huan'she 缓射
'hun'ran'yi'xian 魂然一线
'hun'yu 魂玉
'huo'jian 火箭
'huo'long'pao 火龙炮
'huo'nan 火男
'huo'pao 火炮
'ji'cang'hai 季沧海
'ji'huo 集火
'ji'shu 集束
'jia'fen 甲粉
'jia'nan 迦南
'jin'dui 金堆
'jin'kang 近抗
'jing'ke'xian'bi 荆轲献匕
'jing'zhun 精准
'kong'dan 空弹
'kuai'xu 快蓄
'kuang'lang'nu'tao 狂浪怒涛
'kuo'dao 阔刀
'lan'dui 蓝堆
'lan'jia 蓝甲
'lan'yue 蓝月
'lian'zhu'pao 连珠炮
'lie'huo'zhan 烈火斩
'lie'kong 裂空
'ling'bo 凌波
'liu'tian'lei 流天雷
'luo'jin'wu 落金乌
'mao'zu 猫足
'miao'shou 妙手
'nai'ma 奶妈
'niao'chong 鸟铳
'ning'hong'ye 宁红叶
'ning'hong'ye 宁红夜
'pen'huo'tong 喷火筒
'po'feng 破风
'qiao'jiang 巧匠
'qing'gui 青鬼
'ran'shao 燃烧
'san'she 散射
'sen'luo'gu 森罗谷
'sha'nan 沙男
'sheng'long 升龙
'shi'hun'zhan 噬魂斩
'shuang'huan'sao 双环扫
'su'she 速射
'suo'ling'yang 锁羚羊
'tai'dao 太刀
'te'mu'er 特木尔
'ti'li 体力
'tian'ci'an'shen 天赐安神
'tian'ci'fei'suo'xian'zhou 天赐飞索线轴
'tian'ci'wu'bei'xia 天赐武备匣
'tian'hai 天海
'tian'ren'cheng 天人城
'tu'na'shu 吐纳术
'wan'bi 完壁
'wan'mei'gong'ji 完美攻击
'wan'mei'hu'tou 完美护头
'wan'mei'jin'kang 完美近抗
'wan'mei'ti'li 完美体力
'wan'mei'yuan'kang 完美远抗
'wan'ren'lun 万仞轮
'wan'ren'lun 万刃轮
'wu'bei'jia 武备夹
'wu'di'zhen 无敌帧
'wu'yan'chong 五眼铳
'xu'li 蓄力
'xu'ying'bu 虚影步
'xun'feng'zhen'lei'dao 巽风震雷刀
'yao'dao'ji 妖刀姬
'yi'wo'feng 一窝蜂
'you'ming'bu 幽冥步
'yu'di'lei 御地雷
'yuan'kang 远抗
'zhen'dao 振刀
'zhen'lei'dao 震雷刀
'zhi'liao'jian 治疗箭
'zi'jia 紫甲
