'bai'zhu'li'shui'qu'han'shi 白术利水祛寒湿
'biao'li'shang'xia'zuo'you'pian 表里上下左右偏
'dan'chun'mai'xiang'bu'chang'jian 单纯脉象不常见
'duo'zai'zi'shen'zhao'yuan'yin 多在自身找原因
'er'qie'li'du'hen'ming'xian 而且力度很明显
'fu'ling'li'shui'zui'you'li 茯苓利水最有力
'gan'cao'tiao'he'yin'zuo'yu 甘草调和引左郁
'geng'you'tan'mai'hen'chang'jian 更有痰脉很常见
'gou'qi'wen'yang'bu'you'chi 枸杞温养补右尺
'huo'zhe'xin'tai'mei'tiao'wen 或者心态没调稳
'jing'xia'xin'man'man'pin 静下心慢慢品
'ju'an'xun'bi'yao'ren'zhen 举按寻比要认真
'kan'zhe'fu'za'ye'jian'dan 看着复杂也简单
'lin'chuang'xu'shi'chang'hun'za 临床虚实常混杂
'mai'kong'gang'ji'yong'shao'yao 脉空纲急用芍药
'mai'kong'you're'yong'shu'di 脉空有热用熟地
'mai'lai'nian'hua'ru'zhu'xuan 脉来粘滑如珠旋
'mai'xi'xiao'han'zui'shi'yi 脉细小寒最适宜
'mai'zhen'cheng'xu'you'cuo'luan 脉诊程序有错乱
'mai'zheng'wei'neng'li'jie'tou 脉征未能理解透
'man'yun'you'xu'mo'zou'shen 慢匀有序莫走神
'qi'xu'huan'ruo'er'ming'xian 气虚缓弱而明显
'qing'li're'tan'chuan'bei'yi 清利热痰川贝宜
'qing'zhong'li'du'zhang'wo'hao 轻重力度掌握好
'ren'shen'zui'shan'bu'yuan'qi 人参最擅补元气
'rou'gui'pian'yu'wen'zuo'mai 肉桂偏于温左脉
'ru'guo'mei'ci'dou'dui'ji 如果每次都对机
'shan'yao'hua'shi'you'zi'yin 山药化湿又滋阴
'sheng'ma'shan'ba'you'cun'ju 升麻善把右寸举
'shi'han'shou'xuan'wu'zhu'yu 实寒首选吴茱萸
'shi'mai'ru'ruan'si'piao'mian 湿脉濡软似飘棉
'shi're'zhuo'liang'yong'shi'gao 实热酌量用石膏
'shi'yu'dong'se'ru'xiang'xian 湿瘀动涩濡象显
'shui'mai'xi'bo'ru'liu'shui 水脉稀薄如流水
'wei'he'mai'xiang'mo'bu'zhun 为何脉象摸不准
'wen'hua'han'tan'ban'xia'hao 温化寒痰半夏好
'xiao'ru'fu'gu'li'shi'yan 效如桴鼓立时验
'xue'yu'hua'se're'xiang'lian 血瘀滑涩热相连
'xue'yu'pian'han'yong'san'qi 血瘀偏寒用三七
'xue'yu'pian'wen'you'dan'shen 血瘀偏温有丹参
'yang'sheng'you're'yin'sheng'han 阳盛有热阴盛寒
'yang'xu'huan'ruo'er'you'han 阳虚缓弱而有寒
'ye'xu'kong'xi'er'he'ran 液虚空细而赫然
'yi'ding'ba'wo'zheng'ti'shi 一定把握整体势
'yi'mi'qu'shi'xing'zui'ping 薏米祛湿性最平
'yin'xu'kong'fa'er'you're 阴虚空乏而有热
'you'cun'han'ruo'yong'bai'zhi 右寸寒弱用白芷
'you'cun'xu'ruo'pei'huang'qi 右寸虚弱配黄芪
'you'guan'shi'yu'yong'zhi'ke 右关湿瘀用枳壳
'you'mai'han'zhong'yong'gu'zhi 右脉寒重用骨脂
'yu'mai'ju'an'li'du'jian 郁脉举按力度坚
'zhi'fa'mai'wei'ding'bu'zhun 指法脉位定不准
'zhi'yao'yong'xin'mo'qing'mai 只要用心摸清脉
'zhu'yao'mao'dun'zui'guan'jian 主要矛盾最关键
'zuo'cun'di'zhi'yong'chai'hu 左寸低轾用柴胡
'zuo'cun'han'ruo'yong'gui'zhi 左寸寒弱用桂枝
'zuo'guan'shi'yu'yong'niu'xi 左关湿瘀用牛膝
