'a'er'ci'hai'mo'bing 阿尔茨海默病
'ao'qu'tai 奥曲肽
'ba'fei'ba'bi'zhi 靶非靶比值
'ba'xin'tu 靶心图
'bai'xue'bing 白血病
'ban'shuai'qi 半衰期
'bei'ke 贝克
'ben'er'dan'zhuo 苯二氮卓
'bi'duo'jia'ji'se'an'suan 吡哆甲基色氨酸
'bi'he'xing'nao'wai'shang 闭合性脑外伤
'bi'huo'du 比活度
'bi'yan'ai 鼻咽癌
'bian'hei'ba'xin'tu 变黑靶心图
'bian'yi'xi'shu 变异系数
'biao'ji'shuang'kang'fa 标记双抗法
'biao'zhun'hua'she'qu'zhi 标准化摄取值
'biao'zhun'pin 标准品
'bing'liu'yang'mi'ding 丙硫氧嘧啶
'bo'li'wei'qiu 玻璃微球
'bu'fen'ke'ni'xing'que'sun 部分可逆性缺损
'bu'ming'yuan'yin'fa're 不明原因发热
'cai'se'duo'pu'le'xue'liu'xian'xiang 彩色多普勒血流显像
'chang'dao'dan'bai'diu'shi 肠道蛋白丢失
'chang'dao'zhuan'yi'shi'jian'yan'jiu 肠道转移时间研究
'chao'ji'gu'xian'xiang 超级骨显像
'chao'sheng'zao'ying 超声造影
'chao'yang'hua'wu'qi'hua'mei 超氧化物歧化酶
'chen'dian'fa 沉淀法
'chi'dai 痴呆
'chong'fu'xing 重复性
'chuan'xian'neng'mi'du 传线能密度
'chui'xiu'liu 垂休瘤
'chui'zhi'chang'zhou'duan'ceng 垂直长轴断层
'ci'gong'zhen'fei'xue'guan'zao'ying 磁共振肺血管造影
'cu'jia'zhuang'xian'ji'su 促甲状腺激素
'cu'jia'zhuang'xian'ji'su'shi'fang'ji'su 促甲状腺激素释放激素
'cu'jia'zhuang'xian'ji'su'shou'ti'kang'ti 促甲状腺激素受体抗体
'cu'jia'zhuang'xian'shi'fang'ji'su 促甲状腺释放激素
'da'dong'mai'yan 大动脉炎
'da'ke'li'ju'he'ren'xue'qing'bai'dan'bai 大颗粒聚合人血淸白蛋白
'dai'xie'xian'xiang 代谢显像
'dai'xie'xing'gu'bing 代谢性骨病
'dan'guang'zi'xian'xiang 单光子显像
'dan'mo'xing'jia'kang 淡漠型甲亢
'dan'nang'pai'dan'fen'shu 胆囊排胆分数
'dan'wan 弹丸
'dang'liang'ji'liang 当量剂量
'de'biao'ji'shuang'ban'guang'yi'zhi 锝标记双半胱乙酯
'de'qi'ti 锝气体
'di'du 滴度
'di'du'wei'xian'huan'zhe 低度危险患者
'di'pu'ao'tai 地普奥肽
'di'qiu'fu'she 地球辐射
'di'sai'mi'song'yi'zhi'shi'yan 地塞米松抑制试验
'dian'hua'xue'fa'guang'mian'yi'fen'xi 电化学发光免疫分析
'dian'li 电离
'dian'xian 癫痫
'dian'zi'dui'sheng'cheng 电子对生成
'dian'zi'fu'huo 电子俘获
'dian'zi'zhun'zhi 电子准直
'ding'biao'qi 定标器
'dong'mian'xin'ji 冬眠心肌
'dong'tai'xian'xiang 动态显像
'du'xing'duo'jie'jie'xing'jia'zhuang'xian'zhong 毒性多结节性甲状腺肿
'duan'ceng'xian'xiang 断层显像
'duan'zan'xing'nao'que'xie'fa'zuo 短暂性脑缺血发作
'duan'zhou'duan'ceng'ying'xiang 短轴断层影像
'dun'yi'xin'ji 顿抑心肌
'duo'ba'an 多巴胺
'duo'ba'fen'ding'an 多巴酚丁胺
'duo'fa'xing'gu'sui'liu 多发性骨髓瘤
'duo'fa'xing'nao'geng'si'xing'chi'dai 多发性脑梗死性痴呆
'duo'men'kong'xin'xue'chi'xian'xiang 多门控心血池显像
'duo'xi'tong'wei'suo 多系统萎缩
'duo'xian'gan'xian'hua 多腺苷酰化
'duo'xiang'xian'xiang 多相显像
'duo'yao'nai'yao 多药耐药
'e'xie'dian'zi 俄歇电子
'er'long'jia'zhuang'xian'zhong'zong'he'zheng 耳聋甲状腺肿综合征
'er'qiu'ji'ding'er'suan 二巯基丁二酸
'er'yi'bing'ji'yi'xian'ben'an'ya'an'er'cu'suan 二异丙基乙酰苯胺亚氨二醋酸
'er'yi'er'an'wu'yi'suan 二乙二胺五乙酸
'er'yi'ji'yi'xian'ben'an'ya'an'er'cu'suan 二乙基乙酰苯胺亚氨二醋酸
'fa'pu'tai 伐普肽
'fan'xiang'yun'dong 反向运动
'fan'xiang'zai'fen'bu 反向再分布
'fan'yi'gua'ju'he'gan'suan 反义寡聚核苷酸
'fan'yi'xian'xiang 反义显像
'fan'yi'yi'zhi 翻译抑制
'fan'ying'dui 反应堆
'fan'zhong'wei'zi 反中微子
'fang'she'hua'xue'chun'du 放射化学纯度
'fang'she'mian'yi'fen'xi'ji'shu 放射免疫分析技术
'fang'she'mian'yi'xian'xiang'fang'she'mian'yi'zhi'liao 放射免疫显像放射免疫治疗
'fang'she'xing'he'su 放射性核素
'fang'she'xing'he'su'ba'xiang'zhi'liao 放射性核素靶向治疗
'fang'she'xing'he'su'gu'xian'xiang 放射性核素骨显像
'fang'she'xing'he'su'shi'zong'fang'fa 放射性核素示踪方法
'fang'she'xing'he'su'xian'xiang 放射性核素显像
'fang'she'xing'he'su'xiao'hua'dao'chu'xie'xian'xiang 放射性核素消化道出血显像
'fang'she'xing'huo'du 放射性活度
'fang'she'xing'li'zi 放射性粒子
'fang'she'xing'shen'tu 放射性肾图
'fang'she'xing'shi'jian'huo'du'qu'xian 放射性时间活度曲线
'fang'she'xing'shuai'bian 放射性衰变
'fang'she'xing'yao'wu 放射性药物
'fei'ai 肺癌
'fei'fang'she'biao'ji'mian'yi'fen'xi'ji'shu 非放射标记免疫分析技术
'fei'geng'zu'xing'niao'lu'kuo'zhang 非梗阻性尿路扩张
'fei'guan'zhu'xian'xiang 肺灌注显像
'fei'huo'qi'jin'lin'ba'liu 非霍奇金淋巴瘤
'fei'xing'fei'da'xing'gu'guan'jie'bing 肺性肥大性骨关节病
'fei'xue'shuan'shuan'se'zheng 肺血栓栓塞症
'fen'hua'xing'jia'zhuang'xian'ai 分化型甲状腺癌
'fen'zi'shi'bie 分子识别
'fen'zi'xian'xiang 分子显像
'fu'dai'tuo'yang'pu'tao'tang 氟代脱氧葡萄糖
'fu'he'tan'ce 符合探测
'fu'he'xian'xiang 负荷显像
'fu'hua'na 氟化納
'fu'qiang'zhu'she'gei'yao 腹腔注射给药
'fu'sai'mi 呋塞米
'fu'she'zi'fen'jie 辐射自分解
'fu'shen'jing'jie 副神经节
'gan'dan'xian'xiang 肝胆显像
'gan'xing'qu'qu 感兴趣区
'gan'xing'qu'qu'ji'shu 感兴趣区技术
'gan'xue'liu'he'gan'xue'chi'xian'xiang 肝血流和肝血池显像
'gao'du'wei'xian'huan'zhe 高度危险患者
'gao'feng'chong'ying'de'shi'jian 高峰充盈的时间
'gao'feng'chong'ying'lv 高峰充盈率
'gao'feng'she'xue'de'shi'jian 高峰射血的时间
'gao'feng'she'xue'lv 高峰射血率
'gao'xi'bao'bian'yi 高细胞变异
'gong'neng'zi'zhu'xing'jia'zhuang'xian'xian'liu 功能自主性甲状腺腺瘤
'gong'zhong'zhao'she 公众照射
'gu'dong'tai'xian'xiang 骨动态显像
'gu'duan'ceng'xian'xiang 骨断层显像
'gu'gu'tou'gu'ruan'gu'bing 股骨头骨软骨病
'gu'kuang'wu'zhi'han'liang 骨矿物质含量
'gu'mi'du 骨密度
'gu'rou'liu 骨肉瘤
'gu'ruan'gu'liu 骨软骨瘤
'gu'sui'shuan'se 骨髓栓塞
'gu'sui'xian'xiang 骨髓显像
'gu'sui'yan 骨髓炎
'gu'ti'shan'shuo'ji'shu'qi 固体闪烁计数器
'gu'xiang'fen'li'fa 固相分离法
'gu'yang'gu'liu 骨样骨瘤
'gu'zhi'ruan'hua'zheng 骨质软化症
'gu'zhuan'yi 骨转移
'gu'zhuan'yi'liu 骨转移瘤
'guan'zhu'dai'xie'bu'pi'pei 灌注代谢不匹配
'guan'zhu'dai'xie'pi'pei 灌注代谢匹配
'guan'zhuang'dong'mai'da'qiao'shou'shu 冠状动脉搭桥手术
'guang'dian'bei'zeng'guan 光电倍增管
'guang'dian'xiao'ying 光电效应
'guo'du'guan'zhu 过度灌注
'guo'lv'suan'yan'shi'fang'shi'yan 过氯酸盐释放试验
'guo'yang'hua'qing'mei 过氧化氢酶
'guo'yang'hua'wu'mei 过氧化物酶
'he'shen'bing'xue 核肾病学
'he'su 核素
'he'suan'mei 核酸酶
'he'tang 核糖
'he'xin'zang'bing'xue 核心脏病学
'he'yi'xue'fen'zi'ying'xiang 核医学分子影像
'he'zi 核子
'hei'se'su'liu 黑色素瘤
'heng'ting'dun'bing 亨廷顿病
'hong'gu'sui 红骨髓
'hua'xue'chun'du 化学纯度
'hua'xue'fa'guang'mei'mian'yi'fen'xi 化学发光酶免疫分析
'hua'xue'fa'guang'mian'yi'fen'xi 化学发光免疫分析
'hua'xue'zhi'liao 化学治疗
'huang'gu'sui 黄骨髓
'huo'de'xing'mian'yi'que'xian'zong'he'zheng 获得性免疫缺陷综合征
'huo'qi'jin'bing 霍奇金病
'huo'qi'jin'lin'ba'liu 霍奇金淋巴瘤
'huo'xing 活性
'ji'fa 激发
'ji'fa'tai 激发态
'ji'hua'qu 计划区
'ji'shu'lv'yi 计数率仪
'ji'sui'kong'dong'zheng 脊髓空洞症
'ji'tai 基态
'ji'tang'ji'mei 己糖激酶
'ji'xie'xing'geng'zu 机械性梗阻
'ji'xing'pai'chi 急性排斥
'ji'xing'shen'xiao'guan'huai'si 急性肾小管坏死
'ji'xing'xing'gu'yan 畸形性骨炎
'jia'kang'wei'xiang 甲亢危象
'jia'su'qi 加速器
'jia'yang'ji'yi'ding'ji'yi'jing 甲氧基异丁基异腈
'jia'zhuang'pang'xian'gong'neng'kang'jin'zheng 甲状旁腺功能亢进症
'jia'zhuang'pang'xian'su'jia'zhuang'xian'ai 甲状旁腺素甲状腺癌
