'a'fei 阿斐
'a'kui'na 阿奎那
'a'la'fa 阿拉法
'a'men 阿们
'a'men'ha'li'lu'ya 阿们哈利路亚
'a'mo'si 阿摩司
'a'mo'si'shu 阿摩司书
'a'ni'se'fu 阿尼色弗
'a'ni'xi'mu 阿尼西母
'a'su'ba 阿苏巴
'ai'cheng 艾城
'ai'da'en 艾达恩
'ai'gao 哀告
'ai'ge 哀歌
'ai'ji'he 埃及河
'ai'ji'wang'shi'sa 埃及王示撒
'ai'ku 哀哭
'ai'mu'ni'qu'xi'zai'ni'mian'qian 爱慕你屈膝在你面前
'ai'nen 哀嫩
'ai'qin'hai 爱琴海
'ai'se 埃色
'ai'ti'a'bo 埃提阿伯
'ai'tong 哀恸
'ai'tong'ku'hao 哀恸哭号
'ai'wo'yuan'yi 爱我愿意
'ai'xi'le'sheng'ming 爱喜乐生命
'ai'ya 爱雅
'ai'ya'de'nv'er'li'si'ba 爱雅的女儿利斯巴
'ai'yan 爱宴
'ai'zhong'sheng'huo'jie'zhu'min 爱中生活皆主民
'ai'zhu'ai'ren 爱主爱人
'ai'zhu'ai'ren'feng'shen'yi 爱主爱人奉神意
'an'bo'li'luo 暗伯利罗
'an'bo'ruo'xiu 安伯若修
'an'de'lie 安得烈
'an'fei'bo'li 暗妃波里
'an'gong'zheng'shen'pan'wan'min 按公正审判万民
'an'jing 安靖
'an'la'fei 暗拉非
'an'la'fei'zuo'shi'na'wang 暗拉非作示拿王
'an'lan 暗兰
'an'li 暗利
'an'li'zhang'lao 按立长老
'an'man 安曼
'an'mi'ba 安密巴
'an'nen 暗嫩
'an'shi'yong'liang 按时用粮
'an'shou 按手
'an'ta'de'xin'shi'shen'pan'wan'min 按他的信实审判万民
'an'ti'a 安提阿
'an'wei 安慰
'an'wei'shou'shang'ling'hun 安慰受伤灵魂
'an'wei'wo'shang'xin 安慰我伤心
'an'wei'zhe 安慰者
'an'xi 安息
'an'xi'ri 安息日
'an'zhe'zheng'yi'fen'jie'zhen'li'de'dao 按着正意分解真理的道
'ang'ge'lu'ren 盎格鲁人
'ao'ge'si'ding 奥格司丁
'ao'gu'si'ding 奥古斯丁
'ao'lian'wo'de'fei'fu'xin'chang 熬炼我的肺腑心肠
'ao'lin'pa 奥林帕
'ao'mi 奥秘
'ba'bi'lun 巴比伦
'ba'bi'lun'nian'jian 巴比伦年鉴
'ba'bie 巴别
'ba'bie'ta 巴别塔
'ba'bu 巴卜
'ba'chuang'ta'piao'qi 把床榻漂起
'ba'dan'ya'lan 巴但亚兰
'ba'dan'ya'lan 巴旦亚兰
'ba'di 巴底
'ba'di'mai 巴底买
'ba'dun 巴顿
'ba'duo'luo'mai 巴多罗买
'ba'ge'xi 巴革希
'ba'ha'mo'ya 巴哈摩押
'ba'hu'lin 巴户琳
'ba'ke 巴柯
'ba'ke'mi'si 巴科米斯
'ba'la 巴拉
'ba'la'ba 巴拉巴
'ba'la'da 巴拉达
'ba'la'dan 巴拉但
'ba'la'jia 巴拉加
'ba'la'jia 巴拉迦
'ba'la'you'da 巴拉犹大
'ba'lan 巴兰
'ba'lan'de'kuang'ye 巴兰的旷野
'ba'le 巴勒
'ba'le'ha'nan 巴勒哈南
'ba'le'si'tan 巴勒斯坦
'ba'le'si'tan'zhi'yue 巴勒斯坦之约
'ba'leng'mo'bian'cheng'ai 把冷漠变成爱
'ba'li 巴力
'ba'li'bi'li'tu 巴力比利土
'ba'li'de'miao 巴力的庙
'ba'li'jia'de 巴力迦得
'ba'li'ke 巴力克
'ba'li'pi'er 巴力毗珥
'ba'li'pi'la'xin 巴力毗拉心
'ba'li'si 巴利斯
'ba'li'ta'ma 巴力他玛
'ba'li'xi'bu 巴力西卜
'ba'li'xi'fen 巴力洗分
'ba'li'ya 巴利亚
'ba'lie 巴列
'ba'lu 巴录
'ba'lu'mi'ren 巴鲁米人
'ba'lu'mi'ren'ya'si'ma'fu 巴鲁米人押斯玛弗
'ba'mi'na 巴米拿
'ba'mo 拔摩
'ba'mo'dao 拔摩岛
'ba'mo'hai'dao 拔摩海岛
'ba'na 巴拿
'ba'na'ba 巴拿巴
'ba'na'de'er'zi'xi'li 巴拿的儿子希立
'ba'ni 巴尼
'ba'ru'zi'shi'tou 把褥子湿透
'ba'sa 巴萨
'ba'sa'ba 巴撒巴
'ba'sha 巴沙
'ba'shan 巴珊
'ba'shan'da'ta 巴珊大他
'ba'shan'de'ya'er'ge'bo'di 巴珊的亚珥歌伯地
'ba'shan'wang'e 巴珊王噩
'ba'shi'ba 拔示巴
'ba'shi'hu'er 巴施户珥
'ba'shi'mo 巴实抹
'ba'si'fei'qu 把死废去
'ba'ta'hua'wei'zan'mei'zhi'quan 把它化为赞美之泉
'ba'te 罢特
'ba'te'la'bing 巴特拉并
'ba'ti'mai 巴提麦
'ba'wa'yi 巴瓦伊
'ba'wa'yin 巴瓦音
'ba'wo'men'bing'leng'de'xin'rong'jie 把我们冰冷的心溶解
'ba'wo'shao'zai'zhu'de'ji'tan 把我烧在主的祭坛
'ba'xi'lai 巴西莱
'ba'xi'liu 巴西流
'ba'xi'lv 巴洗律
'ba'xi'ya 巴西亚
'ba'xi'ya 巴西雅
'ba'ye'su 巴耶稣
'ba'yue'na 巴约拿
'ba'zheng'bian'de'ren'bo'dao 把争辩的人驳倒
'bai'bai'ci 白白赐
'bai'ban'de'ren'nai 百般的忍耐
'bai'fu'zhang 百夫长
'bai'he'hua 百合花
'bai'huai 败坏
'bai'huai'ren 败坏人
'bai'ji'la 百基拉
'bai'ji'ni'shi 白基尼氏
'bai'jia'ma 柏迦玛
'bai'jin'niu'du 拜金牛犊
'bai'ni'ji 百尼基
'bai'ou'xiang 拜偶像
'bai'se'da'bao'zuo'de'shen'pan 白色大宝座的审判
'bai'she'le'sheng'ming'de'sheng'yan 摆设了生命的盛宴
'bai'zi 稗子
'ban'ci'wu'liang'ai 颁赐无量爱
'ban'jiao'shi 绊脚石
'ban'ni'qi 半尼其
'bang'du 谤渎
'bao'chou 报酬
'bao'hu'ni 保护你
'bao'hu'zhe 保护者
'bao'hui'shi 保惠师
'bao'luo 保罗
'bao'luo'shu'xin 保罗书信
'bao'shou'pai 保守派
'bao'xue'chou'ren 报血仇人
'bao'ying'ta'men 报应他们
'bao'zai 雹灾
'bei'bu 被捕
'bei'chuan'yu'wai'bang 被传于外邦
'bei'dao 背道
'bei'fu'wo'men'tong'ku 背负我们痛苦
'bei'gui'fu 被鬼附
'bei'jian 卑贱
'bei'jian'xuan 被拣选
'bei'jian'xuan'de 被拣选的
'bei'jiao'zhe 背教者
'bei'jie'zai'rong'yao'li 被接在荣耀里
'bei'ka'gu 贝卡谷
'bei'ka'shan'gu 贝卡山谷
'bei'li 背离
'bei'li'fu'yin 背离福音
'bei'lu 被掳
'bei'lu'qu 被掳去
'bei'lu'zhe 被掳者
'bei'lun'ni'si 贝伦尼丝
'bei'mai'qin 贝买沁
'bei'ni 悖逆
'bei'ni'de'zhao 被你得着
'bei'qi 悖弃
'bei'qi'shi'jia 背起十架
'bei'qi'wo'de'lv'li 背弃我的律例
'bei'qiu 被囚
'bei're'tie'lao'guan'le'yi'ban 被热铁烙惯了一般
'bei'sheng'ling'cheng'yi 被圣灵称义
'bei'sheng'ling'chong'man 被圣灵充满
'bei'shi'ren'xin'fu 被世人信服
'bei'shu 被赎
'bei'shu'de'ri'zi 被赎的日子
'bei'tai'duo'fen'za'de'shi'su'bang'suo 被太多纷杂的世俗绑锁
'bei'tai'duo'mei'li'de'shi'wu'mi'huo 被太多美丽的事物迷惑
'bei'ti 被提
'bei'tian'shi'kan'jian 被天使看见
'bei'xi'si'dun'bei'wen 贝希斯敦碑文
'bei'xian'wei 被献为
'bei'zao'zhe 被造者
'bei'zhu 被逐
'ben'diu'bi'la'duo 本丢彼拉多
'ben'dou 本都
'ben'du'xiu'dao'hui 本笃修道会
'ben'xiang'yong'heng'de'sheng'ming 奔向永恒的生命
'ben'yu'xin 本于信
