'ba'ba 八八
'ba'wo'yin'yang 把握阴阳
'ba'zheng'shen'ming'lun 八正神明论
'ba'zheng'shen'ming'lun'pian 八正神明论篇
'ba'zheng'shen'ming'lun'pian'di'er'shi'liu 八正神明论篇第二十六
'bai'bing'zhi'shi'ye 百病之始也
'bai'lu'bu'xia 白露不下
'bao'ming'quan'jiao'lun 宝命全角论
'bao'ming'quan'jiao'lun'pian 宝命全角论篇
'bao'ming'quan'jiao'lun'pian'di'er'shi'wu 宝命全角论篇第二十五
'bao'yu'shu'qi 暴雨数起
'bei'fa'huan'xing 被发缓形
'bei'fu'zhang 被服章
'ben'bing'lun 本病论
'ben'bing'lun'pian 本病论篇
'ben'bing'lun'pian'di'qi'shi'san 本病论篇第七十三
'ben'yu'yin'yang 本于阴阳
'ben'zai'wu'wei 本在五味
'bi'dai'ri'guang 必待日光
'bi'lun 痹论
'bi'lun'pian 痹论篇
'bi'lun'pian'di'si'shi'san 痹论篇第四十三
'bi'xian'chuan'xing'zhi'qi'suo'bu'sheng 必先传行至其所不胜
'bi'zhi'you'shi 避之有时
'bian'lie'xing'chen 辨列星辰
'biao'ben'bing'chuan'lun 标本病传论
'biao'ben'bing'chuan'lun'pian 标本病传论篇
'biao'ben'bing'chuan'lun'pian'di'liu'shi'wu 标本病传论篇第六十五
'bing'an'cong'lai 病安从来
'bing'nai'kuang 并乃狂
'bing'nai'si 病乃死
'bing'neng'lun 病能论
'bing'neng'lun'pian 病能论篇
'bing'neng'lun'pian'di'si'shi'liu 病能论篇第四十六
'bing'zhi'qie'si 病之且死
'bu'de'yi'qi'dao 不得以其道
'bu'ji'zheng'zhi 不亟正治
'bu'ju'yu'wu 不惧于物
'bu'shi'yu'shen 不时御神
'bu'shi'ze'ming'mu'duo'si 不施则名木多死
'bu'wang'zuo'lao 不妄作劳
'bu'yi'wan'hu 不亦晚乎
'bu'zhi'chi'man 不知持满
'bu'zhi'yi'luan 不治已乱
'cai'li'jin'xie 材力尽邪
'cang'de'bu'zhi 藏德不止
'cang'jing'er'qi'ji'ye 藏精而起亟也
'cang'qi'fa'shi'lun 藏气法时论
'cang'qi'fa'shi'lun'pian 藏气法时论篇
'cang'qi'fa'shi'lun'pian'di'er'shi'er 藏气法时论篇第二十二
'cang'tian'zhi'qi 苍天之气
'chang'er'dun'min 长而敦敏
'chang'pi'wei'zhi 肠澼为痔
'cheng'er'deng'tian 成而登天
'chi'chang'wei'wei 驰长为痿
'chi'geng'fa'chang 齿更发长
'chu'tian'di'zhi'he 处天地之和
'chuan'wei'shan'wei 传为善畏
'chuan'zheng'lun'zhi 喘证论治
'chuan'zhi'yu'xin 传之于心
'chun'bi'wen'bing 春必温病
'chun'de'fei'mai 春得肺脉
'chun'de'quan'dao 淳德全道
'chun'qiu'jie'du'bai'sui 春秋皆度百岁
'chun'san'yue 春三月
'chun'wei'wei'jue 春为痿厥
'chun'xia'er'mai'shou 春夏而脉瘦
'ci'chun'qi'zhi'ying 此春气之应
'ci'dong'qi'zhi'ying 此冬气之应
'ci'fa'lun 刺法论
'ci'fa'lun'pian 刺法论篇
'ci'fa'lun'pian'di'qi'shi'er 刺法论篇第七十二
'ci'gai'yi'qi'shou'ming'er'qiang'zhe'ye 此盖益其寿命而强者也
'ci'jie'ni'si'ye 此皆逆死也
'ci'jin'lun 刺禁论
'ci'jin'lun'pian 刺禁论篇
'ci'jin'lun'pian'di'wu'shi'er 刺禁论篇第五十二
'ci'nue 刺疟
'ci'nue'pian 刺疟篇
'ci'nue'pian'di'san'shi'liu 刺疟篇第三十六
'ci'qi'dao'sheng 此其道生
'ci'qi'lun 刺齐论
'ci'qi'lun'pian 刺齐论篇
'ci'qi'lun'pian'di'wu'shi'yi 刺齐论篇第五十一
'ci'qi'tian'shou'guo'du 此其天寿过度
'ci'qiu'qi'zhi'ying 此秋气之应
'ci're 刺热
'ci're'pian 刺热篇
'ci're'pian'di'san'shi'er 刺热篇第三十二
'ci'shou'ming'zhi'ben'ye 此寿命之本也
'ci'sui'you'zi 此虽有子
'ci'wei'bi'cang 此为闭藏
'ci'wei'fa'chen 此为发陈
'ci'wei'fan'xiu 此为蕃秀
'ci'wei'rong'ping 此谓容平
'ci'wei'zi'shang 此谓自伤
'ci'xia'qi'zhi'ying 此夏气之应
'ci'yan'qi'zhi'ni'xing'ye 此言气之逆行也
'ci'yao'lun 刺要论
'ci'yao'lun'pian 刺要论篇
'ci'yao'lun'pian'di'wu'shi 刺要论篇第五十
'ci'yao'tong 刺腰痛
'ci'yao'tong'pian 刺腰痛篇
'ci'yao'tong'pian'di'si'shi'yi 刺腰痛篇第四十一
'ci'yin'shi'zhi'xu 此因时之序
'ci'yin'shi'zhi'xu'ye 此因时之序也
'ci'zhi'lun 刺志论
'ci'zhi'lun'pian 刺志论篇
'ci'zhi'lun'pian'di'wu'shi'san 刺志论篇第五十三
'ci'zhi'wei'ye 此之谓也
'cong'ba'feng'zhi'li 从八风之理
'cong'yin'yang'ze'sheng 从阴阳则生
'cong'zhe'fan'zhi 从者反治
'cong'zhi'ze'ke'ji'bu'qi 从之则苛疾不起
'cong'zhi'ze'zhi 从之则治
'cou'li'yi'mi 腠理以密
'cu'nai'bai'zhi 粗乃败之
'da'gu'qi'lao 大骨气劳
'da'jin'ruan'duan 大筋緛短
'da'nu'ze'xing'qi'jue'er'xue'wan'yu'shang 大怒则形气绝而血菀于上
'da'qi'lun 大奇论
'da'qi'lun'pian 大奇论篇
'da'qi'lun'pian'di'si'shi'ba 大奇论篇第四十八
'dao'zhe 道者
'di'dao'bu'tong 地道不通
'di'qi'yi'ming 地气以明
'di'qi'zhe'mao'ming 地气者冒明
'di'yue 帝曰
'dong'de'pi'mai 冬得脾脉
'dong'san'yue 冬三月
'dong'shang'yu'han 冬伤于寒
'dong'wei'sun'xie 冬为飧泄
'dong'zhi'zhong'bing 冬至重病
'dou'er'zhu'zhui 斗而铸锥
'du'bai'sui'nai'qu 度百岁乃去
'du'li'shou'shen 独立守神
'duan'ji 短肌
'e'qi'bu'fa 恶气不发
'er'ba 二八
'er'bi'bu'ke'yi'ting 耳闭不可以听
'er'dong'zuo'bu'shuai 而动作不衰
'er'jin'zhong'qi'tian'nian 而尽终其天年
'er'mu'cong'ming 耳目聪明
'er'qi 二七
'er'shen'qi'you'yu'ye 而肾气有余也
'er'tian'di'zhi'jing'qi'jie'jie'yi 而天地之精气皆竭矣
'er'tian'gui'zhi 而天癸至
'er'wu'zi'er 而无子耳
'er'yang'qi'dang'ge 而阳气当隔
'er'you'zi'zhe 而有子者
'fa'bin'ban'bai 发鬓颁白
'fa'chang'chi'geng 发长齿更
'fa'chang'ji 发长极
'fa'duo'chi'gao 发堕齿槁
'fa'shi'bai 发始白
'fa'shi'duo 发始堕
'fa'wei'feng'nue 发为风疟
'fa'wei'wei'jue 发为痿厥
'fa'yu'yin'yang 法于阴阳
'fa'ze'tian'di 法则天地
'fan'ci'san'shi 反此三时
'fan'lao'ze'zhang 烦劳则张
'fan'shun'wei'ni 反顺为逆
'fan'yin'yang'zhi'yao 凡阴阳之要
'fan'ze'chuan'he 烦则喘喝
'fang'sheng'shuai'lun 方盛衰论
'fang'sheng'shuai'lun'pian 方盛衰论篇
'fang'sheng'shuai'lun'pian'di'ba'shi 方盛衰论篇第八十
'fei'qi'jiao'man 肺气焦满
'fei'wei'fei'yong'ke'sou'shang'qi'bing'mai'zheng'zhi 肺痿肺痈咳嗽上气病脉证治
'fen'bie'si'shi 分别四时
'feng'cang'zhe'shao 奉藏者少
'feng'ke'yin'qi 风客淫气
'feng'lun 风论
'feng'lun'pian 风论篇
'feng'lun'pian'di'si'shi'er 风论篇第四十二
'feng'sheng'zhe'shao 奉生者少
'feng'shou'zhe'shao 奉收者少
'feng'yu'bu'jie 风雨不节
'feng'zhang'zhe'shao 奉长者少
'fu'bing'yi'cheng'er'hou'yao'zhi 夫病已成而后药之
'fu'dao'zhe'neng'que'lao'er'quan'xing 夫道者能却老而全形
'fu'dao'zhe'nian'jie'bai'sui 夫道者年皆百岁
'fu'ke'xin'fa'yao'jue 妇科心法要诀
'fu'neng'hai'ye 弗能害也
'fu'shang'gu'sheng'ren'zhi'jiao'xia'ye 夫上古圣人之教下也
'fu'si'shi'yin'yang'zhe 夫四时阴阳者
'fu'tian'qi'er'tong'shen'ming 服天气而通神明
'fu'zhi'neng'hai 弗之能害
'fu'zhong'lun 腹中论
'fu'zhong'lun'pian 腹中论篇
'fu'zhong'lun'pian'di'si'shi 腹中论篇第四十
'fu'zi'gu'tong'tian'zhe 夫自古通天者
'gan'qi'nei'bian 肝气内变
'gan'qi'shuai 肝气衰
'gan'qi'yi'jin 肝气以津
'gao'gu'nai'huai 高骨乃坏
'gao'liang'zhi'bian 高梁之变
'gao'xia'bu'xiang'mu 高下不相慕
'ge'cong'qi'yu 各从其欲
'ge'zhe'dang'xie 隔者当泻
'geng'shang'wu'zang 更伤五脏
'gu'ban'bai'er'shuai'ye 故半百而衰也
'gu'bing'jiu'ze'chuan'hua 故病久则传化
'gu'bu'de'wo'er'xi'you'yin'ye 故不得卧而息有音也
'gu'bu'xia'ye 故不下也
'gu'fa'bin'bai 故发鬓白
'gu'feng'zhe 故风者
'gu'he'yu'dao 故合于道
'gu'kong'lun 骨空论
'gu'kong'lun'pian 骨空论篇
'gu'kong'lun'pian'di'liu'shi 骨空论篇第六十
