'an'yu'lan'pen'zhong 安盂兰盆中
'bao'ru'bu'zhi'en 报乳哺之恩
'bei'hao'ti'qi 悲号涕泣
'bian'yi'zuo'shou'zhang'bo 便以左手障钵
'bian'zi'shou'shi 便自受食
'bu'jian'yin'shi 不见饮食
'chang'yi'fu'mu 常忆父母
'chang'yi'xiao'ci 常以孝慈
'chi'hai'bai'fo 驰还白佛
'chu'shou'shi'shi 初受食时
'chuang'fu'wo'ju 床敷卧具
'ci'fo'yan 此佛言
'da'chen'zai'xiang 大臣宰相
'da'shan'kuai'wen 大善快问
'dang'ci'zhi'ri 当此之日
'dang'wei'qi'shi'fu'mu 当为七世父母
'dang'xu'shi'fang'zhong'seng'wei'shen'zhi'li'nai'de'jie'tuo 当须十方众僧威神之力乃得解脱
'dao'shi 道士
'de'chu'san'tu'zhi'ku 得出三涂之苦
'de'meng'san'bao'gong'de'zhi'li 得蒙三宝功德之力
'de'tuo'yi'jie'e'gui'zhi'ku 得脱一劫饿鬼之苦
'di'zi'suo'sheng'fu'mu 弟子所生父母
'e'nan'zhong'zhe 厄难中者
'fei'ru'yi'ren'li'suo'nai'he 非汝一人力所奈何
'fo'gao'mu'lian 佛告目连
'fo'huan'xi'ri 佛欢喜日
'fo'yan 佛言
'fo'zi'zi'shi 佛自恣时
'fu'le'bai'nian 福乐百年
'fu'le'wu'ji 福乐无极
'gong'yang'shi'fang'da'de'zhong'seng 供养十方大德众僧
'guan'shi'shi'jian 观视世间
'guo'qu'qi'shi'fu'mu 过去七世父母
'guo'wang'tai'zi 国王太子
'hua'cheng'huo'tan 化成火炭
'huan'xi'feng'xing 欢喜奉行
'huo'dei'si'dao'guo 或得四道果
'huo'liu'tong'zi'zai 或六通自在
'huo'shi'di'pu'sa'da'ren 或十地菩萨大人
'huo'zai'shan'jian'chan'ding 或在山间禅定
'huo'zai'shu'xia'jing'xing 或在树下经行
'ji'da'pu'sa'zhong 及大菩萨众
'ji'guan'pen'qi 汲灌盆器
'ji'xian'zai'fu'mu 及现在父母
'ji'yi'bo'cheng'fan 即以钵盛饭
'ji'yi'dao'yan 即以道眼
'ji'yu'shi'ri 即於是日
'jian'qi'wang'mu 见其亡母
'jiao'hua'sheng'wen 教化声闻
'jie'da'huan'xi 皆大欢喜
'jie'li'you'ku 皆离忧苦
'jie'tong'yi'xin 皆同一心
'jie'xian'wei'shi'zhu'jia'zhou'yuan 皆先为施主家咒愿
'jie'ying'xian'wei'suo'sheng'xian'zai'fu'mu 皆应先为所生现在父母
'jin'shi'gan'mei 尽世甘美
'jiu'du'xian'zai'fu'mu 救度现在父母
'jiu'du'xian'zai'yi'qie'fo'di'zi 救度现在一切佛弟子
'ju'chen'ru 具陈如
'ju'fan'bai'wei'wu'guo 具饭百味五果
'ju'qing'jing'jie 具清净戒
'ke'wei'er'bu 可为而不
'li'e'gui'ku 离饿鬼苦
'ling'yi'qie'nan 令一切难
'liu'qin'juan'shu 六亲眷属
'mu'de'bo'fan 母得钵饭
'mu'lian'bei'ai 目连悲哀
'mu'lian'bei'ti'qi'sheng 目连悲啼泣声
'mu'lian'da'jiao 目连大叫
'mu'lian'fu'bai'fo'yan 目连复白佛言
'nai'zhi'qi'shi'fu'mu 乃至七世父母
'nian'nian'qi'yue'shi'wu'ri 年年七月十五日
'pi'gu'lian'li 皮骨连立
'qi'de'wang'yang 其德汪洋
'qi'you'gong'yang'ci'deng'zi'zi'seng'zhe 其有供养此等自恣僧者
'qi'yue'shi'wu'ri 七月十五日
'quan'xian'bi'qiu 权现比丘
'ran'hou'shou'shi 然后受食
