'ba'gong 八宫
'ba'yue'jian'you 八月建酉
'bai'qi'jin'yong 白起金用
'bao'guo'bu'sheng 暴过不生
'bao'luo'cong'yin'ding'huo'pang 包络从阴丁火旁
'bao'zhu'xia'po 暴注下迫
'bei'fang'sheng'han 北方生寒
'bei'tian'ji 北天极
'ben'bing'lun 本病论
'bi'fei 疪废
'bi'qi'du'qi 避其毒气
'bi'ru'yu'xu 毕入于戌
'bi'xian'sui'qi'wu'fa'tian'he 必先岁气无伐天和
'biao'ben'zhong'qi 标本中气
'bing'chen 丙辰
'bing'ding'huo 丙丁火
'bing'xin'shui'yun'yu'yin 丙辛水运羽音
'bing'xu 丙戌
'bing'yi'yang'shui 丙以阳水
'bu'ji 不及
'bu'qian'zheng 不迁正
'bu'tui'wei 不退位
'cang'guo 仓果
'cang'men 仓门
'cang'tian'zhi'qi'jing'yu'wei'shi'liu'gui 苍天之气经于危室柳鬼
'cang'zao 苍早
'chang'xia'qi'zai'ji'rou 长夏气在肌肉
'chang'xia'sheng'dong 长夏胜冬
'chen'kui'yu'gui 陈揆于癸
'chen'wei'jun'ze'ni 臣位君则逆
'chen'xing 辰星
'cheng'huo'zhi'shang 乘火之上
'cheng'wu 乘侮
'cheng'ze'zhi 承则制
'chi'su 迟速
'chi'wo'xia 赤沃下
'chu'da'er'chun'shi'san'ri 初大二春十三日
'chu'jia'yu'jia 出甲于甲
'chu'yun 初运
'chun'qi'xi'xing 春气西行
'chun'qi'zai'jing'mai 春气在经脉
'chun'sheng'chang'xia 春胜长夏
'chun'ying'zhong'gui 春应中规
'ci'fa'lun 刺法论
'cong'zhe'fan'zhi 从者反治
'cou'run'yan'yi 凑润衍益
'da're'bu'xing 大热不行
'da'sheng'yu'ding 大盛于丁
'da'yun 大运
'dan'biao 丹熛
'dan'tian'zhi'qi'jing'yu'niu'nv'wu'fen 丹天之气经于牛女戊分
'dang'qi'wei'ze'zheng 当其位则正
'di'bu'man'dong'nan 地不满东南
'di'hu 地户
'di'ping'quan 地平圈
'di'qi'qian 地气迁
'di'yi'wu'wei'zhi 地以五为制
'ding'hai 丁亥
'ding'ren'hua'mu'shui'bing'xin 丁壬化木水丙辛
'ding'ren'mu'yun'jiao'yin 丁壬木运角音
'ding'si 丁巳
'ding'xin'wu'wei'ji'pi'xiang 丁心戊胃己脾乡
'ding'yi'yin'mu 丁以阴木
'dong'fang'sheng'feng 东方生风
'dong'fu'ze'jing 动复则静
'dong'qi'chang'zai 冬气常在
'dong'qi'nan'xing 东起南行
'dong'qi'zai'gu'sui'zhong 冬气在骨髓中
'dong'sheng'xia 冬胜夏
'dong'ying'zhong'quan 冬应中权
'dong'ze'ke'ji'qi 动则苛疾起
'dou'gang'yue'jian 斗纲月建
'dou'jian 斗建
'duan'jin'sheng're 煅金生热
'e'bu'yu'wu 咢布于午
'er'shi'ba'xiu 二十八宿
'er'xian'qi'suo'yin 而先其所因
'er'yue'jian'mao 二月建卯
'er'yun 二运
'fan'jian'sheng'ji'zhi'hua 反兼胜己之化
'fan'ruo 燔若
'fan'yang 反阳
'fang'shi 方士
'fei'qi'shi'ze'xie 非其时则邪
'fei'yin'da'mao'wei'chen'gong 肺寅大卯胃辰宫
'fen'ya'yu'yi 分轧于乙
'fen'ze'qi'yi 分则气异
'fen'zhi 分至
'feng'dong'qi'qing 风动气清
'feng'hua'yu'tian 风化于天
'feng'mao'yu'wu 丰楙于戊
'feng'mu 风木
'feng'qi'liu'xing 风气流行
'feng're'huo'shi'zao'han 风热火湿燥寒
'feng'si'yu'di 风司于地
'feng'yi'dong'zhi 风以动之
'feng'zao'heng'yun 风燥横运
'fu'qi 复气
'fu'qi'suo'zhu 伏其所主
'fu'sheng'jia'zhi'tai'gong 复生甲之太宫
'fu'sui 复岁
'gai'he'yu'hai 该阂于亥
'gai'tian'shuo 盖天说
'gan'de'fu 干德符
'gan'zhi'ji'yue 干支纪月
'gan'zhi'jia'zi 干支甲子
'gang'mu'pi'zhu 刚木辟著
'geng'shu'da'chang'xin'shu'fei 庚属大肠辛属肺
'geng'xin'jin 庚辛金
'geng'yi'yang'jin 庚以阳金
'gong'qiao'shen'sheng 工巧神圣
'gu'liu'li 古六历
'gu'xi'lin'zhong 姑洗林钟
'gui'ren 贵人
'gui'yi'yin'huo 癸以阴火
'hai'jiao'zi'dan'chou'gan'tong 亥焦子胆丑肝通
'hai'ze'bai'luan 害则败乱
'han'jiao'shu 寒交暑
'han'nai'da'xing 寒乃大行
'han'qi'liu'xing 寒气流行
'han'shen'wu'jian 寒甚物坚
'han'shui 寒水
'han'yi'jian'zhi 寒以坚之
'hou'zhi'suo'shi'dao'zhi'suo'sheng 候之所始道之所生
'hua'chun 化淳
'hua'er'wei'yu 化而为雨
'hua'qi'bu'zheng 化气不政
'hua'shi'qi'hua 华实齐化
'hua'wu'ke'dai 化无可代
'huai'ren'yu'ren 怀任于壬
'huang'qi 黄起
'huang'zhong 黄钟
'hun'tian'shuo 浑天说
'huo'de'shui'er'mie 火得水而灭
'huo'yi 火疫
'huo'yi'wen'zhi 火以温之
'huo'yu'fa'zhi 火郁发之
'huo'yue'zheng 火曰徵
'huo'yun 火运
'huo'yun'lin'wu 火运临午
'ji'chou 己丑
'ji'chun'xing'dong'ling 季春行冬令
'ji'feng'zhi'hou 疾风之后
'ji'suo'bu'sheng'er'cheng'zhi 己所不胜而乘之
'ji'suo'sheng'qing'er'wu'zhi 己所胜轻而侮之
'ji'wei 己未
'ji'yang'wei'tian 积阳为天
'ji'yi'yin'tu 己以阴土
'ji'yin'wei'di 积阴为地
'jia'dan'yi'gan'bing'xiao'chang 甲胆乙肝丙小肠
'jia'ji'hua'tu'yi'geng'jin 甲己化土乙庚金
'jia'ji'tu'yun'gong'yin 甲己土运宫音
'jia'yi'mu 甲乙木
'jia'yi'yang'tu 甲以阳土
'jia'zhe'fan'zhi 假者反之
'jian'gu'ming'tai 间谷命太
'jian'qi 间气
'jiao'zheng'gong'shang'yu 角徵宫商羽
'jie'shu'yu'han 皆属于寒
'jin'cheng'mu'xia 金承木下
'jin'de'huo'er'que 金得火而缺
'jin'shuo'shi'liu 金硕石流
'jin'tian'zhi'qi'jing'yu'xin'wei'ji'fen 黅天之气经于心尾己分
'jin'yi 金疫
'jin'yu'xie'zhi 金郁泄之
'jin'yue'shang 金曰商
'jin'yun 金运
'jin'yun'lin'you 金运临酉
'jing'qi'xue'shuo 精气学说
'jiu'gong'ba'feng 九宫八风
'jiu'xing'qi'yao 九星七曜
'jiu'yue'jian'xu 九月建戌
'ju'qi 居气
'jue'yin'feng'mu 厥阴风木
'jun'huo 君火
'jun'huo'zhi'wei 君火之位
'jun'huo'zhi'zhi 君火治之
'jun'wei'chen'ze'shun 君位臣则顺
'kai'yang 开阳
'kang'er'zi'zhi 亢而自制
'kang'hai'cheng'zhi 亢害承制
'kang'ze'hai 亢则害
'ke'yun 客运
'ke'zhong 刻终
'ke'zhu'jia'lin 客主加临
'li'hua 力化
'li'ji'yu'ji 理纪于己
'lian'geng'yu'geng 敛更于庚
'lin'jian'yu'lu 麟见于陆
'lin'yin 霖霪
'liu'hua'liu'bian 六化六变
'liu'jie'zang'xiang'lun 六节藏象论
'liu'qi'sheng'fu 六气胜复
'liu'shi'jia'zi'zhou 六十甲子周
'liu'shu'yu'you 留孰于酉
'liu'wei'zhi'da'lun 六微旨大论
'liu'yin'zhi'bing 六淫致病
'liu'yuan 六元
'liu'yuan'zheng'ji'da'lun 六元正纪大论
'liu'yue'jian'wei 六月建未
'lou'hu 漏壶
'lou'xia'bai'ke 漏下百刻
'lv'lv'yin'yi 律吕音异
'mang'er'da'bei'chang'zhi'yi 芒而大倍常之一
'mao'hua 毛化
'mao'mao'yu'mao 冒茆于卯
'mei'ai'yu'wei 昧薆于未
'meng'chun'xing'xia'ling 孟春行夏令
'ming'bing'yu'bing 明炳于丙
'ming'wen'qi'chai 鸣紊启拆
'mu'de'jin'er'fa 木得金而伐
'mu'yan'sha'fei 木偃沙飞
'mu'yi 木疫
'mu'yu'da'zhi 木郁达之
'mu'yue'jiao 木曰角
'mu'yun 木运
'mu'yun'lin'mao 木运临卯
'nan'fang'sheng're 南方生热
'nan'tian'ji 南天极
'ni'cong 逆从
'ni'zhe'zheng'zhi 逆者正治
'nian'zhi'suo'jia 年之所加
'ning'can 凝惨
'niu'ya'yu'chou 纽牙于丑
'pi'si'xin'wu'xiao'wei'zhong 脾巳心午小未中
'ping'qi'zhi'nian 平气之年
'ping'qi'zhi'sui 平气之岁
'qi'cong'zi'shi 气从子始
'qi'jiao'bian'da'lun 气交变大论
'qi'jiao'you'bian 气交有变
'qi'sheng'yun'shuai 气盛运衰
'qi'wei'yong'yao 气味用药
'qi'xiang'de'ze'he 气相得则和
'qi'xiang'zhao'ran 其象昭然
'qi'yao'zhou'xuan 七曜周旋
'qi'yi'yuan'lun 气一元论
'qi'you'chu'zhong 气有初中
