'ai'si'suo'qian'yin 爱思所牵引
'an'zhu'fen'wei'shi 安住分位时
'ba'bian'cai 八辩才
'bai'ci'fen'xi'yin 百次分析因
'bai'deng'ju'shu'deng 白等具数等
'bao'pi'ze'si'gu 剥皮则死故
'bei'huo'you'ye'gan 悲或由业感
'bei'xin'deng'chuan'xi 悲心等串习
'bei'xin'wei'ruo'gu 悲心微弱故
'bei'you'zi'zhong'sheng 悲由自种生
'ben'shen'zhi'zi'xing 本身之自性
'ben'wu'gong'de'zhe 本无功德者
'ben'xing'tong'yin'gu 本性同因故
'bi'ben'xing'wu'xi 彼本性无系
'bi'bi'suo'sheng 彼彼所生
'bi'bian'yi'deng'tong 彼辩亦等同
'bi'cheng'tong'shi'xing 彼成同时性
'bi'dan'wo'suo'zhong 彼耽我所种
'bi'deng'bi'cha'bie 彼等彼差别
'bi'deng'guan'tong'ku 彼等观痛苦
'bi'deng'neng'shou'sheng 彼等能受生
'bi'deng'sheng'shuai'zhong 彼等盛衰中
'bi'deng'si'ben'ye 彼等思本业
'bi'deng'xiang'tong'guo 彼等相同果
'bi'deng'yi'bian'yi 彼等亦变异
'bi'deng'yi'ying'tong 彼等亦应同
'bi'deng'yu'bi'yi 彼等与彼异
'bi'di'yi'ti'xing 彼谛异体性
'bi'dui'zhi'yi'ding 彼对治亦定
'bi'er'shi'xiang'wei 彼二是相违
'bi'er'ti'yi'gu 彼二体异故
'bi'fa'wai'ta'fa 彼法外他法
'bi'fei'chang'fa'you 彼非常法有
'bi'fei'ren'he'yin 彼非任何因
'bi'fei'shi'zhong'ku 彼非始终苦
'bi'fei'yong'heng'xing 彼非永恒性
'bi'guo'ji'gong'de 彼过及功德
'bi'guo'ru'he'cun 彼果如何存
'bi'he'bu'fu'huo 彼何不复活
'bi'he'ju'he'wu 彼何具何无
'bi'he'she'qi'wo 彼何舍弃我
'bi'he'shi'fei'yin 彼何时非因
'bi'ji'huai'ju'jian 彼即坏聚见
'bi'ji'wu'fu'fan 彼即无复返
'bi'ji'ye'guo'gu 彼即业果故
'bi'jiang'shou'zhe'mo 彼将受折磨
'bi'jin'qu'fei'li 彼近取非理
'bi'li'tan'he'you 彼离贪何有
'bi'liang 比量
'bi'liang'fei'ying'li 比量非应理
'bi'liang'tui'ta'yin 比量推他因
'bi'liang'tui'zhu'ye 比量推诸业
'bi'liang'zhi'suo'yi 比量之所依
'bi'mie'ze'fu'yi 彼灭则复依
'bi'ming'nai'liang'xing 彼名乃量性
'bi'neng'li'yi'wu 彼能立亦无
'bi'qi'ju'ci'di 彼岂具次第
'bi'shi'fu'cheng'huo 彼时复成活
'bi'shi'wu'xin'gu 彼时无心故
'bi'shi'zan'dao'shi 彼事赞导师
'bi'wei'er'shi'zhu 彼唯尔时住
'bi'wu'chang'xing'gu 彼无常性故
'bi'wu'ze'fei'you 彼无则非由
'bi'xian'yi'xian'liang 彼先已现量
'bi'xin'wu'jie'sheng 彼心无结生
'bi'xu'yu'huai'ai 彼许欲坏爱
'bi'yi'fu'chu'xian 彼亦复出现
'bi'yi'jiang'hui'mie 彼亦将毁灭
'bi'yi'shi'zhi'qu 彼依识执取
'bi'yi'tiao'shi'deng 彼亦调适等
'bi'yi'tong'guo'shi 彼亦同过失
'bi'yi'xian'ci'di 彼亦显次第
'bi'yi'you'bie'gu 彼亦有别故
'bi'yi'yu'zhi'tong 彼亦与之同
'bi'yi'zhi'you'qing 彼亦执有情
'bi'yin'heng'cun'gu 彼因恒存故
'bi'yin'ju'you'yuan 彼因俱有缘
'bi'you'bu'jian'sheng 彼由不见生
'bi'you'ci'you'gu 彼有此有故
'bi'you'fang'you'zhi 彼有方有之
'bi'yu'da'wu'bie 彼与大无别
'bi'yu'shi'zuo'he 彼于事作何
'bi'yu'wo'deng'tong 彼于我等同
'bi'yu'yi'qie'shi 彼于一切事
'bi'zhe'da'bei'xin 彼者大悲心
'bi'zhe'ji'you'yu 彼者即有欲
'bi'zhe'ou'er'de 彼者偶尔得
