'bei'zhou'ze'yi'dai 备周则意怠
'bian'sheng'bing'bu'cheng'wen'ti 辩胜并不成问题
'bo'lan'qun'jia 博览群家
'bu'bian'niu'ma 不辨牛马
'bu'ke'yi'sheng 不可以生
'bu'xin'er'wu'li 不信而无礼
'bu'zhu'yu'xiang 不住于相
'cai'lian'nan'tang'qiu 采莲南塘秋
'chang'ji'yin'de 常积阴德
'chang'jian'ze'bu'yi 常见则不疑
'cheng'qi'yin'luan 乘其阴乱
'cheng'tian'di'zhi'zheng 乘天地之正
'chong'ru'ruo'jing 宠辱若惊
'chu'sheng'shan'chu 出生善处
'chu'wei'lin'yu'zhi'cao 初为霖雨之操
'chuan'bu'xi'hu 传不习乎
'ci'xian'han'suo'yi'xing'long'ye 此先汉所以兴隆也
'ci'yi'ji'yang'yang'niao'ye 此以己养养鸟也
'cong'yi'bu'gai 从一不改
'dan'yuan'wo'neng'song'yi'lun'ming'yue'gei'ni 但愿我能送一轮明月给你
'diao'zhuo'fu'pu 雕琢复朴
'dong'dao'shen'wei 动刀甚微
'duan'qi'yuan'ying 断其援应
'er'chuan'xiao'jing 而传孝经
'er'rang'di'zi'du'wei'jun'zi'ye 而让弟子独为君子耶
'er'suo'yao'zhe'qing'ye 而所要者轻也
'er'wu'suo'yong'qi'qiao 而无所用其巧
'fei'li'ye 非礼也
'fei'qin'shi'zhe 废寝食者
'fei'xing'sui'wan'bian 废兴虽万变
'fei'yi'niao'yang'yang'niao'ye 非以鸟养养鸟也
'feng'zhi'ji'ye'bu'hou 风之积也不厚
'fu'bu'jiao'pin 富不骄贫
'fu'di'er'ren 抚弟二人
'fu'mi'feng'qin 负米奉亲
'fu'zi'yan'zhi 夫子言之
'geng'zao'beng'shan'zhi'yin 更造崩山之音
'gong'yang'shi'fang'da'de'zhong'seng 供养十方大德众僧
'gu'li'bu'ke'dang'er'shi'you'ke'xiao 故力不可当而势犹可消
'gu'shan'zhan'zhe 故善战者
'gu'tian'xia'jian'xiang'ai'ze'zhi 故天下兼相爱则治
'gua'gu'bu'ke'yi'di'zhong 寡固不可以敌众
'guang'jie'shan'yuan 广结善缘
'gui'da'huan'ruo'shen 贵大患若身
'hen'bu'ren'ji 恨不忍饥
'hua'ran'xiang'ran 砉然向然
'huo'ran'ji'jie 謋然己解
'jia'zhi'yi'bian 假之以便
'jian'bu'xia'gui 贱不下贵
'jiang'xin'bi'xin 将心比心
'jiao'ru'fei'jing'lin'dan'que 皎如飞镜临丹阙
'jiao'xiang'e'ze'luan 交相恶则乱
'jie'li'yu'tian 竭力于田
'jie'yan'yi'hui'yi 借言以会意
'jie'yi'wu'wei'fa'er'you'cha'bie 皆以无为法而有差别
'jie'yin'chao'sheng 接引超生
'ju'huai'yi'xing 据怀疑型
'jue'xue'wu'you 绝学无忧
'jun'xing'ren'zheng 君行仁政
'ke'lian'de'ren'ya 可怜的人呀
'ke'qi'er'gong'jing'de'qing'he'shang'yi'tong'jiu'can 客气而恭敬地请和尚一同就餐
'kong'yu'bian'shui'dong'liu'hai 空余汴水东流海
'kuai'ran'du'yi'qi'xing'li 块然独以其形立
'kuang'ye'fei'kuang'ye 诳也非诳也
'lai'zhe'you'ke'zhui 来者犹可追
'li'qi'ruo'er'wu'zhu 利其弱而无主
'li'zhong'guo'er'fu'si'yi'ye 莅中国而抚四夷也
'lian'hua'guo'ren'tou 莲花过人头
'liang'an'yi'qing'zhu'ya'zhi'jian 两岸矣清渚崖之间
