'a'bo'dun 阿伯顿
'a'shen'fu'de'ping'yuan 阿什福德平原
'a'si'ka'long 阿斯卡隆
'a'su'la 阿苏拉
'an'mu 暗幕
'an'ying'ju'shou 暗影巨兽
'ba'sa'ze 巴萨泽
'ba'she'ren'wu 跋涉任务
'bai'dou'peng 白斗篷
'bao'tu'quan 趵突泉
'bei'bu'wu'pin 背部物品
'bei'heng'de'shi'lian'chang 贝哼的试炼场
'bei'shang'zhi'yong 悲伤之拥
'beng'ta'de'guan'ce'zhan 崩塌的观测站
'bi'shou 匕首
'bian'jing'zhi'di 边境之地
'bing'dong 冰冻
'bing'long 冰龙
'bo'mu 薄暮
'bo'te'ma'te'de'shi'yan'shi 波特马特的实验室
'bu'li'si'ban'ye'di 布里斯班野地
'cai'feng 裁缝
'chang'gong 长弓
'chao'nong 嘲弄
'chen'guang 晨光
'chu'shi 厨师
'chuan'qi 传奇
'chuan'song'dian 传送点
'cong'lin'ya'long 丛林亚龙
'da'jian 大剑
'dao'zei 盗贼
'de'man'xiu'hui 德曼修会
'de'wei'na 德薇娜
'di'ye'sha'gao'di 底耶沙高地
'du'liang'ling'yu 度量领域
'duan'fen 煅焚
'duan'gong 短弓
'e'yi'huang'ma'hui'zhang 恶意黄麻徽章
'fa'zhang 法杖
'fei'hong'ping'yuan 绯红平原
'fei'xu'yuan'ye 废墟原野
'fen'shen 分身
'fen'zhuang 粉装
'feng'chen'dang'an'shi 封尘档案室
'feng'lei'ze'de'yu'xing 疯雷泽的愚行
'fo'sai'te'de'bao'zang 佛赛特的宝藏
'fu'ben'dang 副本党
'gan'da'la'zhan'qu 甘达拉战区
'gang'tie'ping'yuan 钢铁平原
'gao'lun'ji'qi'hao 高仑机器号
'ge'lan'di'mao'xian 格兰蒂冒险
'ge'mu'de'shi'yan'shi 格姆的实验室
'ge'teng'hua'yu 葛藤花语
'gong'cheng 工程
'gong'hui'ren'wu 公会任务
'gong'yi'zhi'zuo'shi 工艺制作师
'gu'lan'si 古兰斯
'gu'pian 骨片
'ha'la'xi'fu'di 哈拉希腹地
'hai'lang'zhi'yu 海浪之誉
'han'bing'sa'man 寒冰萨满
'hao'jie'hai'xia 浩劫海峡
'he'zhuang'mi'yu 盒装谜语
'hei'an'kuang'huan 黑暗狂欢
'hei'yan'bi'lei 黑烟壁垒
'hei'yao'shi'bi'hu'suo 黑曜石庇护所
'hong'guang 虹光
'huan'ling 幻灵
'huan'shu 幻术
'huang'ma'juan 黄麻卷
'huang'ma'sui'pian 黄麻碎片
'huang'ma'xian'zhou 黄麻线轴
'hui'mie'zhe 毁灭者
'hun'luan'jing'ku 混乱晶窟
'hun'mi 昏迷
'huo'bu'lei'ke 霍布雷克
'huo'ju 火炬
'huo'yuan'su 火元素
'ji'zhan 激战
'jia'li'si'guo'wang'de'bi'nan'suo 加里斯国王的避难所
'jian'bi 剑匕
'jiang'shi'long 僵尸龙
'jie'mi'ren'wu 解谜任务
'jin'hua'de'cong'lin'ya'long 进化的丛林亚龙
'jin'xian'zha'er 仅限扎尔
'jing'su'ren'wu 竞速任务
'jing'zhun'huang'ma'hui'zhang 精准黄麻徽章
'ju'mo'mo'lu 巨魔末路
'ju'xing'po'huai'zhe 巨型破坏者
'jue'dong'xuan'ya 掘洞悬崖
'ka'ka'shou'nv'wang 卡卡兽女王
'ka'le'dun'zhi'sen 卡勒顿之森
'kai'shan 凯珊
'kai'xi'si'shan 凯席斯山
'kao'di'ke'si'zhuang'yuan 考迪克斯庄园
'ke'la'ka'tuo 克拉卡托
'ke'mi'er 克米尔
'ku'nan'shan'dong 苦难山洞
'ku'nan'yan'jia 苦难岩架
'kuang'luan 狂乱
'kui'jia'duan'zao'shi 盔甲锻造师
'kun'huo 困惑
'la'ta'suo'mu 拉塔索姆
'lang'hao 狼嚎
'lei'shi 雷矢
'li'sha 丽莎
'li'zeng 礼赠
'lie'ji'cao'yuan 裂脊草原
'lie'sha 猎杀
'lie'shou 猎手
'lie'yan'bi'lei 烈焰壁垒
'lin'xian'pu'bu 林线瀑布
'liu'jiao'zhu'zao'chang'kuang'zao'zheng 六角铸造厂狂躁症
'luo'na'tong'dao 罗纳通道
'lv'zhe'qiu'ling 旅者丘陵
'ma'er'ke'zhi'yue 马尔科之跃
'mei'lan'duo 梅兰朵
'meng'zhong'qing'ren 梦中情人
'mi'wu'bian'jie 迷雾边界
'mi'wu'sui'ceng 迷雾碎层
'mi'wu'zhi'xin 迷雾之心
'mi'yu'jiao'tuan 密语教团
'ming'yun'zhi'ren 命运之刃
'mo'gen'zhi'yue 摩根之跃
'mo'qu'kuang'keng 魔蛆矿坑
'mu'guang'zhi'gen 暮光之根
'mu'shu'zhi'xin 母树之心
'nan'yang'hai'wan 南阳海湾
'ni'ai'hai'wan 溺爱海湾
'nuo'en 诺恩
'nv'wang'gu 女王谷
'pai'mo'de'si 派莫德斯
'pi'ge'jiang 皮革匠
'piao'liu'xue'jing 漂流雪境
'po'qiang'shan'dian'zhan 破墙闪电战
'qian'zhao'yan'di 钳爪岩地
'qian'zhi'wu'qi 前置武器
'qiang'bi 枪匕
'qiang'ren'huang'ma'hui'zhang 强韧黄麻徽章
'qiang'ren'xiu'bian'huang'ma'hui'zhang 强韧绣边黄麻徽章
'qing'song'jie'mi 轻松揭密
'qing'tong'ding 青铜锭
'qing'tong'jian'jia'nei'chen 青铜肩甲内衬
'qing'tong'jian'jia'qian'ban 青铜肩甲嵌板
'qing'tong'tou'kui'nei'chen 青铜头盔内衬
'qing'tong'tou'kui'qian'ban 青铜头盔嵌板
'qing'tong'xiang'lian'shou'tao'nei'chen 青铜镶链手套内衬
'qing'tong'xiang'lian'shou'tao'qian'ban 青铜镶链手套嵌板
'qing'tong'xiang'lian'xue'nei'chen 青铜镶链靴内衬
'qing'tong'xiang'lian'xue'qian'ban 青铜镶链靴嵌板
're'wu 热舞
'ren'lei 人类
'ren'ma'wang 人马王
'sa'man'chao'xue 萨满巢穴
'san'chong'ma'fan 三重麻烦
'sha'shen'xiao'long 鲨神小滝
