'chu'le'ji'du'hao'se 除了极度好色
'dui'ta'shuo 对他说
'guo'guo'de'guo'wang'jiao'chou 虢国的国王叫丑
'guo'guo'ye'bu'hui'zuo'shi'bu'guan 虢国也不会坐视不管
'he'guo'guo 和虢国
'jin'he'nan'san'men'xia'ji'shan'xi'ping'lu'nan'yi'dai 今河南三门峡及山西平陆南一带
'jin'shan'xi'yun'cheng'lu'xian'bei'zhang'dian'dong'nan'gu'cheng 今山西运城陆县北张店东南古城
'jin'xian'gong'jiu'zhao'dao'dai'fu'xun'xi 晋献公就找到大夫荀息
'jing'chang'qu'qin'fan'jin'guo'de'nan'bu'bian'jie 经常去侵犯晋国的南部边界
'lai'wang'mi'qie 来往密切
'liang'guo'guan'xi'fei'chang'qin'mi 两国关系非常亲密
'ruo'gong'da'yu'guo 若攻打虞国
'shou'wei'jin'guo'bian'jie'de'jiang'shi'xiang'chao'ting'gao'ji 守卫晋国边界的将士向朝廷告急
'ta'de'ming'zi'chou'ye'jiu'suan'le 他的名字丑也就算了
'ta'de'yan'xing'ju'zhi'ye'shi'zhen'chou 他的言行举止也是真丑
'ta'hai'shi'duo'shi'de'zhu 他还是多事的主
'tong'xing'qie'lin'jin 同姓且邻近
'wo'men'bing'wu'jue'dui'qu'sheng'de'ba'wo 我们并无绝对取胜的把握
'wo'men'gong'da'guo'guo 我们攻打虢国
'wo'men'ke'yi'gong'da'guo'guo'ma 我们可以攻打虢国吗
'xi'huan'dong'bu'dong'jiu'qu'da'da'zhang 喜欢动不动就去打打仗
'xun'xi'dui'xian'gong'shuo 荀息对献公说
'yi'wo'men'yi'ji'zhi'li'qu'he'er'guo'xiang'zheng 以我们一己之力去和二国相争
'yu'guo 虞国
'yu'guo'bi'ran'xiang'jiu 虞国必然相救
'yu'guo'he'guo'guo'guan'xi'yi'xiang'hen'hao 虞国和虢国关系一向很好
