'an'di'si'shan'mai'de 安第斯山脉的
'bao'guang'yi'hou 曝光以后
'bei'da 北达
'bian'shi'zun'xun'zhe 便是遵循着
'chang'qi'liu'chuan'de 长期流传的
'cheng'shi'de'zhong'xin 城市的中心
'chuan'shuo'de'an'shi 传说的暗示
'da'yu'chu 达余处
'de'fa'xian 的发现
'de'gui'mo'jiao'da 的规模较大
'di'yi'ci 第一次
'dian'tang 殿堂
'duo'nian'qian 多年前
'fa'xian'le 发现了
'fei'qi'de'gu'dai'cheng'shi'yi'zhi 废弃的古代城市遗址
'gong'fa'xian'le 共发现了
'gong'tang 宫堂
'gong'yuan'nian 公元年
'gong'yuan'qian'nian 公元前年
'gu'dai'gong'dian'yi'zhi 古代宫殿遗址
'gu'dai'shi'jie'de 古代世界的
'guang'kuo'kong'jian'li 广阔空间里
'hai'you'jin'xing 还有进行
'hong'du'la'si 洪都拉斯
'ji'tan'he'qiu'chang'deng 祭坛和球场等
'jian'zhu'she'shi 建筑设施
'jian'zhu'wu'zu'cheng 建筑物组成
'kao'cha'dui 考察队
'ke'pan'gu'cheng 科潘古城
'ke'pan'gu'cheng'yi'zhi 科潘古城遗址
'ma'ya'ren'de 玛雅人的
'ma'ya'wen'ming 玛雅文明
'mei'guo'ren 美国人
'mo'xi'ge'nan'bu'de 墨西哥南部的
'nan'zhi'wei'di'ma'la 南至危地马拉
'qi'jian'de 期间的
'shen'miao 神庙
'shen'qi'er'xiong'wei'de 神奇而雄伟的
'shen'qi'he'xuan'li 神奇和绚丽
'shen'ru're'dai'cong'lin 深入热带丛林
'sheng'huo'hua'juan 生活画卷
'shi'ren'zhan'shi'le 世人展示了
'si'di'fen'si 斯蒂芬斯
'suo'dai'biao'de'ji'shi 所代表的即是
'ta'men'xiang 它们向
'ta'men'zai 他们在
'tian'wen'guan'ce'de 天文观测的
'wang'zi'yu'gong'zhu 王子与公主
'wei'hou'ren'suo'cheng'dao'de 为后人所称道的
'xi'yin'le 吸引了
'xiang'shi'ren 向世人
'yi'fu'sheng'huo'zai 一幅生活在
'yi'pi'you'yi'pi'de 一批又一批的
'you'guang'chang 由广场
'you'ka'tan'ban'dao 尤卡坦半岛
'zhan'xian'le'ma'ya 展现了玛雅
'zhe'ge'zai 这个在
'zhe'xie'yi'zhi 这些遗址
'zhe'zuo 这座
'zhi'di'bi'lu'de 直抵秘鲁的
'zhong'mei'zhou 中美洲
'zhong'yu 终于
