'an'za'shu 安匝数
'bi'shi'feng'leng 闭式风冷
'bian'fang 扁方
'bing'lian'zhi'lu'shu 并联支路数
'bing'rao'gen'shu 并绕根数
'can'shu'ji'suan 参数计算
'cao'man'lv 槽满率
'cao'mian'ji 槽面积
'cao'qie'hou'du 槽锲厚度
'cao'zhi'hou'du 槽纸厚度
'chou'tou'za'bi 抽头匝比
'chuan'ji 串激
'ci'chang'yuan'du 磁场圆度
'ci'hua'qu'xian 磁化曲线
'ci'lu 磁路
'ci'shi 磁势
'dan'xiang'yi'bu 单相异步
'dao'ti'cai'liao 导体材料
'dao'ti'jia'ge 导体价格
'dao'ti'mi'du 导体密度
'dao'tiao'dian'liu 导条电流
'dao'tiao'dian'mi 导条电密
'di'yi'lei'rao'zu 第一类绕组
'dian'ci'she'ji'ji'suan'dan 电磁设计计算单
'dian'ji'e'ding'shu'ju 电机额定数据
'dian'ji'ji'shu 电机极数
'dian'ji'lei'xing 电机类型
'dian'ji'she'ji 电机设计
'dian'ji'xing'hao 电机型号
'dian'kang 电抗
'dian'liu'mi'du 电流密度
'dian'rong'duan'dian'ya 电容端电压
'dian'rong'sun'hao 电容损耗
'dian'shi'xi'shu 电势系数
'dian'yuan'pin'lv 电源频率
'dian'zu 电阻
'dian'zu'lv 电阻率
'ding'zhuan'zi'die'hou 定转子叠厚
'ding'zi'cao'shu 定子槽数
'ding'zi'cao'xing 定子槽形
'ding'zi'chi'chang 定子齿长
'ding'zi'chi'ci'mi 定子齿磁密
'ding'zi'chi'ju 定子齿距
'ding'zi'chi'kuan 定子齿宽
'ding'zi'chong'pian 定子冲片
'ding'zi'e'chang 定子轭长
'ding'zi'e'ci'mi 定子轭磁密
'ding'zi'e'gao 定子轭高
'ding'zi'jing'zhong 定子净重
'ding'zi'nei'jing 定子内径
'ding'zi'tie'sun'xi'shu 定子铁损系数
'ding'zi'wai'jing 定子外径
'duan'huan'dian'liu 端环电流
'duan'huan'dian'mi 端环电密
'duan'huan'hou'du 端环厚度
'duan'huan'jie'mian'ji 端环截面积
'duan'huan'nei'jing 端环内径
'duan'huan'wai'jing 端环外径
'duan'huan'zhong'jing 端环中径
'e'ding'dian'ya 额定电压
'e'ding'zhi'biao 额定指标
'feng'mo'hao 风摩耗
'fu'jia'sun'hao'xi'shu 附加损耗系数
'fu'rao'zu'tong'zhong 付绕组铜重
'fu'xian 付线
'fu'xian'dian'mi 付线电密
'fu'xiang'dian'liu 付相电流
'fu'xiang'dian'liu'jiao 付相电流角
'fu'xiang'shu'ju 付相数据
'gong'lv'yin'shu 功率因数
'ji'ben'xing'shi 基本型式
'ji'ju 极距
'ji'suan'dian'ya 计算电压
'ji'suan'pin'lv 计算频率
'ji'xie'sun'hao 机械损耗
'jue'yuan'deng'ji 绝缘等级
'kong'zai 空载
'kong'zai'ji'xie'sun'hao 空载机械损耗
'leng'que'fang'shi 冷却方式
'li'xing'cao 梨形槽
'liang'rao'zu'zheng'jiao 两绕组正交
'lou'kang 漏抗
'lv'hao 铝耗
'mao'pi'wai'jing 毛坯外径
'mei'ji'chuan'lian'zong'za'shu 每极串联总匝数
'mei'ji'ci'tong'liang 每极磁通量
'mei'ji'you'xiao'chuan'lian'zong'za'shu 每极有效串联总匝数
'nan'niu 南牛
'qi'bao'xian 漆包线
'qi'xi'ci'mi 气隙磁密
'qi'xi'kuan'du 气隙宽度
'qi'xi'you'xiao'kuan'du 气隙有效宽度
'rao'zu'cheng'ben 绕组成本
'rao'zu'dian'zu 绕组电阻
'rao'zu'shu'ju 绕组数据
'rao'zu'xi'shu 绕组系数
'rao'zu'xing'shi 绕组型式
'rao'zu'zhong'lei 绕组种类
'rao'zu'zong'xian'zhong 绕组总线重
're'fu'he 热负荷
'san'xiang'yi'bu 三相异步
'shang'bu'kuan'du 上部宽度
'she'ji'zong'cheng'ben 设计总成本
'shu'chu'gong'lv 输出功率
'shu'chu'niu'ju 输出扭矩
'shu'ju 数据
'shu'ru'dian'liu 输入电流
'shu'ru'gong'lv 输入功率
'sun'hao'qu'xian 损耗曲线
'tie'sun'hao 铁损耗
'tie'xin'cheng'ben 铁芯成本
'tie'xin'die'hou 铁芯叠厚
'tie'xin'die'ya'xi'shu 铁芯叠压系数
'tie'xin'fei'liao 铁芯废料
'tie'xin'jia'ge 铁芯价格
'tie'xin'mao'zhong 铁芯毛重
'tie'xin'mi'du 铁芯密度
'tie'xin'you'xiao'chang'du 铁芯有效长度
'tong'hao 铜耗
'xiang'jian'jia'jiao 相间夹角
'xiao'lv 效率
'xie'cao'kuan'du 斜槽宽度
'you'xiao'cai'liao'jing'zhong 有效材料净重
'yuan'di'cao 圆底槽
'yun'zhuan'dian'rong 运转电容
'za'bi 匝比
'zhi'jing 直径
'zhong'jian'rao'zu 中间绕组
'zhu'lv 铸铝
'zhu'rao'zu 主绕组
'zhu'rao'zu'tong'zhong 主绕组铜重
'zhu'rao'zu'xi'shu 主绕组系数
'zhu'xian 主线
'zhu'xian'dian'mi 主线电密
'zhu'xiang'dian'liu 主相电流
'zhu'xiang'dian'liu'jiao 主相电流角
'zhu'xiang'shu'ju 主相数据
'zhuan'su 转速
'zhuan'zi'cao'shu 转子槽数
'zhuan'zi'cao'xing 转子槽形
'zhuan'zi'chi'chang 转子齿长
'zhuan'zi'chi'ci'mi 转子齿磁密
'zhuan'zi'chi'ju 转子齿距
'zhuan'zi'chi'kuan 转子齿宽
'zhuan'zi'chong'pian 转子冲片
'zhuan'zi'dian'zu'xi'shu 转子电阻系数
'zhuan'zi'duan'huan 转子端环
'zhuan'zi'e'chang 转子轭长
'zhuan'zi'e'ci'mi 转子轭磁密
'zhuan'zi'e'gao 转子轭高
'zhuan'zi'jing'zhong 转子净重
'zhuan'zi'lv'cheng'ben 转子铝成本
'zhuan'zi'lv'zhong 转子铝重
'zhuan'zi'nei'jing 转子内径
'zhuan'zi'tie'sun'xi'shu 转子铁损系数
'zong'sun'hao 总损耗
