'bai'you'yu'nian'yi 百有余年矣
'bi'quan'liang'li 比权量力
'bing'ge'bu'xiu'shi'min'ba'bi 兵革不休士民罢弊
'bing'hai'nei 并海内
'fei'wang'dao'er'li'si'ai 废王道而立私爱
'fen'wen'shu'er'ku'xing'fa 焚文书而酷刑法
'ji'yuan'yuan'zhi'min'ji'de'an'qi'xing'ming 既元元之民冀得安其性命
'jian'zhu'hou 兼诸侯
'jin'gu'zhi'wu'wang'zhe'jiu'yi 近古之无王者久矣
'ling'bu'xing'yu'tian'xia 令不行于天下
'mo'bu'xu'xin'er'yang'shang 莫不虚心而仰上
'qiang'ling'ruo 强凌弱
'qin'mie'zhou'si 秦灭周祀
'qin'wang'huai'tan'bi'zhi'xin 秦王怀贪鄙之心
'ran'hou'yi'lu'he'wei'jia 然后以六合为家
'ran'qin'yi'qu'qu'zhi'di 然秦以区区之地
'ren'yi'bu'shi'er'gong'shou'zhi'shi'yi'ye 仁义不施而攻守之势异也
'shi'shi'shan'dong'zhi'guo'yu'chen'she'duo'chang'xie'da 试使山东之国与陈涉度长絜大
'shi'yi'zhu'hou'li'zheng 是以诸侯力政
'tian'xia'zhi'shi'fei'ran'xiang'feng 天下之士斐然向风
'wu'ba'ji'mie 五霸既灭
'xian'zha'li'er'hou'ren'yi 先诈力而后仁义
'xiao'han'wei'gong 崤函为宫
'xing'zi'fen'zhi'zhi 行自奋之智
'xu'ba'zhou'er'chao'tong'lie 序八州而朝同列
'yi'bao'nue'wei'tian'xia'shi 以暴虐为天下始
'yi'fu'zuo'nan'er'qi'miao'hui 一夫作难而七庙隳
'ze'bu'ke'tong'nian'er'yu'yi 则不可同年而语矣
'zhi'wan'sheng'zhi'shi 致万乘之势
'zhong'bao'gua 众暴寡
'zhou'shi'bei'wei 周室卑微
