'an'qu 暗区
'ba'huan'zheng 靶环征
'bian'jie'bu'qing 边界不清
'bian'jie'qian'qing 边界欠清
'bo'dong'zhi'shu 搏动指数
'bu'jun'zhi 不均质
'bu'jun'zhi'hui'sheng 不均质回声
'cai'se'duo'pu'le 彩色多普勒
'cai'se'duo'pu'le'chao'sheng 彩色多普勒超声
'ce'fang'sheng'ying 侧方声影
'chang'xi'mo'lin'ba'jie 肠系膜淋巴结
'chang'xi'mo'shang'dong'mai 肠系膜上动脉
'chang'xi'mo'shang'jing'mai 肠系膜上静脉
'chang'xi'mo'xia'dong'mai 肠系膜下动脉
'chang'xi'mo'xia'jing'mai 肠系膜下静脉
'chao'sheng 超声
'chao'sheng'bo 超声波
'chao'sheng'yi'xue 超声医学
'chao'sheng'zao'ying 超声造影
'cuo'gou'liu 错构瘤
'da'nao'hou'dong'mai 大脑后动脉
'da'nao'qian'dong'mai 大脑前动脉
'da'nao'zhong'dong'mai 大脑中动脉
'dan'zong'guan 胆总管
'di'hui'sheng 低回声
'duo'nang'gan 多囊肝
'duo'nang'pi 多囊脾
'duo'nang'shen 多囊肾
'duo'nang'yi 多囊胰
'duo'pu'le'chao'sheng 多普勒超声
'er'jian'ban'fan'liu 二尖瓣返流
'fan'liu 返流
'fei'dong'mai'ban 肺动脉瓣
'fei'dong'mai'ban'fan'liu 肺动脉瓣返流
'feng'zhi'liu'su 峰值流速
'fu'mo'hou 腹膜后
'gan'bao'mo 肝包膜
'gan'duo'fa'nang'zhong 肝多发囊肿
'gan'guan 肝管
'gan'nang'zhong 肝囊肿
'gan'nei 肝内
'gan'nei'dan'guan 肝内胆管
'gan'nei'zhi'fang'chen'ji 肝内脂肪沉积
'gan'nei'zhi'zhi'chen'ji 肝内脂质沉积
'gan'pian'da 肝偏大
'gan'qu'zhi'fang'chen'ji 肝区脂肪沉积
'gan'qu'zhi'zhi'chen'ji 肝区脂质沉积
'gan'shen'yin'wo 肝肾隐窝
'gan'yi'zhi'jian 肝胰之间
'gan'you'jing'mai 肝右静脉
'gan'zhong'jing'mai 肝中静脉
'gan'zuo'jing'mai 肝左静脉
'ge'xia 膈下
'guan'bi'bu'quan 关闭不全
'heng'bu 横部
'hou'fang'ban 后方伴
'hou'fang'hui'sheng 后方回声
'hou'fang'hui'sheng'zeng'qiang'xiao'ying 后方回声增强效应
'hou'fang'sheng'shuai'jian 后方声衰减
'hun'he'hui'sheng 混合回声
'hun'he'xing'hui'sheng 混合性回声
'ji'di'dong'mai 基底动脉
'ji'he'xi'tong 集合系统
'ji'xing'yan'zheng 急性炎症
'jia'xing'nang'zhong 假性囊肿
'jia'zhuang'xian'xian'liu 甲状腺腺瘤
'jing'lu'duo'pu'le'chao'sheng 经颅多普勒超声
'jing'shi'dao 经食道
'jing'shi'dao'chao'sheng 经食道超声
'jing'yin'dao 经阴道
'jing'yin'dao'chao'sheng 经阴道超声
'jing'zhi'chang 经直肠
'jing'zhi'chang'qian'lie'xian 经直肠前列腺
'jing'zhi'chang'qian'lie'xian'chao'sheng 经直肠前列腺超声
'lei'ge'jiao 肋膈角
'man'xing'gan'bing 慢性肝病
'men'jing'mai'zuo'zhi 门静脉左支
'nang'xian'liu 囊腺瘤
'nei'shang 内上
'nei'shang'xiang'xian 内上象限
'nei'wai'xian 内外腺
'nei'xia 内下
'nei'xia'xiang'xian 内下象限
'nei'xian 内腺
'nie'chuang 颞窗
'niu'yan'zheng 牛眼征
'pang'guang'ru'kou'chu 膀胱入口处
'pi'pian'da 脾偏大
'pi'shen'yin'wo 脾肾隐窝
'pi'zhi 皮质
'pi'zhong'da 脾肿大
'pin'pu'duo'pu'le 频谱多普勒
'qian'lie'xian'chuan'ci 前列腺穿刺
'qian'lie'xian'nang'zhong 前列腺囊肿
'qiang'hui'sheng 强回声
'qiang'nei'chao'sheng 腔内超声
'qing'du'fan'liu 轻度返流
'qing'du'xia'zhai 轻度狭窄
'qing'zhong'du'fan'liu 轻中度返流
'qing'zhong'du'xia'zhai 轻中度狭窄
'ruo'sheng'ying 弱声影
'san'jian'ban'fan'liu 三尖瓣返流
'she'jing'guan'nang'zhong 射精管囊肿
'shen'dou 肾窦
'shen'jing'mai 肾静脉
'shen'shi'zhi 肾实质
'sheng'shuai'jian 声衰减
'sheng'ying 声影
'sheng'ying'bu'ming'xian 声影不明显
'sheng'yun 声晕
'shi'zhuang'bu 矢状部
'shu'luan'guan'ji'shui 输卵管积水
'shu'niao'guan'kuo'zhang 输尿管扩张
'tuan'liu'pin'pu 湍流频谱
'wai'shang 外上
'wai'shang'xiang'xian 外上象限
'wai'xia 外下
'wai'xia'xiang'xian 外下象限
'wai'xian 外腺
'wu'hui'sheng 无回声
'wu'ming'xian'sheng'ying 无明显声影
'wu'sheng'ying 无声影
'xia'fu'qiang 下腹腔
'xian'ti'ceng 腺体层
'xue'guan'liu 血管瘤
'xue'xi'chong'xing'gan'bing 血吸虫性肝病
'yi'xian'zhou'wei 胰腺周围
'you'gan'guan 右肝管
'you'gan'jing'mai 右肝静脉
'you'hou'ye 右后叶
'you'qian'xie'jing 右前斜径
'you'qian'ye 右前叶
'you'shen'dong'mai 右肾动脉
'you'shen'jing'mai 右肾静脉
'you'xia'fu'qiang 右下腹腔
'you'zhi 右支
'za'luan'hui'sheng 杂乱回声
'zhen'chuang 枕窗
'zhi'fang'ceng 脂肪层
'zhi'fang'gan 脂肪肝
'zhong'du'fan'liu 重度返流
'zhong'du'fan'liu 中度返流
'zhong'du'xia'zhai 重度狭窄
'zhong'du'xia'zhai 中度狭窄
'zhong'gan'jing'mai 中肝静脉
'zhong'zhong'du'fan'liu 中重度返流
'zhong'zhong'du'xia'zhai 中重度狭窄
'zhu'dong'mai'ban 主动脉瓣
'zhu'dong'mai'ban'fan'liu 主动脉瓣返流
'zhu'gan 主干
'zhui'dong'mai 椎动脉
'zhui'ji'di'dong'mai 椎基底动脉
'zi'gong'zhi'chang'wo 子宫直肠窝
'zu'li'zhi'shu 阻力指数
'zuo'gan'guan 左肝管
'zuo'gan'jing'mai 左肝静脉
'zuo'nei'ye 左内叶
'zuo'shang'fu 左上腹
'zuo'shen'dong'mai 左肾动脉
'zuo'shen'jing'mai 左肾静脉
'zuo'wai'ye 左外叶
'zuo'xia'fu'qiang 左下腹腔
'zuo'zhi 左支
