'bing'xu 并序
'ce'fu'lao'yi'liu'qi 策扶老以流憩
'chang'cong'ren'shi 尝从人事
'dang'lian'shang'xiao'shi 当敛裳宵逝
'deng'dong'gao'yi'shu'xiao 登东皋以舒啸
'di'xiang'bu'ke'qi 帝乡不可期
'fei'jiao'li'suo'de 非矫励所得
'feng'piao'piao'er'chui'yi 风飘飘而吹衣
'fu'gu'song'er'pan'yuan 扶孤松而盘垣
'fu'gui'fei'wu'yuan 富贵非吾愿
'fu'jia'yan'xi'yan'qiu 复驾言兮焉求
'gan'wu'sheng'zhi'xing'xiu 感吾生之行休
'geng'zhi'bu'zu'yi'zi'ji 耕植不足以自给
'gong'tian'zhi'li 公田之利
'gu'bian'qiu'zhi 故便求之
'gui'qu'lai'xi 归去来兮
'gui'qu'lai'xi'ci 归去来兮辞
'he'bu'wei'xin'ren'qu'liu 曷不委心任去留
'he'ze 何则
'hen'chen'guang'zhi'xi'wei 恨晨光之熹微
'hu'bu'gui 胡不归
'hu'wei'hu'huang'huang'yu'he'zhi 胡为乎遑遑欲何之
'huai'liang'chen'yi'gu'wang 怀良辰以孤往
'hui'you'si'fang'zhi'shi 会有四方之事
'huo'ming'jin'che 或命巾车
'huo'zhao'gu'zhou 或棹孤舟
'huo'zhi'zhang'er'yun'zi 或植杖而耘耔
'ji'dong'sui'qie 饥冻虽切
'ji'shao'ri 及少日
'ji'yao'tiao'yi'xun'he 既窈窕以寻壑
'ji'zi'yi'xin'wei'xing'yi 既自以心为形役
'jia'shu'yi'yu'pin'ku 家叔以余贫苦
'jiang'you'shi'yu'xi'chou 将有事于西畴
'jie'kou'fu'zi'yi 皆口腹自役
'jing'yi'yi'yi'jiang'ru 景翳翳以将入
'juan'ran'you'gui'yu'zhi'qing 眷然有归欤之情
'jue'jin'shi'er'zuo'fei 觉今是而昨非
'le'fu'tian'ming'fu'xi'yi 乐夫天命复奚疑
'le'qin'shu'yi'xiao'you 乐琴书以消忧
'liao'cheng'hua'yi'gui'jin 聊乘化以归尽
'lin'qing'liu'er'fu'shi 临清流而赋诗
'men'sui'she'er'chang'guan 门虽设而常关
'mian'ting'ke'yi'yi'yan 眄庭柯以怡颜
'ming'pian'yue'gui'qu'lai'xi 命篇曰归去来兮
'mu'xin'xin'yi'xiang'rong 木欣欣以向荣
'nai'zhan'heng'yu 乃瞻衡宇
'niao'juan'fei'er'zhi'hai 鸟倦飞而知还
'nong'ren'gao'yu'yi'chun'ji 农人告余以春及
'peng'ze'qu'jia'bai'li 彭泽去家百里
'ping'wu'chu'su 瓶无储粟
'qin'gu'duo'quan'yu'wei'zhang'li 亲故多劝余为长吏
'qing'xi'jiao'yi'jue'you 请息交以绝游
'qing'zai'jun'ben 情在骏奔
'qiu'zhi'mi'tu 求之靡途
'quan'juan'juan'er'shi'liu 泉涓涓而始流
'san'jing'jiu'huang 三径就荒
'shan'wan'wu'zhi'de'shi 善万物之得时
'shen'kui'ping'sheng'zhi'zhi 深愧平生之志
'shen'rong'xi'zhi'yi'an 审容膝之易安
'sheng'sheng'suo'zi 生生所资
'shi'jiao'shou'er'xia'guan 时矫首而遐观
'shi'mi'tu'qi'wei'yuan 实迷途其未远
'shi'yu'wo'er'xiang'wei 世与我而相违
'song'ju'you'cun 松菊犹存
'sui'jian'yong'wei'xiao'yi 遂见用为小邑
'tao'yuan'ming 陶渊明
'tian'yuan'jiang'wu 田园将芜
'tong'pu'huan'ying 僮仆欢迎
'tuo'ran'you'huai 脱然有怀
'wei'ji'jiao'bing 违己交病
'wei'jian'qi'shu 未见其术
'wen'zheng'fu'yi'qian'lu 问征夫以前路
'wu'yi'wang'zhi'bu'jian 悟已往之不谏
'xi'chou'chang'er'du'bei 奚惆怅而独悲
'xie'you'ru'shi 携幼入室
'xin'dan'yuan'yi 心惮远役
'xun'cheng'shi'mei'sang'yu'wu'chang 寻程氏妹丧于武昌
'yi'nan'chuang'yi'ji'ao 倚南窗以寄傲
'yi'qi'qu'er'jing'qiu 亦崎岖而经丘
'yi'si'sui'shi'yi'yue'ye 乙巳岁十一月也
'yi'yi'hu 已矣乎
'yin'hu'shang'yi'zi'zhuo 引壶觞以自酌
'yin'shi'shun'xin 因事顺心
'you'jiu'ying'zun 有酒盈樽
'you'wang'yi'ren 犹望一稔
'you'zhi'ying'shi 幼稚盈室
'yu'jia'pin 余家贫
'yu'shi'chang'ran'kang'kai 于是怅然慷慨
'yu'shi'feng'bo'wei'jing 于时风波未静
'yu'xing'yu'nei'fu'ji'shi 寓形宇内复几时
'yuan'ri'she'yi'cheng'qu 园日涉以成趣
'yue'qin'qi'zhi'qing'hua 悦亲戚之情话
'yun'wu'xin'yi'chu'xiu 云无心以出岫
'zai'guan'ba'shi'yu'ri 在官八十馀日
'zai'xin'zai'ben 载欣载奔
'zhi'lai'zhe'zhi'ke'zhui 知来者之可追
'zhi'xing'zi'ran 质性自然
'zhi'zi'hou'men 稚子候门
'zhong'qiu'zhi'dong 仲秋至冬
'zhou'yao'yao'yi'qing'yang 舟遥遥以轻飏
'zhu'hou'yi'hui'ai'wei'de 诸侯以惠爱为德
'zi'mian'qu'zhi 自免去职
'zu'yi'wei'jiu 足以为酒
