'a'san'jing'lian'ci 阿散井恋次
'ba'fan'dui 八番队
'bai'da 白打
'bai'lei 白雷
'ban'mu'yi'jiao 斑目一角
'ban'xu 半虚
'beng'dian 崩点
'bing'lun'wan 冰轮丸
'bo'cun'zuo'zhen 狛村左阵
'cao'lu'ba'qian'liu 草鹿八千流
'cha'du'tai'hu 茶渡泰虎
'cha'zhu 侘助
'cheng'ling'bi 瀞灵壁
'chi'huo'pao 赤火炮
'chou'wu'yu 紬屋雨
'chu'sen'tao 雏森桃
'chuan'dian 穿点
'chuan'jie'men 穿界门
'chuan'ling'bu 传令部
'da'qian'tian'xi'qian'dai 大前田希千代
'dong'xian'yao 东仙要
'dong'yun 冻云
'du'yan'zhao 独眼罩
'duan'jie 断界
'dui'ling'zi'de'li'shu 对灵子的隶属
'dui'ling'zi'de'shou'shu 对灵子的收束
'er'fan'dui 二番队
'fan'gui'xiang'sha 反鬼相杀
'fei'fan'dui 非番队
'fei'lian'jiao 飞镰脚
'fei'mei 飞梅
'feng'ling'kao 封灵铐
'fu'dao 缚道
'fu'zhu'shi'si'lang 浮竹十四郎
'gai'zao'hun'po 改造魂魄
'geng'mu'jian'ba 更木剣八
'gui'dao 鬼道
'gui'deng'wan 鬼灯丸
'gui'zuo'mu'xiu'bing 桧佐木修兵
'hei'qi'yi'hu 黑崎一护
'hei'qi'yi'xin 黑崎一心
'hei'qi'zhen'xiao 黑崎真咲
'hong'zhen 红姫
'hu'che'qing'yin 虎彻清音
'hu'che'yong'yin 虎彻勇音
'hua'tian'kuang'gu 花天狂骨
'hua'yi'shen'tai 花刈甚太
'huang'juan'zhen'mu'zao 荒巻真木造
'hun'zang 魂葬
'ji'liang'yi'he 吉良伊鹤
'jian'ba 剑八
'jing'le'chun'shui 京乐春水
'jing'men 镜门
'jing'shang'zhi'ji 井上织姬
'jing'shen'ti 精神体
'jiu'fan'dui 九番队
'ju'liu 拘流
'ju'tu 拘突
'lan'ran'zong'you'jie 蓝染惣右介
'li'ji 理吉
'lie'hua 捩花
'ling'lai'chuan'gong'qin 绫濑川弓亲
'ling'luo 灵络
'ling'zhu'he 灵珠核
'ling'zi'zhuan'huan'ji 灵子转换机
'liu'fan'dui 六番队
'liu'ren'ruo'huo 流刃若火
'luan'zhuang'tian'kui 乱装天傀
'lv'huo 旅祸
'mao'zhi'hua'lie 卯之花烈
'mie'que'shi 灭却师
'mie'que'zhuan'jing 灭却专精
'nie'jian'li 涅茧利
'nie'yin'wu 涅音无
'pi'sha'di'zang 疋杀地蔵
'pi'wu 劈乌
'po'dao 破道
'po'mang'zhen 破芒阵
'po'qi'yong'chang 破弃咏唱
'pu'yuan'xi'zhu 浦原喜助
'qi'fan'dui 七番队
'qian'ben'ying 千本樱
'qian'xing'qian 牵星箝
'qie'hun'zhi'wu 切魂之物
'qing'chong 清虫
'que'feng 雀蜂
'ri'fan'gu'dong'shi'lang 日番谷冬狮郎
'rou'na'sha 肉雫唼
'san'fan'dui 三番队
'san'ling'shou'tao 散灵手套
'sha'qi'shi 杀气石
'shan'ben'yuan'liu'zhai'zhong'guo 山本元柳斎重国
'shan'tian'hua'tai'lang 山田花太郎
'she'chang'tie'zuo'wei'men 射场铁左卫门
'she'wei'wan 蛇尾丸
'shen'cheng 神鎗
'shi'er'fan'dui 十二番队
'shi'fan'dui 十番队
'shi'hun'jie 尸魂界
'shi'san'fan'dui 十三番队
'shi'tian'yu'long 石田雨龙
'shi'wan'yin 市丸银
'shi'yi'fan'dui 十一番队
'shuang'ji 双殛
'shuang'yu'li 双鱼理
'shun'bu 瞬步
'shun'hong 瞬閧
'shun'hua 瞬花
'shun'kai 瞬开
'si'dan'fang 兕丹坊
'si'fan'dui 四番队
'si'feng'yuan'ye'yi 四枫院夜一
'si'shen 死神
'si'shen'zhuan'jing 死神专精
'song'yuan'luan'ju 松元乱菊
'sui'feng 砕蜂
'sui'feng 碎蜂
'tang'guan'yin'si 唐观音寺
'te'zhi'zi'yang'qiang'zhuang'ji 特制滋养强壮剂
'teng'kong'que 藤孔雀
'tian'qian 天谴
'tian'ta'xuan 天踏绚
'tong'ting'zheng 通廷证
'wai'mian'fan'ying 歪面反应
'wo'ling'tie'zhai 握菱铁斋
'wu'fan'dui 五番队
'wu'xing'tou 五形头
'xiao'chun'xian'tai'lang 小椿仙太郎
'xing'jun 刑军
'xiu'mu'bai'zai 朽木白哉
'xiu'mu'lu'qi'ya 朽木露琦亚
'xu'fu 虚浮
'xu'hua 虚化
'xu'quan 虚圈
'ya'yi'yan'ling 压抑言灵
'yan'ling'wan 厳霊丸
'ye'yi 夜一
'yi'fan'dui 一番队
'yi'guan'ban'ci'lou'fang 一贯坂慈楼坊
'yi'hai 义骸
'yi'hun'wan 义魂丸
'yi'shi'qi'xu 伊势七绪
'yin'guo'zhi'suo 因果之锁
'yin'mi'ji'dong 隐秘机动
'yin'tong 银筒
'ying'man 萤蔓
'you'ze'long'gui 有泽龙贵
'yuan'cheng'si'chen'fang 円乗寺辰房
'zhan'yue 斩月
'zhe'hun'mo 遮魂膜
'zhen'dian 震点
'zhi'bo'hai'yan 志波海燕
'zhi'bo'kong'he 志波空鹤
'zhi'bo'yan'jiu 志波燕鹫
'zhong'yang'si'shi'liu'shi 中央四十六室
'zhu'tian'xing'ji'lang 竹添幸吉郎
