'a'er'fa 阿尔法
'ai'er 艾尔
'ai'li'si 爱丽丝
'ai'lun 艾伦
'ai'mi 艾米
'ba'de'luo 巴德罗
'ba'luo'ke 巴洛克
'ba'shen'an 八神庵
'bai'ze 白泽
'ban'di 班迪
'ban'qi'bai'he 坂崎百合
'bi'ka 比卡
'bo'bo 波波
'cai'hua 彩华
'chen'ling 陈灵
'chen'zhen 陈珍
'ci'ke 刺客
'dai'an'na 戴安娜
'de'lei'ke 德雷克
'di'an 迪安
'di'na 蒂娜
'diao'chan 貂蝉
'en'wei 恩维
'fa'shi 法师
'fa'xiu 法修
'fan'te'xi 范特西
'feng'huang 凤凰
'fu'yao 扶摇
'fu'zhu 辅助
'ge'li'de 格利德
'guan'yu 关羽
'gun'shi 滚石
'ha'di'si 哈迪斯
'huang'gai 黄盖
'huang'yue'ying 黄月英
'jie'ke 杰克
'jing'hua 镜华
'ka'er 卡尔
'ka'suo'ke 卡索克
'kai'sa 凯撒
'kai'wen 凯文
'ke'lao'de'si 克劳德斯
'ke'li'si 克里斯
'lai'en 莱恩
'le'li 乐礼
'lei'bei'ka 蕾贝卡
'lei'nuo 雷诺
'lei'xi'ya 蕾西娅
'leng'yue 冷月
'li'ang 里昂
'li'li'si 莉莉丝
'li'na 莉娜
'lin'zhi 凛之
'ling'shuang 凌霜
'liu'ying 流樱
'luo'la 萝拉
'luo'yi 罗伊
'lv'bu 吕布
'ma'chao 马超
'mi'sha 米莎
'mo'bai 墨白
'mo'gu'si 魔古斯
'na'ta'sha 娜塔莎
'nuo'ya 诺亚
'ou'la 欧拉
'pang'da 胖达
'pi'pi 皮皮
'qi'lin 琪琳
'qian'qian 茜茜
'qiang'wei 蔷薇
'qiao'ke 乔克
'qiong'en 琼恩
'qu'yuan 屈原
'sang'sang 桑桑
'sha'wan 沙丸
'she'shou 射手
'shi'kong'zhao'huan 时空召唤
'shi'tai'mo 史太莫
'sun'ce 孙策
'sun'shang'xiang 孙尚香
'sun'wu'kong 孙悟空
'suo'fei'ya 索菲亚
'suo'pu 索普
'ta'na 塔娜
'tan'ke 坦克
'tang'bo'hu 唐伯虎
'tang'ying 唐影
'wei'ta'si 维塔斯
'wei'wei'an 薇薇安
'wei'yan 魏延
'wo'dun 沃顿
'wu'di 无敌
'wu'ming 无名
'wu'nian 无念
'wu'shuang 无双
'wu'wei 无畏
'wu'xin 无心
'xi'meng 西蒙
'xia'hou'dun 夏侯惇
'xuan'lie 玄烈
'xue'zou 雪走
'ya'dian'na 雅典娜
'ya'er'te 亚尔特
'ya'lie 亚烈
'ya'suo 亚索
'yi'en 伊恩
'yi'er'wen 伊尔文
'yi'li'sha'bai 伊丽莎白
'ying'xiong'ming'cheng 英雄名称
'ying'yue 影月
'you'er 尤尔
'yu'yang 鱼阳
'yu'yin 鱼阴
'yuan'ting 元霆
'yun'tian 云天
'ze'er'luo 泽尔洛
'zhan'shi 战士
'zhao'yun 赵云
'zhen'ji 甄姬
'zhu'ge'liang 诸葛亮
