'a'ka'bo'tang 阿卡波糖
'a'ke'lin'mei'su 阿克林霉素
'a'mo'xi'lin 阿莫西林
'a'mo'xi'lin'ke'la'wei'suan'jia'fen'san 阿莫西林克拉维酸钾分散
'a'mo'xi'lin'ke'la'wei'suan'jia'ke 阿莫西林克拉维酸钾颗
'a'si'pi'lin'chang'rong 阿司匹林肠溶
'a'tang'bao'gan 阿糖胞苷
'a'tuo'fa'ta'ding'gai 阿托伐他丁钙
'a'tuo'fa'ta'ting 阿托伐他汀
'a'tuo'fa'ta'ting'gai 阿托伐他汀钙
'a'tuo'pin 阿托品
'a'tuo'pin'jing'tui 阿托品静推
'a'tuo'pin'shi'yan 阿托品试验
'a'xi'luo'wei'ru'gao 阿昔洛韦乳膏
'a'xi'mo'si 阿昔莫司
'a'zha'si'qiong 阿扎司琼
'ai'di 艾迪
'ai'di'zhu'she'ye 艾迪注射液
'ai'si'zuo'lun 艾司唑仑
'ai'suo'la'zuo'chang'rong 埃索拉唑肠溶
'an'cha'jian 氨茶碱
'an'dian'tong 胺碘酮
'an'fen'shuang'qing'ke'dai'yin 氨酚双氢可待因
'an'fen'shuang'qing'ke'dai'yin'lu'gai'ke 氨酚双氢可待因路盖克
'an'ji'suan'xiang'dang'yu'dan 氨基酸相当于氮
'an'ji'suan'xiang'dang'yu'qi'dan 氨基酸相当于气氮
'an'ji'yi'suan 氨基乙酸
'an'ji'yi'suan 氨基已酸
'an'luo'xue 安络血
'an'luo'xue'shen'shang'xian'se'zong 安络血肾上腺色腙
'an'lv'di'ping 氨氯地平
'an'nei'ke'chang'gui'hu'li 按内科常规护理
'an'qu'nan 氨曲南
'an'xiu'suo 安溴索
'an'xiu'suo 氨溴索
'ao'mei'la'zuo 奥美拉唑
'ao'mei'la'zuo'chang'rong 奥美拉唑肠溶
'ao'mei'la'zuo'zhuan'yong'rong'mei 奥美拉唑专用溶媒
'ao'qu'tai 奥曲肽
'bai'cu 白醋
'bai'jie'su 白介素
'bai'ling'jiao'nang 百令胶囊
'bai'ling'jiao'nang 百灵胶囊
'bai'se'nian'zhu'jun 白色念珠菌
'bai'xin'tong 拜新同
'ban'xiao'shi'nei'di'wan 半小时内滴完
'bao'chi'hu'xi'dao'tong'chang 保持呼吸道通畅
'bao'liu'guan'chang 保留灌肠
'bao'liu'niao'guan 保留尿管
'bao'liu'wei'guan 保留胃管
'bei'na'pu'li 贝纳普利
'bei'te'lei 贝特类
