'bu'jiu'xian'dao'zheng'zhen'ru 不久見道証真如
'bu'she'zhong'sheng'yong'mo'jin 不舍眾生永無盡
'bu'yu'sheng'wen'yuan'jue'shi 不遇聲聞緣覺師
'di'di'zhuan'jin'mo'zhang'ai 地地轉進無障礙
'fa'shi'mo'jin'da'yuan'wang 發十無盡大願王
'jiu'hu'fo'zi'xiang'zheng'dao 救護佛子向正道
'ming'you'di'zi'cheng'da'yuan 冥佑弟子成大願
'mo'sheng'fa'ren'zeng'shang'xiu 無生法忍增上修
'nai'zhi'jiu'jing'pu'ti'guo 乃至究竟菩提果
'nan'mo'da'cheng'sheng'yi'seng 南無大乘勝義僧
'nan'mo'jiu'jing'di'yi'yi 南無究竟第一義
'nan'mo'shi'fang'yi'qie'fo 南無十方一切佛
'nan'mo'shi'jia'mou'ni'fo 南無釋迦牟尼佛
'pu'ru'da'cheng'di'yi'yi 普入大乘第一義
'qin'zheng'san'cheng'ren'mo'wo 親証三乘人無我
'shan'xiu'pu'sa'shi'du'xing 善修菩薩十度行
'shou'xue'da'cheng'di'yi'yi 受學大乘第一義
'shou'xue'jiu'jing'wei'miao'li 受學究竟微妙理
'sui'du'zhong'guan'xian'fo'xing 隨度重關見佛性
'sui'wo'dao'shi'ru'zong'men 隨我導師入宗門
'tong'da'chu'di'fa'mo'wo 通達初地法無我
'xiu'chu'xing'zhang'qi'sheng'xing 修除性障起聖性
'yuan'ju'miao'hui'yong'cui'xie 願具妙慧勇摧邪
'yuan'sui'dao'shi'xue'zhong'zhi 願隨導師學種智
'yuan'wo'dei'yu'pu'sa'seng 願我得遇菩薩僧
'yuan'wo'shi'zun'heng'ci'min 願我世尊恒慈愍
'yuan'wo'xiu'xue'da'cheng'li 願我修學大乘理
'yuan'wo'yi'fo'wei'miao'hui 願我依佛微妙慧
