'ai'li 艾莉
'ai'sa'ke 艾萨克
'ai'shu 艾叔
'bao'lian'chong 抱脸虫
'bian'fu'guai 蝙蝠怪
'bing'dong'xing'qiu 冰冻星球
'da'da'juan 大大卷
'da'qie 大切
'deng'li'zi'qie'ge'qi 等离子切割器
'dong'neng'qiang 动能枪
'dong'tai'neng'liang 动态能量
'fen'lie'zhe 分裂者
'gong'zuo'tai 工作台
'ha'meng'de 哈蒙德
'hei'se'shen'yin 黑色神印
'hong'se'shen'yin 红色神印
'huai'yun'guai 怀孕怪
'huo'yan'pen'she'qi 火焰喷射器
'jia'li'nuo'dun 嘉丽诺顿
'jiao'rou'qiang 绞肉枪
'jie'tou'ba'wang 接头霸王
'jing'tai'neng'liang 静态能量
'jing'zhi 静滞
'ju'he 聚合
'ju'neng'qiang 聚能枪
'kai'en 凯恩
'kan'de'la 坎德拉
'ke'la'ke 克拉克
'lian'dao'guai 镰刀怪
'ling'zhong'li'tiao'yue 零重力跳跃
'mai'chong'bu'qiang 脉冲步枪
'man'yan'qu 蔓延区
'mei'se 梅瑟
'mu'chao 母巢
'neng'liang'jie'dian 能量节点
'ni'ke 妮可
'nian'li 念力
'nuo'dun 诺顿
'po'huai'zhe 破坏者
'qie'ge'ju 切割锯
'qie'ge'zhe 切割者
'shen'yin 神印
'shi'bian 尸变
'shi'bian'ti 尸变体
'shi'cun'hao 石村号
'si'wang'kong'jian 死亡空间
'tai'tan'kong'jian'zhan 泰坦空间站
'tan'suo'zhe'bu'qiang 探索者步枪
'tian'tian'tian'hao 天天天号
'tong'yi'jiao 统一教
'xian'qie 线切
'xian'xing'qiang 线性枪
'xian'xing'qie'ge'qiang 线性切割枪
'xiao'qie 小切
'xin'yong'dian 信用点
'xue'yue 血月
'ying'er'guai 婴儿怪
'yong'qi'hao 勇气号
'yu'cha'qiang 鱼叉枪
'yu'zhou'zui'qiang'gong'cheng'shi 宇宙最强工程师
'zhan'zheng'jian'ta 战争践踏
'zhong'li'xue 重力靴
