'an'guo'si 安国寺
'ba'gua'tian 八卦田
'ba'shu 巴蜀
'bai'shui'tai 白水台
'bai'yu'lin 白羽林
'bi'luo'hai 碧落海
'bing'xin 冰心
'bing'xin'lian 冰心莲
'chang'sheng'guan 长生观
'chen'fan'hai'wan 沉帆海湾
'chi'you'shen'dian 蚩尤神殿
'da'yu'cun 大禹村
'dan'ping'zhai 丹坪寨
'dan'zhu 丹朱
'di'wu'zhai 氐巫寨
'ding'hu 鼎湖
'dong'hai 东海
'feng'wu'sen'lin 凤梧森林
'gu'huang'ling 古皇陵
'gui'mo 鬼墨
'hai'shi 海市
'he'xu'shan 合虚山
'hei'shui'yuan 黑水源
'hong'mu'lin 红木林
'hong'shi'xia 红石峡
'hou'ma'tun 侯马屯
'hu'xin 护心
'huan'qing'zhai 幻情斋
'huang'huo 荒火
'huang'huo'shan 荒火山
'huang'jia'lie'chang 皇家猎场
'hui'bi 回避
'hui'xin 会心
'hun'gu 魂谷
'jian'men'guan 剑门关
'jian'mu 建木
'jian'sheng'ju 剑圣居
'jiang'nan 江南
'jie'ti'juan 解体卷
'jing'yue'hu 净月湖
'jiu'fang'cun 酒坊村
'jiu'li 九黎
'jiu'li'cheng 九黎城
'jiu'you'dong 九幽洞
'kong'que'ping 孔雀坪
'lao'hu'gou 老虎沟
'lei'shen'dian 雷神殿
'lei'ze 雷泽
'ling'yu 翎羽
'liu'guang'cheng 流光城
'long'wu 龙巫
'meng'yuan'cheng 梦源城
'mo'ya'cun 摩崖村
'mu'dan'zhen 牡丹镇
'mu'ke'cun 木克村
'nan'hai'bin 南海滨
'ping'yao'zhen 平遥镇
'qing'ri'hu 清日湖
'qing'wei'guan 清微观
'qing'yu'hu 青羽湖
'qing'yun'gong 青云宫
'sha'yan 砂岩
'shen'lou 蜃楼
'shen'ming 神明
'shi'lin 石林
'shu'he'kou 束河口
'si'shi'dong 死士洞
'su'mu 苏木
'sui'ren'mu 燧人墓
'tai'gu'tong'men 太古铜门
'tai'xu 太虚
'tai'xu'guan'jiu'zhi 太虚观旧址
'teng'long'du 腾龙渡
'tian'he'guan 天合关
'tian'ji 天机
'tian'ji'ying'jiu'zhi 天机营旧址
'tian'yu'dao 天虞岛
'wan'feng 完封
'wan'jun 万钧
'wang'chuan'zhen 忘川镇
'wang'liang 魍魉
'wang'ting 王庭
'wei'cun 卫村
'wu'cai'chi 五彩池
'wu'shuang'cheng 无双城
'wu'tong'gu 梧桐谷
'wu'tong'you'jing 梧桐幽境
'xi'ling'cheng 西陵城
'xi'qi'cun 西岐村
'xian'yin'shan 仙音山
'xiao'yin'cun 潇隐村
'xing'er'ling 杏儿岭
'xing'tian'gu 刑天谷
'xuan'ming'jiao 玄溟教
'yan'qiu 燕丘
'yan'quan'cun 盐泉村
'yan'wu'tang 演武堂
'yi'jian 弈剑
'yi'jian'ting'yu'ge'jiu'zhi 弈剑听雨阁旧址
'ying'long'cheng 应龙城
'ying'long'cun 应龙村
'you'ge'xiao'cun 有个小村
'you'gu 幽谷
'you'mu'yuan 有木原
'you'qiong'yuan 有穷原
'you'zhou 幽州
'yu'ting'yuan 御庭园
'yu'xin 御心
'yun'lu 云麓
'yun'lu'xian'ju'jiu'zhi 云麓仙居旧址
'yun'meng'ze 云梦泽
'zao'chi'jun'zhai 凿齿军寨
'zhi'bi 知彼
'zhong'yuan 中原
'zhu'ri'dao 逐日岛
'zi'jing'feng 紫荆峰
