'bai'niao'you'you'xia 白鸟悠悠下
'bao'lian'xian'gua'xiao'yin'gou 宝帘闲挂小银钩
'bei'ye'piao'ling 悲也飘零
'bi'yi'qi'guan'xi'xian'zhi'zhi'chu 必遗其关系限制之处
'bu'ke'cou'pai 不可凑拍
'bu'qian'ju'ren'zhu 不遣居人住
'bu'ruo'bi'ren'nian'chu'jing'jie'er'zi'wei'tan'qi'ben'ye 不若鄙人拈出境界二字为探其本也
'bu'yi'shi'er'fen'you'lie 不以是而分优劣
'cai'ju'dong'li'xia 采菊东篱下
'cha'jin'zhi'er 差近之耳
'cha'zu'ji'wu 差足继武
'ci'li'xiang'yu'xie'shi'er'pai'zhi'suo'you'fen 此理想与写实二派之所由分
'ci'yi'jing'jie'wei'zui'shang 词以境界为最上
'ci'zai'hao'jie'zhi'shi'neng'zi'shu'li'er 此在豪杰之士能自树立耳
'dou'zuo'lian'jiang'dian'dian'ping 都作连江点点萍
'du'juan'sheng'li'xie'yang'mu 杜鹃声里斜阳暮
'er'qi'gou'zao'yi'bi'cong'zi'ran'zhi'fa'lv 而其构造亦必从自然之法律
'fou'ze'wei'zhi'wu'jing'jie 否则谓之无境界
'gao'cheng'gu'dong'lan'gang'xie 高城鼓动兰釭灺
'gu'bu'zhi'he'zhe'wei'wo 故不知何者为我
'gu'li'xiang'jia'yi'xie'shi'jia'ye 故理想家亦写实家也
'gu'neng'xie'zhen'jing'wu'zhen'gan'qing'zhe 故能写真景物真感情者
'gu'qi'miao'chu 故其妙处
'gu'ren'wei'ci 古人为词
'gu'wu'jie'zhu'wo'zhi'se'cai 故物皆著我之色彩
'gu'xie'shi'jia'yi'li'xiang'jia'ye 故写实家亦理想家也
'gu'yi'you'mei 故一优美
'han'bo'dan'dan'qi 寒波澹澹起
'han'jia'ling'que 汉家陵阙
'he'ju'bu'ruo 何遽不若
'he'zhe'wei'wu 何者为物
'hong'xing'zhi'tou'chun'yi'nao 红杏枝头春意闹
'hou'shi'wei'fan'wen'zheng'zhi'yu'jia'ao 后世唯范文正之渔家傲
'hu'ting'gu'hong'san'liang'sheng 忽听孤鸿三两声
'hu'xiang'guan'xi 互相关系
'hu'xiang'xian'zhi 互相限制
'huan'ye'piao'ling 欢也飘零
'jian'shuo'ta'sheng 见说他生
'jing'fei'du'wei'jing'wu'ye 境非独谓景物也
'jing'jie 境界
'jing'jie'you'da'xiao 境界有大小
'jing'zhong'zhi'xiang 镜中之象
'ke'kan'gu'guan'bi'chun'han 可堪孤馆闭春寒
'lei'yan'wen'hua'hua'bu'yu 泪眼问花花不语
'liao'liao'ba'zi 寥寥八字
'ling'yang'gua'jiao 羚羊挂角
'liu'rong'zhai'wei'fei'qing'jing'yan'jue'ren 刘融斋谓飞卿精艳绝人
'luan'hong'fei'guo'qiu'qian'qu 乱红飞过秋千去
'luo'ri'qian'shan'ti'du'yu 落日千山啼杜宇
'luo'ri'zhao'da'qi 落日照大旗
'ma'ming'feng'xiao'xiao 马鸣风萧萧
'na'shi'neng'ji'jin'sheng'fou 那时能记今生否
'qi'cai'liao'bi'qiu'zhi'yu'zi'ran 其材料必求之于自然
'qi'liang'bing'ta'wu'duo'yu 凄凉病榻无多语
'ran'cang'lang'suo'wei'xing'qu 然沧浪所谓兴趣
'ran'er'zhe'po'nan'fen'bie 然二者颇难分别
'ran'qi'xiang'yi'bu'dai'yi 然气象已不逮矣
'ran'qi'xie'zhi'yu'wen'xue'ji'mei'shu'zhong'ye 然其写之于文学及美术中也
'ran'wei'shi'bu'neng'xie'wu'wo'zhi'jing 然未始不能写无我之境
'ren'sheng'zhi'si'feng'qian'xu 人生只似风前絮
'ren'wei'yu'jing'zhong'dei'zhi 人惟于静中得之
'ru'kong'zhong'zhi'yin 如空中之音
'ruan'ting'suo'wei'shen'yun 阮亭所谓神韵
'sheng'tang'zhu'gong'wei'zai'xing'qu 盛唐诸公唯在兴趣
'shui'ye'hai'xing 睡也还醒
'shui'zhong'zhi'ying 水中之影
'song'de'gui'ren 送得归人
'sui'guan'qian'gu'deng'lin'zhi'kou 遂关千古登临之口
'suo'xie'zhi'jing'yi'bi'lin'yu'li'xiang'gu'ye 所写之境亦必邻于理想故也
'tai'bai'chun'yi'qi'xiang'sheng 太白纯以气象胜
