'an'di'long'an'si'nian 安帝隆安四年
'bai'si'fei'chi 百司废弛
'bi'hu'gao'yin 闭户高吟
'bian'de'yi'shan 便得一山
'bian'fu'xiang'lu 便扶向路
'bian'she'chuan 便舍船
'bian'yao'huan'jia 便要还家
'bing'yi'ran'zi'le 并怡然自乐
'bu'fu'chu'yan 不复出焉
'bu'fu'de'lu 不复得路
'bu'kan'li'zhi 不堪吏职
'bu'zu'wei'wai'ren'dao'ye 不足为外人道也
'cai'tong'ren 才通人
'chu'chu'zhi'zhi 处处志之
'chu'ji'xia 初极狭
'ci'qu 辞去
'ci'ren'yi'yi'wei'ju'yan'suo'wen 此人一一为具言所闻
'ci'zhong'ren'yu'yun 此中人语云
'cong'kou'ru 从口入
'cun'xin'chu'shi 存心处世
'dang'shu'dai'ying'zhi 当束带迎之
'de'qi'chuan 得其船
'du'du'ba'zhou'jun'shi 都督八州军事
'fang'cao'xian'mei 芳草鲜美
'fang'fu'ruo'you'guang 仿佛若有光
'fu'geng'yu'qian'qi'chu'yu'hou 夫耕于前妻锄于后
'fu'qian'xing 复前行
'fu'qin'tao'yi 父亲陶逸
'fu'xing'shu'shi'bu 复行数十步
'fu'yang'you'ren 俯仰由人
'gao'shang'shi'ye 高尚士也
'gong'geng'pi'ye 躬耕僻野
'gong'geng'zi'zi 躬耕自资
'gu'pan'mo'shui'zhi 顾盼莫谁知
'hao'han'jiu 好酣酒
'hou'sui'wu'wen'jin 后遂无问津
'hu'feng'tao'hua'lin 忽逢桃花林
'huan'hui'zhuo'chun'jiu'zhai'wo'yuan'zhong'shu 欢会酌春酒摘我园中蔬
'huan'xuan 桓玄
'huang'fa'chui'tiao 黄发垂髫
'huo'ran'kai'lang 豁然开朗
'ji'chu 既出
'ji'jun'xia 及郡下
'ji'quan'xiang'wen 鸡犬相闻
'ji'zhong'nan'fan 积重难返
'jia'an'shu'bai'bu 夹岸数百步
'jian'yu'ren 见渔人
'jiang'zhou'ci'shi'liu'jing'xuan 江州刺史刘敬宣
'jiang'zhou'ji'jiu 江州祭酒
'jie'chu'jiu'shi 皆出酒食
'jie'tan'wan 皆叹惋
'jin'gu'zheng'xi'da'jiang'jun'zhang'shi'meng'fu'jun'chuan 晋故征西大将军长史孟府君传
'jin'tai'yuan'zhong 晋太元中
'jing'fei'zhou'chang'bi 荆扉昼常闭
'jiu'you'lian'suo'sheng 久游恋所生
'ju'da'zhi 具答之
'li'li 栗里
'liao'qie'ping'hua'qian'zhong'fan'ban'sheng'lu 聊且凭化迁终返班生庐
'lin'jin'shui'yuan 林尽水源
'lu'shang'shu'shi'ling'yang'zhou'ci'shi 录尚书事领扬州刺史
'luo'ying'bin'fen 落英缤纷
'lv'qi'zi'yi'ren'lai'ci'jue'jing 率妻子邑人来此绝境
'meng'zhi'gu'chang'zai 猛志固常在
'meng'zhi'yi'si'hai 猛志逸四海
'miao'yu'shi'xiang'jue 邈与世相绝
'mu'juan'shan'chuan'yi 目倦山川异
'nai'bu'zhi'you'han 乃不知有汉
'nai'da'jing'wen 乃大惊问
'nan'nv'yi'zhuo 男女衣着
'nan'yang'liu'zi'ji 南阳刘子骥
'nian'wu'kua'jin 年无夸矜
'po'duo'zhui'fang'qi'wai'zu'bei'zhe 颇多追仿其外祖辈者
'qi'neng'wei'wu'dou'mi'xiang'xiang'li'xiao'ji'zhe'yao 岂能为五斗米向乡里小几折腰
'qi'zhong'wang'lai'zhong'zuo 其中往来种作
'qian'he'si'yuan'zhu 骞翮思远翥
'qian'li'sui'yao'shu'gan'bu'zhi 千里虽遥孰敢不至
'qian'mo'jiao'tong 阡陌交通
'qie'gong'huan'ci'yin'wu'jia'bu'ke'hui 且共欢此饮吾驾不可回
'qin'ji'heng'men'xia 寝迹衡门下
'rong'mu 荣木
'ru'he'she'ci'qu 如何舍此去
'ru'he'yan'zai'zi 如何淹在滋
'shan'you'xiao'kou 山有小口
'shao'ri'zi'jie'gui 少日自解归
'she'jiu'sha'ji'zuo'shi'cun 设酒杀鸡作食村
'shen'gan'lao'fu'yan'bing'qi'gua'suo'xie 深感老父言禀气寡所谐
'shi'zuo'zhen'jun'can'jun'jing'qu'jing'a'qu'bo 始作镇军参军经曲经阿曲伯
'shu'fu'tao'kui 叔父陶逵
'shu'li 属吏
'shuo'ru'ci 说如此
'si'bu'zu'wei 斯不足畏
'si'shi'wu'wen 四十无闻
'sui'mi 遂迷
'sui'shou'yin'qu'zhi 遂授印去职
'sui'yu'wai'ren'jian'ge 遂与外人间隔
'suo'cong'lai 所从来
'tai'shou'ji'qian'ren'sui'qi'wang 太守即遣人随其往
'tian'chou'xiao'zhong'dong'han'wang'chao'qiao'zhuang'chi'qu 田畴效忠东汉王朝乔装驰驱
'ting'shu'ri 停数日
'tu'di'ping'kuang 土地平旷
'wai'zu'fu'meng'jia 外祖父孟嘉
'wang'lu'zhi'yuan'jin 忘路之远近
'wei'chang'you'xi'yun'zhi'rong 未尝有喜愠之容
'wei'guo 未果
'wen'jin'shi'he'shi 问今是何世
'wen'zhi 闻之
'wo'zui'yu'mian'qing'ke'qu 我醉欲眠卿可去
'wu'ling'ren'bu'yu'wei'ye 武陵人捕鱼为业
'wu'lun'wei'jin 无论魏晋
'wu'she'yan'ran 屋舍俨然
'xi'ru'wai'ren 悉如外人
'xia'pi'tai'shou 下邳太守
'xia'ri'bao'chang'ji'han'ye'lie'bei'mian 夏日抱长饥寒夜列被眠
'xian'lai'wen'xun 咸来问讯
'xian'yi'wei'jin 先以威禁
'xin'chou'sui'qi'yue'fu'jia'hai'jiang'ling'ye'xing'tu'kou 辛丑岁七月赴假还江陵夜行涂口
'xin'nian'shan'ze'ju 心念山泽居
'xin'ran'gui'wang 欣然规往
'xing'bu'gou'he 行不苟合
'xun'bing'zhong 寻病终
'xun'xiang'suo'zhi 寻向所志
'yao'yao'zhi'xi'jing 遥遥至西荆
'yi'shen'fan'wu 以身范物
'yi'tai'shou 诣太守
'yi'xi'yuan'nian 义熙元年
'you'liang'tian'mei'chi'sang'zhu'zhi'shu 有良田美池桑竹之属
'yu'duo'bu'luan 逾多不乱
'yu'liu'yin'hou'yan 榆柳荫后檐
'yu'pei'cheng'ke'xue'wei'yi'ju'fei'mi 纡辔诚可学违已讵非迷
'yu'qiong'qi'lin 欲穷其林
'yu'ren'ge'fu'yan'zhi'qi'jia 余人各复延至其家
'yu'ren'shen'yi'zhi 渔人甚异之
'yu'zi'yan'deng'shu 与子俨等疏
'yuan'xi'xing 缘溪行
'yuan'xing'yuan'nian 元兴元年
'zeng'zu'fu'tao'kan 曾祖父陶侃
'zhai'shi 翟氏
'zhen'jun'can'jun 镇军参军
'zhi'wo'ming'che'ce'wo'ming'ji 脂我名车策我名骥
'zhi'yu'wang'huai'de'yi'bang'ruo'wu'ren 至于忘怀得意傍若无人
'zhong'wen'you'ci'ren 中闻有此人
'zhong'wu'za'shu 中无杂树
'zi'yun'xian'shi'bi'qin'shi'luan 自云先世避秦时乱
'zu'fu'tao'mao 祖父陶茂
