'a'han'gu'si 阿含古寺
'a'lan'gu'si 阿兰古寺
'a'mi'tuo'gu'xing'yu 阿弥陀古星域
'a'mu'xing 阿姆星
'a'tuo'da'shi 阿拓大师
'a'yu'gao'yuan 阿育高原
'a'yu'sheng'hu 阿育圣湖
'an'hei'wang'zu 暗黑王祖
'an'miao'yi 安妙依
'an'pu 暗菩
'an'ye'jun'wang 暗夜君王
'an'zhou 安州
'ao'mang 敖莽
'ba'bai'shen'dao 八百神岛
'ba'bi'ju'ren 八臂巨人
'ba'gong'de'chi 八功德池
'ba'jing'gong 八景宫
'ba'ling'shan 八岭山
'ba'tai'zi 八太子
'ba'ti'zu'xing 霸体祖星
'bai'fa'shen 白发神
'bai'fa'tian'lang 白发天狼
'bai'fa'zu'wang 白发祖王
'bai'feng 白凤
'bai'hu'dao'ren 白虎道人
'bai'hu'zhuang 白虎庄
'bai'jie'dao'ren 百劫道人
'bai'qi'lin 白麒麟
'bai'xiao'men 百晓门
'bai'yin'zu 白银族
'bai'zu'tian'chong 百足天虫
'bei'dou 北斗
'bei'hai 北海
'bei'ji 北极
'bei'yu'shen'cheng 北域神城
'bei'yuan 北原
'bei'yuan'wang'jia 北原王家
'bi'bo'xian'lin 碧波仙林
'bi'lv'xiao'ren 碧绿小人
'bing'mo'dian 冰魔殿
'bing'shen'gong'zhu 冰神宫主
'bing'xue'gong 冰雪宫
'bing'yuan 冰原
'bo'ren 伯仁
'bo'yi 伯逸
'bu'lao'dian 不老殿
'bu'si'dao'ren 不死道人
'bu'si'shan 不死山
'bu'si'tian'hou 不死天后
'bu'si'tian'huang 不死天皇
'bu'xiu'huang'chao 不朽皇朝
'bu'xiu'zhi'huang 不朽之皇
'cai'yun'xian'zi 彩云仙子
'cang'jia'gu'sheng 苍家古圣
'cang'jia'sheng'ren 苍家圣人
'cang'lan 沧澜
'cang'long'da'zun 苍龙大尊
'cang'yan 苍炎
'cang'yu'dao'ren 苍羽道人
'cang'yuan 苍猿
'cang'yun 苍云
'cang'zu 苍族
'cao'de'lin 曹德林
'cao'feng 曹风
'cao'jia 曹家
'cao'jin 曹瑾
'cao'lin 曹琳
'cao'qing 曹清
'cao'tian 曹天
'cao'tian'jun 曹天君
'chang'sheng'dao'guan 长生道观
'chang'sheng'tian'zun 长生天尊
'chen'de 陈德
'chen'feng 陈枫
'chen'feng 陈风
'chen'huai'yuan 陈怀远
'chen'yu 陈玉
'cheng'hui 程辉
'chi'long'dao'ren 赤龙道人
'chi'mao'shen'yuan 赤毛神猿
'chi'xia'yuan 赤霞原
'chi'yang'dao'ren 赤阳道人
'chi'yun 赤云
'chu'ling'kong 楚凌空
'chu'tian 楚天
'chuan'shan'jia'sheng'wang 穿山甲圣王
'chuan'ying 川英
'chun'qiu'gu'cheng 春秋古城
'da'lang'jun 大郎君
'da'li'niu'mo'zu 大力牛魔族
'da'peng'huang 大鹏皇
'da'tai'zi 大太子
'da'xia'huang'chao 大夏皇朝
'da'xia'long'que 大夏龙雀
'da'yan'sheng'di 大衍圣地
'da'yue'po 大月坡
'dao'cheng 道城
'dao'gong 道宫
'dao'yi 道一
'dao'yi'sheng'di 道一圣地
'di'shi 地尸
'di'tian 帝天
'di'yi'jie'xing 第一劫星
'di'yu'shen'nv 地狱神女
'dong'fang'man 东方蛮
'dong'fang'tai'yi 东方太一
'dong'fang'ye 东方野
'dong'huang 东荒
'dong'huang'bei'yu 东荒北域
'dong'huang'bei'yu'shi'zhai 东荒北域石寨
'dong'huang'dong'yu 东荒东域
'dong'huang'nan'yu 东荒南域
'dong'huang'xi'yu 东荒西域
'dong'huang'zhong'yu 东荒中域
'dou'zhan'sheng'wang 斗战圣王
'du'cheng'kun 杜成昆
'du'e'shen'seng 渡厄神僧
'duan'de 段德
'duan'mu'ya 断木崖
'duo'luo 堕络
'duo'luo'zu'fu 堕络祖父
'duo'mo'luo 堕摩罗
'duo'tian'wang 堕天王
'duo'yu'zu 堕羽族
'e'mi'tuo'fo'de'xu'ying 阿弥陀佛的虚影
'e'zu 鳄祖
'er'tai'zi 二太子
'fa'ze'can'shen 法则残神
'fan'tian 梵天
'fan'xian 梵仙
'fan'yun'tong 梵云通
'fan'zhou 梵宙
'fan'zu 梵族
'fei'xian'xing 飞仙星
'feng'chao 凤巢
'feng'chi'liu'jin'tang 凤翅鎏金镗
'feng'guan'shan'dian'niao 凤冠闪电鸟
'feng'huang 风凰
'feng'jing'yun 风惊云
'feng'lao'lao 枫姥姥
'feng'lie 风烈
'feng'xiang'zhai 凤翔斋
'feng'yuan 冯远
'feng'zu 风族
'feng'zu'tai'shang'sheng'zhu 风族太上圣主
'fu'wang 蝠王
'gai'jiu'you 盖九幽
'gao'lin'feng 高林峰
'gu'dao'ya 古道崖
'gu'fei 古飞
'gu'hua'huang'shu 古华皇叔
'gu'huang 古荒
'gu'jia'lao'sheng'ren'wang 古家老圣人王
'gu'jin'peng 古金鹏
'gu'li'tian 古力天
'gu'lin 古琳
'gu'ling 古陵
'gu'ming'dao 古明道
'gu'mu'lang'lin'de'fei'xu 古木狼林的废墟
'gu'tian'shu 古天舒
'gu'tian'ting 古天庭
'gu'xin'ao 孤心傲
'gu'yao 古妖
'gu'yao'chi 古瑶池
'guan'cheng 管承
'guang'an'zhi'zun 光暗至尊
'guang'han'que 广寒阙
'guang'ming'shen'dian 光明神殿
'guang'ming'wang 光明王
'guang'ming'zu 光明族
'gui'zu 龟族
'guo'zhen 郭真
'hai'shen'dao 海神岛
'han'fei'yu 韩飞羽
'han'yi'shui 韩易水
'han'zhang'lao 韩长老
'hao'yang'zu'wang 昊阳祖王
'he'jia 何家
'he'jia'lao'zu 何家老祖
'he'kun 何坤
'he'qing'yang 何清扬
'hei'an'zhi'cheng 黑暗之城
'hei'huang 黑皇
'hei'jia'yin'bing 黑甲阴兵
'hei'xiong'sheng'zhe 黑熊圣者
'hei'ying'ke 黑影客
'hei'yu 黑狱
'hen'ren'da'di 狠人大帝
'hong'chen'xuan 红尘轩
'hong'liu 红柳
'hou'shi 犼尸
'hua'hua 花花
'hua'yun'fei 华云飞
'hua'yun'fei'you'di 华云飞幼弟
'hua'zhong'lao'ren 画中老人
'hua'zhong'xiao'hai 画中小孩
'huai'zun'tai'zi 怀尊太子
'huan'mie'gong 幻灭宫
'huan'mie'gong'gong'zhu 幻灭宫宫主
'huang'chao 凰巢
'huang'chao'xin'shi 凰巢信使
'huang'gu'jin'di 荒古禁地
'huang'jin'jia'zu 黄金家族
'huang'jin'ju'ren 黄金巨人
'huang'jin'ku 黄金窟
'huang'jin'qi'cheng 黄金七城
'huang'jin'shi'zi 黄金狮子
'huang'jin'tian'nv 黄金天女
'huang'jin'wang 黄金王
'huang'jin'zu 黄金族
'huang'jin'zu'zhang 黄金族长
'huang'quan'zhong 黄泉冢
'huang'tian'nv 凰天女
'huang'xu'dao 凰虚道
'hui'jiao 灰蛟
'hui'yi'lao'pu 灰衣老仆
'hui'yi'lao'seng 灰衣老僧
'hun'dun'jing'tu 混沌净土
'hun'tian'hu 混天湖
'hun'tian'zu 混天族
'hun'tuo'da'sheng 浑拓大圣
'hun'tuo'da'sheng'de'zhang'sun 浑拓大圣的长孙
'hun'zhan 浑战
'huo'lei'niao 火雷鸟
'huo'lin'dong 火麟洞
'huo'lin'er 火麟儿
'huo'mo'ling 火魔岭
'huo'qi'zi 火麒子
'huo'shen'hou 火神猴
'huo'shen'ya 火神鸦
'huo'tan 霍坦
'huo'ya'da'sheng 火鸦大圣
'huo'yu 火域
'huo'yun'cheng 火云城
'huo'zu 火族
'ji'bi'yue 姬碧月
'ji'chang'kong 姬长空
'ji'cheng'dao 姬成道
'ji'hai'yue 姬海月
'ji'hao'yue 姬皓月
'ji'hong 姬宏
'ji'hui 姬惠
'ji'jia 姬家
'ji'jia'ba'zu 姬家八祖
'ji'jia'sheng'zhu 姬家圣主
'ji'mie'tian'zun 寂灭天尊
'ji'ren 姬仁
'ji'shui 姬水
'ji'xia 姬霞
'ji'yan'zhi 姬言志
'ji'yuan'qing 姬元清
