'an'chao'bi 暗潮币
'ba'zhu 霸主
'bai'lei'ning'ju 白雷凝聚
'bai'lei'xiang'ji 白雷相激
'bai'lie 百裂
'bai'qing'cheng'yang 白青成阳
'ban'yue'pi 半月劈
'ban'yue'pi'yu'bing 半月劈御冰
'ban'yue'pi'yu'dian 半月劈御电
'bao'bing'jue 爆冰诀
'bao'bing'tao 爆冰套
'bao'gan'wan 保肝丸
'bao'ling 暴凌
'bao'xue'jian 爆雪剑
'beng'shan'zhan 崩山斩
'beng'shan'zhan'yu'bing 崩山斩御冰
'beng'shan'zhan'yu'dian 崩山斩御电
'bi'gong'tang 毕工淌
'bi'shou 匕首
'bing'bao 冰爆
'bing'bao'fan'ji 冰爆反击
'bing'bao'lian'huan 冰爆连环
'bing'dong'dan 冰冻弹
'bing'feng 冰蜂
'bing'lei'fu 冰雷赋
'bing'lei'hua'shen 冰雷化神
'bing'tao 冰套
'bing'yuan'bao 冰渊爆
'cai'li'ning'ju 财力凝聚
'cai'yuan'gun'gun 财源滚滚
'chang'bing'qi 长兵器
'chang'jian 长剑
'che'dian'shu 掣电术
'chi'guan'yin 赤观音
'chi'lian'wu'ming'wu'xian 赤练无名无限
'chou'xin'bu'tian 抽芯补天
'chun'lei'tao 春雷套
'cui'san'niang 崔三娘
'cui'yu'jing 淬玉晶
'da'fo 大佛
'da'sheng'you 大圣游
'da'sheng'you'yu'bing 大圣游御冰
'da'sheng'you'yu'dian 大圣游御电
'dan'qi'hua'shen 单骑化神
'dan'ren 单刃
'dan'wu'xu'fa 弹无虚发
'di'tang'ba'jiao 地堂霸脚
'dian'feng 巅峰
'dian'feng'mi'jing 巅峰秘境
'dian'guang'dan 电光弹
'dian'ji'nu 电击弩
'dian'liao'shu 电疗术
'dian'lie'jian 电烈剑
'dian'tao 电套
'du'jian 毒箭
'duan'bing'qi 短兵器
'duan'lang'zhan 断浪斩
'duan'lang'zhan'yu'bing 断浪斩御冰
'duan'lang'zhan'yu'dian 断浪斩御电
'duo'hun 夺魂
'duo'hun'chang'bing'qi 夺魂长兵器
'duo'hun'chang'jian 夺魂长剑
'duo'hun'dan'ren 夺魂单刃
'duo'hun'duan'bing'qi 夺魂短兵器
'duo'hun'shuang'chi 夺魂双持
'duo'hun'shuang'jie'gun 夺魂双节棍
'duo'hun'zhong'ren 夺魂重刃
'er'lian'huan 二连环
'fan'hun'zhu 返魂珠
'fan'shi 反噬
'fan'shuai 翻摔
'fan'shuai'yu'bing 翻摔御冰
'fan'shuai'yu'dian 翻摔御电
'fan'tan 反弹
'fei'xu 非蓄
'fen'shui'zhan 分水斩
'fen'shui'zhan'yu'bing 分水斩御冰
'fen'shui'zhan'yu'dian 分水斩御电
'fen'yun'zhan 焚云斩
'feng'lao 风牢
'feng'shuang'jin 封霜劲
