'an'te'jiang'xue'za'shi'zhi 安特将学杂识志
'an'you'bu'wen'zhe'hu 安有不闻者乎
'ao'fei'ye 傲非也
'bai'fa'shi'yi 百发失一
'bai'sha'zai'nie 白沙在涅
'ben'ren'yi 本仁义
'bi'fei'jia'chang'ye 臂非加长也
'bi'xiang'qi'de 必象其德
'bi'you'suo'shi 必有所始
'bing'shui'wei'zhi'er'han'yu'shui 冰水为之而寒于水
'bo'ya'gu'qin'er'liu'ma'yang'mo 伯牙鼓琴而六马仰秣
'bu'dao'li'xian 不道礼宪
'bu'fu'er'zhi 不扶而直
'bu'fu'ting'zhe 不复挺者
'bu'guan'qi'se'er'yan 不观气色而言
'bu'hu'si'ti 布乎四体
'bu'ji'xiao'liu 不积小流
'bu'ke'yi'de'zhi'yi 不可以得之矣
'bu'lin'shen'xi 不临深溪
'bu'long'li 不隆礼
'bu'mian'wei'lou'ru'er'yi 不免为陋儒而已
'bu'neng'shi'bu 不能十步
'bu'ru'deng'gao'zhi'bo'jian'ye 不如登高之博见也
'bu'ru'xu'yu'zhi'suo'xue'ye 不如须臾之所学也
'bu'shan'zhe'duo 不善者多
'bu'wen'xian'wang'zhi'yi'yan 不闻先王之遗言
'bu'zhi'di'zhi'hou'ye 不知地之厚也
'bu'zhi'tian'zhi'gao'ye 不知天之高也
'bu'zhi'xue'wen'zhi'da'ye 不知学问之大也
'bu'zu'wei'shan'she 不足谓善射
'bu'zu'wei'shan'xue 不足谓善学
'bu'zu'wei'shan'yu 不足谓善御
'can'fei'ye 囋非也
'cao'mu'chou'sheng 草木畴生
'chang'er'yi'su 长而异俗
'chao'fei'bu'wan'ye 巢非不完也
'chu'hu'kou 出乎口
'chu'qi'hai'zhe'yi'chi'yang'zhi 除其害者以持养之
'chun'qiu'yue'er'bu'su 春秋约而不速
'chun'qiu'zhi'wei'ye 春秋之微也
'ci'shun 辞顺
'ci'zhi'wei'ye 此之谓也
'dai'man'wang'shen 怠慢忘身
'de'cao'ran'hou'neng'ding 德操然后能定
'deng'gao'er'zhao 登高而招
'di'jian'qi'guang 地见其光
'duan'er'yan 端而言
'e'hu'zhong 恶乎终
'er'bian'zhi'yi'fa 而编之以发
'er'bu'neng'liang'ting'er'cong 耳不能两听而聪
'er'gong'shi'zhi'yan 而弓矢至焉
'er'hao'zhi'wu'sheng 耳好之五声
'er'hou'ke'yu'yan'dao'zhi'fang 而后可与言道之方
'er'hou'ke'yu'yan'dao'zhi'li 而后可与言道之理
'er'jian'zhe'yuan 而见者远
'er'jue'jiang'he 而绝江河
'er'lin'bai'ren'zhi'yuan 而临百仞之渊
'er'qing'yu'lan 而青于蓝
'er'wen'zhe'zhang 而闻者彰
'er'zhi'qian'li 而致千里
'fa'shi'ye 法士也
'fa'zhi'da'fen 法之大分
'fang'qi'ren'zhi'xi'jun'zi'zhi'shuo 方其人之习君子之说
'fei'jiao'fei'shu 匪交匪舒
'fei'li'zu'ye 非利足也
'fei'neng'shui'ye 非能水也
'fei'qi'dao'ze'bi'zhi 非其道则避之
'fei'she'shan'zhi'xue'wu'ke'ji'tuo'zhe 非蛇鳝之穴无可寄托者
'feng'yu'xing'yan 风雨兴焉
'feng'zhi'shao'zhe 风至苕折
'fu'mo'chang'yu'wu'huo 福莫长于无祸
'fu'shi'zhi'wei'cheng'ren 夫是之谓成人
'fu'shi'zhi'wei'dao'de'zhi'ji 夫是之谓道德之极
'fu'shi'zhi'wei'de'cao 夫是之谓德操
'gan'yue'yi'hao'zhi'zi 干越夷貉之子
'gao'ku'zhe 告楛者
'gong'zai'bu'she 功在不舍
'gu'bi'you'qi'dao'zhi 故必由其道至
'gu'bu'deng'gao'shan 故不登高山
'gu'bu'ji'kui'bu 故不积跬步
'gu'bu'wen'er'gao'wei'zhi'ao 故不问而告谓之傲
'gu'jun'zi'bu'ao'bu'yin'bu'gu 故君子不傲不隐不瞽
'gu'jun'zi'jie'yu'yi'ye 故君子结于一也
'gu'jun'zi'ju'bi'ze'xiang 故君子居必择乡
'gu'li'gong 故礼恭
'gu'long'li 故隆礼
'gu'mu'shou'sheng'ze'zhi 故木受绳则直
'gu'sheng'wu'xiao'er'bu'wen 故声无小而不闻
'gu'shu'zhe 故书者
'gu'song'shu'yi'guan'zhi 故诵数以贯之
'gu'wei'ke'yu'yan'er'yan 故未可与言而言
'gu'xue'shu'you'zhong 故学数有终
'gu'xue'yi'zhi'ye 固学一之也
'gu'xue'zhi'hu'li'er'zhi'yi 故学至乎礼而止矣
'gu'yan'you'zhao'huo'ye 故言有招祸也
'gu'yue 故曰
'gu'zhi'xue'zhe'wei'ji 古之学者为己
'hao'shi'zheng'zhi 好是正直
'he'zu'yi'mei'qi'chi'zhi'qu'zai 曷足以美七尺之躯哉
'huo'jiu'zao'ye 火就燥也
'huo'zai'nai'zuo 祸灾乃作
'ji'shan'cheng'de'er'shen'ming'zi'de 积善成德而神明自得
'ji'shui'cheng'yuan 积水成渊
'ji'tu'cheng'shan 积土成山
'ji'zhi'qi'zhi'hao'zhi'ye 及至其致好之也
'jia'yu'ma'zhe 假舆马者
'jia'zhou'ji'zhe 假舟楫者
'jiang'yuan'xian'wang 将原先王
'jiao'long'sheng'yan 蛟龙生焉
'jiao'shi'zhi'ran'ye 教使之然也
'jie'er'jing'fu 介尔景福
'jie'er'jun'zi 嗟尔君子
'jie'zhou'dao'zhi'ye 桀纣盗跖也
'jin'gu'zhi'qiang 筋骨之强
'jin'jiu'li'ze'li 金就砺则利
'jin'shi'ke'lou 金石可镂
'jin'shun'qi'shen 谨顺其身
'jin'zhi'xue'zhe'wei'ren 今之学者为人
'jing'chang'si'cun 茎长四寸
'jing'gong'er'wei 靖共尔位
'jun'zi'bo'xue'er'ri'can'sheng'hu'ji 君子博学而日参省乎己
'jun'zi'bu'jin 君子不近
'jun'zi'gui'qi'quan'ye 君子贵其全也
'jun'zi'ru'xiang'yi 君子如向矣
'jun'zi'shen'qi'suo'li'hu 君子慎其所立乎
'jun'zi'sheng'fei'yi'ye 君子生非异也
'jun'zi'yue 君子曰
'jun'zi'zhi'xue'ye 君子之学也
'ke'yu'yan'er'bu'yan 可与言而不言
'kou'er'zhi'jian 口耳之间
'kou'hao'zhi'wu'wei 口好之五味
'lan'huai'zhi'gen'shi'wei'zhi 兰槐之根是为芷
'le'zhi'zhong'he'ye 乐之中和也
'lei'zhi'gang'ji'ye 类之纲纪也
'li'yue'fa'er'bu'shuo 礼乐法而不说
'li'zhe 礼者
'li'zhi'jing'wen'ye 礼之敬文也
'lin'mu'mao'er'fu'jin'zhi'yan 林木茂而斧斤至焉
'luan'po'zi'si 卵破子死
'lun'lei'bu'tong 伦类不通
'ming'yue'meng'jiu 名曰蒙鸠
'ming'yue'she'gan 名曰射干
'mu'bu'neng'liang'shi'er'ming 目不能两视而明
'mu'hao'zhi'wu'se 目好之五色
'mu'jing'fei'neng'chang'ye 木茎非能长也
'mu'zhi'zhong'sheng 木直中绳
'nan'fang'you'niao'yan 南方有鸟焉
'neng'ding'neng'ying 能定能应
'neng'ding'ran'hou'neng'ying 能定然后能应
'nu'ma'shi'jia 驽马十驾
'peng'sheng'ma'zhong 蓬生麻中
'pi'zhi'you'yi'zhi'ce'he'ye 譬之犹以指测河也
'ping'di'ruo'yi 平地若一
'qi'ci'long'li 其次隆礼
'qi'ji'yi'yue 骐骥一跃
'qi'jian'zhi'xiu 其渐之滫
'qi'qu'zhong'gui 其曲中规
'qi'shan'zhe'shao 其善者少
'qi'shu'ze'shi'hu'song'jing 其数则始乎诵经
'qi'yi'yi'xi 其仪一兮
'qi'yi'ze'shi'hu'wei'shi 其义则始乎为士
'qi'zhi'fei'bu'mei'ye 其质非不美也
'qi'zi'qi'xi 其子七兮
'qian'li'kui'bu'bu'zhi 千里蹞步不至
'qiang'zi'qu'zhu 强自取柱
'qie'er'bu'she 锲而不舍
'qie'er'she'zhi 锲而舍之
'qin'shou'qun'yan 禽兽群焉
'qing'qu'zhi'yu'lan 青取之于蓝
'qu'wu'zhi'er'dun'zhi 诎五指而顿之
'quan'xue'di'yi 劝学第一
'quan'zhi'jin'zhi 全之尽之
'qun'zhong'bu'neng'yi'ye 群众不能移也
'ran'hou'jie'zhi 然后接之
'ran'hou'xue'zhe'ye 然后学者也
'ren'yi'bu'yi 仁义不一
'rong'ru'zhi'lai 荣辱之来
'rou'fu'chu'chong 肉腐出虫
'rou'shi'zhi'ran'ye 輮使之然也
'rou'yi'wei'lun 輮以为轮
'rou'zi'qu'shu 柔自取束
'ru'hu'er 入乎耳
'ruan'er'dong 蝡而动
'ruo'qi'yi'ze'bu'ke'xu'yu'she'ye 若其义则不可须臾舍也
'ruo'qie'qiu'ling 若挈裘领
'san'ru'ye 散儒也
'se'cong'er'hou'ke'yu'yan'dao'zhi'zhi 色从而后可与言道之致
'shan'jia'yu'wu'ye 善假于物也
'shang'bu'neng'hao'qi'ren 上不能好其人
'shang'shi'ai'tu 上食埃土
'she'zhi'qin'shou'ye 舍之禽兽也
'shen'mo'da'yu'hua'dao 神莫大于化道
'shen'zhi'ting'zhi 神之听之
'sheng'er'tong'sheng 生而同声
'sheng'fei'jia'ji'ye 声非加疾也
'sheng'hu'you'shi 生乎由是
'sheng'xin'bei'yan 圣心备焉
'sheng'yu'gao'shan'zhi'shang 生于高山之上
'shi'er'fei'shi'wu'yu'wen'ye 使耳非是无欲闻也
'shi'gu'quan'li'bu'neng'qing'ye 是故权利不能倾也
'shi'gu'wu'ming'ming'zhi'zhi'zhe 是故无冥冥之志者
'shi'gu'zhi'de'zhang 是故质的张
'shi'jiu'zai'sang 尸鸠在桑
'shi'kou'fei'shi'wu'yu'yan'ye 使口非是无欲言也
'shi'liang'jun'zhe'bu'rong 事两君者不容
'shi'mu'fei'shi'wu'yu'jian'ye 使目非是无欲见也
'shi'shu'gu'er'bu'qie 诗书故而不切
'shi'shu'wu'ji'er'qiong 鼫鼠五技而穷
'shi'shu'zhi'bo'ye 诗书之博也
'shi'xin'fei'shi'wu'yu'lv'ye 使心非是无欲虑也
'shi'xin'ruo'yi 施薪若一
'shi'yue 诗曰
'shi'zhe 诗者
'shu'cheng'yin'er'zhong'niao'xi'yan 树成荫而众鸟息焉
'shu'ren'bu'fu 庶人不服
'shu'ren'jun'zi 淑人君子
'shui'jiu'shi'ye 水就湿也
'shun'feng'er'hu 顺风而呼
'shun'shi'shu'er'yi'er 顺诗书而已耳
'shun'zhe'bu'ke'sheng'shu'ye 顺者不可胜数也
'shuo'ku'zhe 说楛者
