'bu'fu'he'he'jiu'zheng'cuo'shi 不符合和纠正措施
'ce'hua 策划
'chi'xu'gai'jin 持续改进
'chuang'jian'he'geng'xin 创建和更新
'cuo'shi'de'ce'hua 措施的策划
'gai'jin 改进
'guan'li'ping'shen 管理评审
'he'gui'xing'ping'jia 合规性评价
'he'gui'yi'wu 合规义务
'huan'jing'fang'zhen 环境方针
'huan'jing'guan'li'ti'xi 环境管理体系
'huan'jing'mu'biao 环境目标
'huan'jing'mu'biao'ji'qi'shi'xian'de'ce'hua 环境目标及其实现的策划
'huan'jing'yin'su 环境因素
'ji'xiao'ping'jia 绩效评价
'jian'shi'ce'liang'fen'xi'he'ping'jia 监视测量分析和评价
'li'jie'xiang'guan'fang'de'xu'qiu'he'qi'wang 理解相关方的需求和期望
'li'jie'zu'zhi'ji'qi'suo'chu'de'huan'jing 理解组织及其所处的环境
'ling'dao'zuo'yong 领导作用
'ling'dao'zuo'yong'yu'cheng'nuo 领导作用与承诺
'nei'bu'shen'he 内部审核
'nei'bu'shen'he'fang'an 内部审核方案
'nei'bu'xin'xi'jiao'liu 内部信息交流
'neng'li 能力
'que'ding'huan'jing'guan'li'ti'xi'de'fan'wei 确定环境管理体系的范围
'shi'xian'huan'jing'mu'biao'cuo'shi'de'ce'hua 实现环境目标措施的策划
'wai'bu'xin'xi'jiao'liu 外部信息交流
'wen'jian'hua'xin'xi 文件化信息
'wen'jian'hua'xin'xi'de'kong'zhi 文件化信息的控制
'xin'xi'jiao'liu 信息交流
'yi'shi 意识
'ying'dui'feng'xian'he'ji'yu'de'cuo'shi 应对风险和机遇的措施
'ying'ji'zhun'bei'he'xiang'ying 应急准备和响应
'yun'xing 运行
'yun'xing'ce'hua'he'kong'zhi 运行策划和控制
'zhi'chi 支持
'zi'yuan 资源
'zong'ze 总则
'zu'zhi'de'jue'se'zhi'ze'he'quan'xian 组织的角色职责和权限
