'bian'de'yi'shan 便得一山
'bian'fu'xiang'lu 便扶向路
'bian'she'chuan 便舍船
'bian'yao'huan'jia 便要还家
'bing'yi'ran'zi'le 并怡然自乐
'bu'fu'chu'yan 不复出焉
'bu'fu'de'lu 不复得路
'bu'zu'wei'wai'ren'dao'ye 不足为外人道也
'cai'tong'ren 才通人
'chu'chu'zhi'zhi 处处志之
'chu'ji'xia 初极狭
'ci'qu 辞去
'ci'ren'yi'yi'wei'ju'yan'suo'wen 此人一一为具言所闻
'ci'zhong'ren'yu'yun 此中人语云
'cong'kou'ru 从口入
'cun'zhong'wen'you'ci'ren 村中闻有此人
'de'qi'chuan 得其船
'fang'cao'xian'mei 芳草鲜美
'fang'fu'ruo'you'guang 仿佛若有光
'fu'qian'xing'yu'qiong'qi'lin 复前行欲穷其林
'fu'xing'shu'shi'bu 复行数十步
'gao'shang'shi'ye 高尚士也
'hou'sui'wu'wen'jin'zhe 后遂无问津者
'hu'feng'tao'hua'lin 忽逢桃花林
'huang'fa'chui'tiao 黄发垂髫
'huo'ran'kai'lang 豁然开朗
'ji'chu 既出
'ji'jun'xia 及郡下
'ji'quan'xiang'wen 鸡犬相闻
'jia'an'shu'bai'bu 夹岸数百步
'jian'yu'ren 见渔人
'jie'chu'jiu'shi 皆出酒食
'jie'tan'wan 皆叹惋
'jin'tai'yuan'zhong 晋太元中
'ju'da'zhi 具答之
'lin'jin'shui'yuan 林尽水源
'luo'ying'bin'fen 落英缤纷
'lv'qi'zi'yi'ren'lai'ci'jue'jing 率妻子邑人来此绝境
'nai'bu'zhi'you'han 乃不知有汉
'nai'da'jing 乃大惊
'nan'nv'yi'zhuo 男女衣着
'nan'yang'liu'zi'ji 南阳刘子骥
'qi'zhong'wang'lai'zhong'zuo 其中往来种作
'qian'mo'jiao'tong 阡陌交通
'shan'you'xiao'kou 山有小口
'she'jiu'sha'ji'zuo'shi 设酒杀鸡作食
'shuo'ru'ci 说如此
'sui'mi 遂迷
'sui'yu'wai'ren'jian'ge 遂与外人间隔
'tai'shou'ji'qian'ren'sui'qi'wang 太守即遣人随其往
'ting'shu'ri 停数日
'tu'di'ping'kuang 土地平旷
'wang'lu'zhi'yuan'jin 忘路之远近
'wei'guo 未果
'wen'jin'shi'he'shi 问今是何世
'wen'suo'cong'lai 问所从来
'wen'zhi 闻之
'wu'ling'ren'bu'yu'wei'ye 武陵人捕鱼为业
'wu'lun'wei'jin 无论魏晋
'wu'she'yan'ran 屋舍俨然
'xi'ru'wai'ren 悉如外人
'xian'lai'wen'xun 咸来问讯
'xin'ran'gui'wang 欣然规往
'xun'bing'zhong 寻病终
'xun'xiang'suo'zhi 寻向所志
'yi'tai'shou 诣太守
'you'liang'tian'mei'chi'sang'zhu'zhi'shu 有良田美池桑竹之属
'yu'ren'ge'fu'yan'zhi'qi'jia 余人各复延至其家
'yu'ren'shen'yi'zhi 渔人甚异之
'yuan'xi'xing 缘溪行
'zhong'wu'za'shu 中无杂树
'zi'yun'xian'shi'bi'qin'shi'luan 自云先世避秦时乱
