'bao'hu'huan'jing 保护环境
'cha'ju 差距
'chan'ye'jie'gou 产业结构
'chong'fen'li'yong 充分利用
'de'cai'zheng'tou'ru'hang'ye'he'di'qu 的财政投入行业和地区
'dui'wai'kai'fang 对外开放
'fa'zhan'fang'shi'he'mo'xing 发展方式和模型
'fang'fan'yi'shi 防范意识
'fang'shi 方式
'gong'zheng 公正
'guan'li 管理
'guan'li'chuang'xin 管理创新
'gui'ze'yi'shi 规则意识
'guo'ji'guo'nei 国际国内
'guo'ji'he'zuo 国际合作
'guo'min'su'zhi'he'ji'neng 国民素质和技能
'hong'guan'tiao'kong 宏观调控
'hua'pei'zhi 化配置
'huan'jing'liang'hao'xing'she'hui 环境良好型社会
'jia'da'dui 加大对
'jia'da'ke'yan'li'du 加大科研力度
'jia'qiang 加强
'jian'chi 坚持
'jian'li'jian'quan 建立健全
'jian'li'jian'quan'jian'chi'he'wan'shan 建立健全坚持和完善
'jian'she 建设
'jie'gou 结构
'jie'gou'tiao'zheng 结构调整
'jie'yue'zi'yuan 节约资源
'jing'ji'an'quan 经济安全
'jing'ji'fa'zhan 经济发展
'jing'ji'shui'ping 经济水平
'jing'ji'xue'zhong'yu'guo'jia'xiang'guan'de'zhuan'ye'shu'yu 经济学中与国家相关的专业术语
'kai'fang 开放
'ke'ji 科技
'ke'ji'jin'bu 科技进步
'ke'ji'jin'bu'he'chuang'xin 科技进步和创新
'lao'dong'zhe'su'zhi 劳动者素质
'man'zu'xu'yao'gai'shan 满足需要改善
'mao'yi'mo'ca 贸易摩擦
'nong'ye'ji'chu'di'wei 农业基础地位
'qu'yu 区域
'qu'yu'fa'zhan 区域发展
'san'nong'wen'ti 三农问题
'she'hui'zhu'yi 社会主义
'shi'chang 市场
'shi'xian'zi'yuan'de 实现资源的
'shi'xian'zi'yuan'de'you'hua'pei'zhi 实现资源的优化配置
'suo'xiao 缩小
'ti'gao 提高
'ti'gao'lao'dong'sheng'chan'lv'he'jing'ji'xiao'yi 提高劳动生产率和经济效益
'tong'chou 统筹
'tong'chou'cheng'xiang'fa'zhan 统筹城乡发展
'tou'ru 投入
'tui'dong 推动
'tui'jin 推进
'xiang'jie'he 相结合
'xiao'fei'jie'gou 消费结构
'xie'tiao'chu'li'hao 协调处理好
'xie'tiao'fa'zhan 协调发展
'xin'nong'cun'jian'she 新农村建设
'xin'yu'he'xing'xiang 信誉和形象
'yi'cheng'dai'xiang 以城带乡
'yi'gong'cu'nong 以工促农
'yi'kao 依靠
'yin'jin'lai 引进来
'you'hua'sheng'ji 优化升级
'you'shi'hu'bu 优势互补
'you'xiao'ying'dui 有效应对
'zeng'qiang 增强
'zhe'he'yuan'gong'de'quan'yi'zun'shou'mao'yi'gui'ze 者和员工的权益遵守贸易规则
'zheng'ce'he'zhi'du 政策和制度
'zheng'dang'jing'zheng'zun'zhong'bao'hu'xiao'fei 正当竞争尊重保护消费
'zhong'shi 重视
'zhuan'bian 转变
'zi'yuan 资源
'zi'yuan'jie'yue'xing 资源节约型
'zi'zhu'chuang'xin'neng'li 自主创新能力
'zong'jie'san 总结三
'zou'chu'qu 走出去
'zun'shou'gui'ze'zheng'dang'jing'zheng 遵守规则正当竞争
