'ba'yin'neng'xie 八音能谐
'ba'yue 八月
'bai'gong'zhi'gong 百工致功
'bai'gu'shi'mao 百穀时茂
'bai'guan'shi'xu 百官时序
'bai'shou'shuai'wu 百兽率舞
'bai'xing'bei'ai 百姓悲哀
'bai'xing'bu'qin 百姓不亲
'bai'xing'qin'he 百姓亲和
'bai'xing'zhao'ming 百姓昭明
'ban'rui 班瑞
'bao'feng'lei'yu 暴风雷雨
'bao'nue'bai'xing 暴虐百姓
'bei'guo'zhuo'lu 北过涿鹿
'bei'shan'rong'fa'xi'shen 北山戎发息慎
'bei'xun'shou 北巡狩
'bei'zhi'yu'you'ling 北至于幽陵
'bei'zhu'xun'yu 北逐荤粥
'beng'yu'cang'wu'zhi'ye 崩於苍梧之野
'bi'de'tian'di'wei 鄙德忝帝位
'bi'zhi'san'xiong 比之三凶
'bian'cheng'dong'zuo 便程东作
'bian'cheng'nan'wei 便程南为
'bian'cheng'xi'cheng 便程西成
'bian'gao'yi'yan 遍告以言
'bian'yu'qun'shen 辩于群神
'bian'zai'fu'wu 便在伏物
'bian'zhang'bai'xing 便章百姓
'bian'zuo'guan'xing 鞭作官刑
'bin'yu'si'men 宾於四门
'bo'yi 伯夷
'bo'yi'rang'kui'long 伯夷让夔龙
'bo'yi'zhu'li 伯夷主礼
'bo'yu'wei'si'kong 伯禹为司空
'bu'ke 不可
'bu'ke'de 不可得
'bu'ke'jiao'xun 不可教训
'bu'shan 不善
'bu'shi'jue'yi 不失厥宜
'bu'yong 不用
'bu'yong'di'ming 不用帝命
'bu'yu'qi'shen 不於其身
'bu'yun'qi'ming 不陨其名
'bu'zhi'hua'yan 不知话言
'bu'zhi'jian 不至奸
'bu'zu'shou'tian'xia 不足授天下
'chang'er'dun'min 长而敦敏
'chang'yi'qu'shu'shan'shi'nv 昌意娶蜀山氏女
'chang'yu'sha'shun 常欲杀舜
'chang'zai'ce 尝在侧
'che'fu'yi'yong 车服以庸
'cheng'er'cong'ming 成而聪明
'chi'you'zuo'luan 蚩尤作乱
'chong'shi'e'yan 崇饰恶言
'chui'zhu'gong'shi 垂主工师
'chun'hua'niao'shou'chong'e 淳化鸟兽蟲蛾
'ci'er'shi'er'ren'xian'cheng'jue'gong 此二十二人咸成厥功
'ci'san'zu'shi'you'zhi 此三族世忧之
'ci'shi'liu'zu'zhe 此十六族者
'cong'yi'zhi'yuan 聪以知远
'cun'wang'zhi'nan 存亡之难
'da'xiao'zhi'shen 大小之神
'dai'shen'nong'shi 代神农氏
'de'bu'si 得不死
'deng'ji'tou 登鸡头
'deng'wan'shan 登丸山
'deng'xiong'xiang 登熊湘
'di'ao 弟傲
'di'chu'shao'dian 帝出少典
'di'gong 弟恭
'di'ku'beng 帝喾崩
'di'ku'gai'zhi'zhong'er'bian'tian'xia 帝喾溉执中而遍天下
'di'ku'gao'xin'zhe 帝喾高辛者
'di'ku'qu'chen'feng'shi'nv 帝喾娶陈锋氏女
'di'ku'wei'gao'xin 帝喾为高辛
'di'shun'wei'you'yu 帝舜为有虞
'di'xiang'ao 弟象傲
'di'yao'wei'tao'tang 帝尧为陶唐
'di'yao'zhe 帝尧者
'di'yu'wei'xia'hou'er'bie'shi 帝禹为夏后而别氏
'di'zhi'li 帝挚立
'di'zhi'zhi'di 帝挚之弟
'di'zhuan'xu'gao'yang'zhe 帝颛顼高阳者
'di'zhuan'xu'sheng'zi'yue'qiong'chan 帝颛顼生子曰穷蝉
'di'zhuan'xu'wei'gao'yang 帝颛顼为高阳
'ding'jiu'zhou 定九州
'dong'chang'niao'yi 东长鸟夷
'dong'jian'yu'hai 东渐於海
'dong'jing'zhi'wu 动静之物
'dong'xun'shou 东巡狩
'dong'zhi'yu'hai 东至于海
'dong'zhi'yu'pan'mu 东至于蟠木
'du'si'fang 度四方
'er'bai'jia'yan'huang'di 而百家言黄帝
'er'chi'you'zui'wei'bao 而蚩尤最为暴
'er'di'fang'xun'li 而弟放勋立
'er'gui'shen'shan'chuan'feng'shan'yu'wei'duo'yan 而鬼神山川封禅与为多焉
'er'jing'fu'wu'jiao 而敬敷五教
'er'nian'cheng'yi 二年成邑
'er'qi'shu'yi 尔其庶矣
'er'qu'yu'xi'ling'zhi'nv 而娶於西陵之女
'er'shen'nong'shi'fu'neng'zheng 而神农氏弗能征
'er'shi'nian'er'lao 二十年而老
'er'shun'mu'si 而舜母死
'er'xuan'xiao'zhi'sun'gao'xin'li 而玄嚣之孙高辛立
'er'yao'shi'she'zheng 而尧使摄政
'er'yi'yu'zhuo'lu'zhi'a 而邑于涿鹿之阿
