'ba'gua'tian 八卦田
'ba'men'hua'shang 八门化伤
'ba'shu 巴蜀
'bai'hua'lin 百花林
'bai'shui'tai 白水台
'bai'shui'yuan 百水源
'bai'tan 摆摊
'bai'ze 白泽
'bao'jian'ren'wu 宝鉴任务
'bao'shi'cai'jue 宝石采掘
'bei'mo 北漠
'bing'xin 冰心
'bing'xin'tang 冰心堂
'bu'xi'zhi'zhou 不系之舟
'cang'lang'zhi'shui 沧浪之水
'cao'tong'ye'hui 草同业会
'cao'wu'shou'ji 草物收集
'chang'ming 长明
'chao'ying 超影
'cheng'wei 称谓
'cheng'zhang'zhi 成长值
'chi'kong'que'dan 赤孔雀胆
'chuan'ci 穿刺
'chuan'ci'hua'jie 穿刺化解
'chuan'ci'zhong'ji 穿刺重击
'cui'qu'jing'hua 萃取精华
'cuo'gu 错骨
'da'huang 大荒
'da'huang'xu'lie'hao 大荒序列号
'da'yu'cun 大禹村
'dan'ping'zhai 丹坪寨
'dan'qing'zhi'xin 丹青之信
'di'li'zhi'huo 砥砺之火
'ding'hu 鼎湖
'ding'li 定力
'dong'hai 东海
'du'jing 毒经
'du'xi 毒系
'du'xi'hua'jie 毒系化解
'du'xi'zhong'ji 毒系重击
'duan'chang'fu'gu'cao 断肠腐骨草
'dun'ji 钝击
'dun'ji'hua'jie 钝击化解
'dun'ji'zhong'ji 钝击重击
'duo'xing'yuan 堕星原
'fan'hui'shen'shi 返回神石
'fan'kang'jun'da'ying 反抗军大营
'fan'yu 翻羽
'fang'xie 放血
'fang'zhi'ji'qiao 纺织技巧
'fei'cheng 废城
'fen'shui 分水
'feng'xi 风系
'feng'xi'hua'jie 风系化解
'feng'xi'zhong'ji 风系重击
'gu'ben'pei'yuan 固本培元
'gui'ku'teng 鬼哭藤
'hao'gan'du 好感度
'hao'han'zhi'gu 浩瀚之鼓
'hei'shui'yuan 黑水源
'hong'lu 虹麓
'hong'mu'lin 红木林
'hou'fang'ying'di 后方营地
'hu'lu 葫芦
'hua'yao'gu 花妖谷
'huan'shou 幻兽
'huang'huo 荒火
'huang'huo'jiao 荒火教
'hui'kan 挥砍
'hui'kan'hua'jie 挥砍化解
'hui'kan'zhong'ji 挥砍重击
'hui'ling'dan 回灵丹
'hui'xin'fang'yu 会心防御
'hui'xin'yi'ji 会心一击
'hun'gu 魂谷
'huo'xi 火系
'huo'xi'hua'jie 火系化解
'huo'xi'zhong'ji 火系重击
'ji'gu'chuan'hua 击鼓传花
'ji'neng 技能
'ji'shi'dong 积石洞
'jian'mu 建木
'jian'pan'yi'dong 键盘移动
'jian'ren 坚韧
'jiang'nan 江南
'jin'shu'cai'jue 金属采掘
