'ba'fu'luo'fu'xue'shuo 巴甫洛夫学说
'bian'zheng'fa 辩证法
'chao'ge'ren'xin'li'xue 超个人心理学
'cun'zai'zhu'yi 存在主义
'dong'li'xin'li'xue 动力心理学
'dong'xi'fang'xin'li'xue 东西方心理学
'du'wei'de'fan'she'hu'gai'nian 杜威的反射弧概念
'fan'ling'lun 泛灵论
'fan'she'xue 反射学
'fan'ying'lun 反映论
'fan'ying'xue 反应学
'feng'te'de'sheng'li'xin'li'xue'yuan'li 冯特的生理心理学原理
'feng'te'de'xin'li'fu'he'ti 冯特的心理复合体
'feng'te'de'yi'zhi'guo'cheng'li'lun 冯特的意志过程理论
'fu'ci'bao'xue'pai 符茨堡学派
'gan'jue'de'tong'ze 感觉的通则
'gan'ran'lun 感染论
'gong'li'zhu'yi 功利主义
'gou'zao'zhu'yi 构造主义
'guan'neng'xin'li'xue 官能心理学
'guan'nian'de'lian'he 观念的联合
'guan'xi'lun 关系论
'hai'lin'de'guang'jue'xue'shuo 海林的光觉学说
'he'er'mu'huo'ci'de'se'cai'shi'jue'shuo 赫尔姆霍茨的色彩视觉说
'hu'sai'er'de'xian'xiang'xue 胡塞尔的现象学
'huan'yuan'lun 还原论
'ji'neng'zhu'yi 机能主义
'jia'she'yan'yi'tui'li 假设演绎推理
'jin'hua'de'li'lun 进化的理论
'jing'shen'fen'xi 精神分析
'jing'yan'zhu'yi 经验主义
'jue'ding'lun'he'fei'jue'ding'lun 决定论和非决定论
'ke'xue'bian'yuan'de'yan'jiu 科学边缘的研究
'ke'xue'zhe'xue 科学哲学
'kong'zhi'li'lun 控制理论
'kong'zhi'xi'tong 控制系统
'kua'wen'hua'xin'li'xue 跨文化心理学
'lan'ge'de'qing'xu'ji'zhi'shuo 兰格的情绪机制说
'le'wen'de'yi'xiang'huo'dong'li'lun 勒温的意向活动理论
'li'shi'yu'gong'shi'mo'shi 历时与共时模式
'li'xing'zhu'yi 理性主义
'lian'xiang'zhu'yi 联想主义
'lian'xiang'zhu'yi'xin'li'xue 联想主义心理学
'ling'xue'yan'jiu 灵学研究
'lu'xiang'xue 颅相学
'luo'ji'shi'zheng'zhu'yi 逻辑实证主义
'ma'he'de'gan'jue'fen'xi'shuo 马赫的感觉分析说
'miao'shu'xin'li'xue 描述心理学
'mu'di'xin'li'xue 目的心理学
'mu'le'de'gui'na'gui'ze 穆勒的归纳规则
'ni'ren'hua'si'wei 拟人化思维
'ni'ren'lun 拟人论
'ni'xin'li'xue 拟心理学
'pei'yin'de'li'zhi'lun 培因的理智论
'ren'wen'ke'xue'xin'li'xue 人文科学心理学
'ri'nei'wa'xue'pai 日内瓦学派
'shen'mi'zhu'yi 神秘主义
'sheng'huo'shi'de'yan'jiu 生活史的研究
'sheng'ji'lun 生机论
'shi'di'wen'si'xin'li'xue'gai'nian'de'cao'zuo'ding'yi 史蒂文斯心理学概念的操作定义
'shi'yan'sheng'li'xue 实验生理学
'shi'yi'xue 释义学
'shi'zheng'zhu'yi 实证主义
'shu'ben'hua'de'xin'li'xue'si'xiang 叔本华的心理学思想
'si'bin'sai'de'xin'de'gou'cheng'li'lun 斯宾塞的心的构成理论
'si'li'tu'mu'fu'xie'he'yin'li'lun 斯力图姆夫协和音理论
'tie'qin'na'de'gou'zao'xin'li'xue 铁钦纳的构造心理学
'tuo'pu'xin'li'xue 拓扑心理学
'wan'xing'xin'li'xue 完形心理学
'wei'guo'ci'ji'ji'qi'she'hui'wen'hua'li'shi'xue'pai 维果茨基及其社会文化历史学派
'wen'hua'jue'ding'lun 文化决定论
'wen'hua'shi'ying 文化适应
'wen'xue'yu'xin'li'xue 文学与心理学
'wu'li'xue'yu'xing'wei'ke'xue 物理学与行为科学
'xi'tong'lun 系统论
'xiang'hu'zuo'yong'shuo 相互作用说
'xiang'zheng'hu'dong'lun 象征互动论
'xin'hao'yu'fu'hao 信号与符号
'xin'jing'shen'fen'xi'xue'pai 新精神分析学派
'xin'li 心理
'xin'li'li'shi'shuo 心理历史说
'xin'li'xian'xiang 心理现象
'xin'li'xuan'xue 心理玄学
'xin'li'xue'shi 心理学史
'xin'li'xue'shi'ti'xi'yu'li'lun 心理学史体系与理论
'xin'li'xue'yan'jiu'zhong'de'li'lun'wen'ti 心理学研究中的理论问题
'xin'li'zhu'yi 心理主义
'xin'ling'zhu'yi 心灵主义
'xin'shen'guan'xi 心身关系
'xin'shen'jiao'gan'lun 心身交感论
'xin'shen'ping'xing'lun 心身平行论
'xin'shen'tong'yi'lun 心身同一论
'xin'xing'wei'zhu'yi 新行为主义
'xing'wei'jian'xin'li'xue 行为间心理学
'xing'wei'zhu'yi 行为主义
'yi'dong'xin'li'xue 意动心理学
'yi'yuan'lun'yu'er'yuan'lun 一元论与二元论
'zhan'mu'si'de'qing'xu'li'lun 詹姆斯的情绪理论
'zhan'mu'si'de'yi'shi'liu'li'lun 詹姆斯的意识流理论
'zhan'xing'shu 占星术
'zhe'xue'xin'li'xue 哲学心理学
'zhe'zhong'zhu'yi 折衷主义
'zhi'wu'de'xing'wei 植物的行为
'zhong'shi'ji'de'si'wei'fang'shi 中世纪的思维方式
'zi'ran'zhu'yi 自然主义
'zi'you 自由
