'ba'te'zong'he'zheng 巴特综合征
'bai'hua'bing 白化病
'bai'sai'bing 白塞病
'bai'sai'lian'meng 白塞联盟
'bai'zhi'nao'bing 白质脑病
'ban'ru'tang'xue'zheng 半乳糖血症
'ban'you'pi'zhi'xia'geng'si 伴有皮质下梗死
'bei'jing'bing'tong'tiao'zhan'gong'yi'ji'jin'hui 北京病痛挑战公益基金会
'bei'jing'hu'die'jie'han'jian'bing'guan'ai'zhong'xin 北京蝴蝶结罕见病关爱中心
'bei'jing'zheng'yu'nian'duo'tang'han'jian'bing'guan'ai'zhong'xin 北京正宇粘多糖罕见病关爱中心
'ben'bing'tong'niao'zheng 苯丙酮尿症
'bing'suan'xue'zheng 丙酸血症
'bu'lin'bing 卟啉病
'chang'ran'se'ti'xian'xing'yi'chuan'xing 常染色体显性遗传性
'chang'ran'se'ti'yin'xing'duo'nang'shen'bing 常染色体隐性多囊肾病
'chao'ji'han'jian'bing 超极罕见病
'cheng'du'zi'bei'ke'gong'yi'fu'wu'zhong'xin 成都紫贝壳公益服务中心
'cheng'gu'bu'quan'zheng 成骨不全症
'chu'ji'bao'jian 初级保健
'chun'he'zi'jia'zu'xing'gao'dan'gu'chun'xue'zheng 纯合子家族性高胆固醇血症
'ci'wa'wa'han'jian'bing'guan'ai'zhong'xin 瓷娃娃罕见病关爱中心
'cui'gu'zheng 脆骨症
'da'pao'xing'biao'pi'song'jie'zheng 大疱性表皮松解症
'di'jian'xing'lin'suan'mei'xue'zheng 低碱性磷酸酶血症
'di'lin'xing'gou'lou'bing 低磷性佝偻病
'di'yi'pi'han'jian'bing'mu'lu 第一批罕见病目录
'di'zhong'hai'pin'xue 地中海贫血
'dong'mai'gan'zang'fa'yu'bu'liang'zong'he'zheng 动脉肝脏发育不良综合征
'du'shi'ji'ying'yang'bu'liang'zheng 杜氏肌营养不良症
'duo'fa'xing'gu'sui'liu 多发性骨髓瘤
'duo'fa'xing'ying'hua 多发性硬化
'duo'xi'tong'wei'suo 多系统萎缩
'duo'zao'xing'yun'dong'shen'jing'bing 多灶性运动神经病
'fa'bu'lei'bing 法布雷病
'fa'bu'lei'bing'you'hui 法布雷病友会
'fan'ke'ni'pin'xue 范可尼贫血
'fei'dian'xing'rong'xue'xing'niao'du'zheng 非典型溶血性尿毒症
'fei'dong'mai'gao'ya 肺动脉高压
'fei'gu'ji'wei'suo'zheng 腓骨肌萎缩症
'fei'nang'xing'xian'wei'hua 肺囊性纤维化
'fei'pao'dan'bai'chen'ji'zheng 肺泡蛋白沉积症
'fei'zong'he'zheng'xing'er'long 非综合征性耳聋
'feng'tang'niao'bing 枫糖尿病
'feng'tang'niao'zheng 枫糖尿症
'fu'li'man'xie'er'deng'shi'zong'he'zheng 弗里曼谢尔登氏综合征
'fu'mo'jia'xing'nian'ye'liu 腹膜假性黏液瘤
'gan'dou'zhuang'he'bian'xing 肝豆状核变性
'gao'ben'bing'an'suan'xue'zheng 高苯丙氨酸血症
'ge'wu'ji'mian'pu'zong'he'zheng 歌舞伎面谱综合征
'ge'xie'bing 戈谢病
'gong'ji'shi'tiao 共济失调
'gu'er'yao 孤儿药
'gu'er'yao'fa'an 孤儿药法案
'gu'gu'chun'xue'zheng 谷固醇血症
'gua'an'suan'xue'zheng 瓜胺酸血症
'guan'zhuang'dong'mai'kuo'zhang'bing 冠状动脉扩张病
'guang'zhou'shi'yuan'ai'xing'she'hui'gong'zuo'fu'wu'zhong'xin 广州市缘爱行社会工作服务中心
'guo'ji'han'jian'bing'yan'jiu'lian'meng 国际罕见病研究联盟
'guo'ji'han'jian'ji'bing'lian'meng 国际罕见疾病联盟
'guo'ji'han'jian'ji'bing'yan'jiu'lian'he'hui 国际罕见疾病研究联合会
'han'jian'bing 罕见病
'hei'ban'xi'rou'zong'he'zheng 黑斑息肉综合征
'heng'ting'dun'wu'dao'zheng 亨廷顿舞蹈症
'hu'die'bao'bei'guan'ai'zhong'xin 蝴蝶宝贝关爱中心
'huan'zhe'zhu'ce 患者注册
'ji'qiang'zhi'xing'ying'yang'bu'liang 肌强直性营养不良
'ji'sui'xiao'nao'xing'gong'ji'shi'tiao 脊髓小脑性共济失调
'ji'sui'xing'ji'wei'suo'zheng 脊髓性肌萎缩症
'ji'sui'yan'sui'ji'wei'suo'zheng 脊髓延髓肌萎缩症
'ji'wei'suo'ce'suo'ying'hua'zheng 肌萎缩侧索硬化症
'jia'ji'bing'er'suan'xue'zheng 甲基丙二酸血症
'jia'zu'xing'di'zhong'hai're 家族性地中海热
'jie'jie'xing'ying'hua'zheng 结节性硬化症
'jin'xing'xing'ji'ying'yang'bu'liang 进行性肌营养不良
'jin'xing'xing'jia'zu'xing'gan'nei'dan'zhi'yu'ji'zheng 进行性家族性肝内胆汁淤积症
'jing'an'suan'mei'que'fa'zheng 精氨酸酶缺乏症
'ka'er'man'zong'he'zheng 卡尔曼综合征
'ken'ni'di'bing 肯尼迪病
'lai'an'suan'niao'dan'bai'bu'nai'shou'zheng 赖氨酸尿蛋白不耐受症
'lai'lun'shi'zong'he'zheng 莱伦氏综合征
'lang'ge'han'si'zu'zhi'xi'bao'zeng'sheng'zheng 朗格汉斯组织细胞增生症
'lian'dao'xing'xi'bao'pin'xue'zheng 镰刀型细胞贫血症
'lin'ba'guan'ji'liu'bing 淋巴管肌瘤病
'lou'zhen 漏诊
'ma'fan'zong'he'zheng 马凡综合征
'mao'xi'xue'guan'kuo'zhang'zheng 毛细血管扩张症
'mei'guo'guo'li'wei'sheng'yan'jiu'yuan 美国国立卫生研究院
'mei'guo'han'jian'ji'bing'zu'zhi 美国罕见疾病组织
'nao'dong'mai'bing 脑动脉病
'ni'man'pi'ke'bing 尼曼匹克病
'nian'duo'tang'zhu'ji'zheng 黏多糖贮积症
