'an'zhu'liu'ying 暗逐流萤
'ao'bing'jin'kui 鏖兵金匮
'bai'hong'guan'ri 白虹贯日
'bai'ma'ru'lian 白马如练
'ban'chao'sheng'er'wang'fan 班超生而望返
'ban'chao'wei'ding'yuan'zhi'shi 班超为定远之使
'ban'long'mei'yu'ping'le 绊龙媒于平乐
'bei'bu'zi'sheng 悲不自胜
'bei'lin'xuan'pu 北临玄圃
'bei'que'long'yin 北阙龙吟
'ben'bu'da'yu'wei'xing 本不达于危行
'ben'chi'zou'mei 奔魑走魅
'ben'wu'qing'yu'ji'nan 本无情于急难
'beng'yu'ju'lu'zhi'sha 崩于钜鹿之沙
'bi'jian'ni'zhi'chi'sheng 彼奸逆之炽盛
'bi'ju'ya'er'gou'zhao 彼锯牙而钩爪
'bi'ling'jiang'er'jian'guo 彼凌江而建国
'bi'pai'bu'neng'jiu'yan'chi'zhi'xian 敝箄不能救盐池之咸
'bi'qie'wei'lv 逼切危虑
'bi'you'qu'gu'zhi'bei 必有去故之悲
'bian'chang'xing'zhi'ye'luo 辨常星之夜落
'bie'you'piao'yao'wu'wei 别有飘飖武威
'bin'yu'shi'si 滨于十死
'bing'heng'si'an 冰横似岸
'bing'ruo'lu'qiang 兵弱虏强
'bing'song'hua'zhi'yu'shi 禀嵩华之玉石
'bing'tian'ma'ku 兵填马窟
'bing'you'zhu'shu 并有著书
'bo'luan'zhi'zhu'hu'yan 拨乱之主忽焉
'bo'xi'shu'xi 伯兮叔兮
'bu'ke'wen'tian 不可问天
'bu'mian'zhi'dao'zhi'zai 不免轵道之灾
'bu'wu'wei'ku'zhi'ci 不无危苦之辞
'bu'you'suo'fei 不有所废
'cai'ren'zhi'yi'dai'jun 才人之忆代郡
'cai'wei'gong'zhi'lei'jin 蔡威公之泪尽
'cai'zi'bing'ming 才子并命
'cang'chuan'ying'wu'zhi'zhou 藏船鹦鹉之洲
'cang'ji'ze'zi'jin'yu'ji 藏疾则自矜于己
'cang'ying'chi'que 苍鹰赤雀
'cang'ying'ji'dian 苍鹰击殿
'cang'yun'ze'qi'chong'wei'zhen 苍云则七重围轸
'cao'mu'zhi'yu'yang'chun 草木之遇阳春
'ce'qing'luo'er'zhuan'ai 策青骡而转碍
'chai'ya'mi'li 豺牙密厉
'chan'yu'chang'wei'gao'yan 单于长围高宴
'chang'lin'gu'ying 长林故营
'chang'shan'zhi'zhen'she'ben'xue 常山之阵蛇奔穴
'chang'ting'duan'ting 长亭短亭
'chang'xing'shu'di 长星属地
'chang'zhou'mi'lu 长洲麋鹿
'chao'qin'wu'shu 巢禽无树
'chen'bai'ma'er'shi'zhong 沉白马而誓众
'chen'cai'ze'fang'cheng'qi'yu 沉猜则方逞其欲
'cheng'bai'ma'er'bu'qian 乘白马而不前
'cheng'beng'qi'fu'zhi'ku 城崩杞妇之哭
'cheng'gu'qi'gua 城孤气寡
'cheng'shi'zhe'zhi'chou'dui 称使者之酬对
'cheng'wei'shou'jiao 城危兽角
'cheng'xiang'ping'jin'hou'zhi'dai'shi 丞相平津侯之待士
'cheng'you'dan'wan 城犹弹丸
'cheng'zi'shui'yi'jiao'chuan 乘渍水以胶船
'chi'huo'xi'fen'qi 炽火兮焚旗
'chi'ming'li'zhi'zhou'yan 齿明离之胄筵
'chi'niao'ze'san'zhao'jia'ri 赤鸟则三朝夹日
'chi'ping'shu'gu 池平树古
'chi'tai'zhong'gu 池台钟鼓
'chu'di'quan'zhi'cang'niao 出狄泉之苍鸟
'chu'ge'fei'qu'le'zhi'fang 楚歌非取乐之方
'chu'jie'qin'yuan 楚结秦冤
'chu'lan'chi'er'dian'wu 出兰池而典午
'chu'lao'xiang'feng 楚老相逢
'chu'shi'qin'wang 楚实秦亡
'chu'you'ji'jin'zhe'yin'li'cheng'bian 锄耰棘矜者因利乘便
'chuan'jing'lin'jiang'zhi'fu 穿径临江之府
'chui'luo'ye'zhi'pian'zhou 吹落叶之扁舟
'chun'qiu'die'dai 春秋迭代
'ci'dong'ting'xi'luo'mu 辞洞庭兮落木
'ci'qin'tong'yu'he'luo 辞亲同于河洛
'da'dao'yi'guo 大盗移国
'da'shi'qu'yi 大事去矣
'da'shu'piao'ling 大树飘零
'da'xue'yuan'chi 大雪冤耻
'da'ze'you'jing'you'ni 大则有鲸有鲵
'dai'lu'wei'zhi'dan'yi 待芦苇之单衣
'dai'xiong'fan'er'ju'shu 待熊蹯而讵熟
'dai'yong'jia'zhi'jian'yu 逮永嘉之艰虞
'dan'zuo'guan'yu'shi'bian 但坐观于时变
'dao'gao'yu'he'shang 道高于河上
'deng'yang'cheng'er'bi'xian 登阳城而避险
'di'dao'neng'fang 地道能防
'di'ping'yu'chi 地平鱼齿
'di'ren'gui'yuan 敌人归元
'di'wei'hei'zi 地惟黑子
'di'ze'shi'gu'ming'shan 地则石鼓鸣山
'dian'xia'jiang'ou 殿狎江鸥
'diao'tai'xie'qu 钓台斜趣
'diao'tai'yi'liu 钓台移柳
'diao'zhu'chi'yuan 钓渚池圆
'ding'li'yue 定礼乐
'dong'ling'lin'dou 东陵麟斗
'dong'men'ze'bian'shi'cheng'qiao 东门则鞭石成桥
'dou'fei'yan'zhi'chuan'lou 斗飞燕之船楼
'du'lin'jin'er'heng'chuan 渡临晋而横船
'du'yuan'kai'zhi'ping'sheng 杜元凯之平生
'duan'you'mu'chi 端忧暮齿
'e'er'ti'chong'luan'wu 俄而梯冲乱舞
'e'jiao'bu'neng'zhi'huang'he'zhi'zhuo 阿胶不能止黄河之浊
'er'nai'jia'ke'xi'yu'guan'sai 尔乃假刻玺于关塞
'er'nai'jie'xia'gou'shan 尔乃桀黠构扇
'fan'huai'nan'zhi'qiong'kou 反淮南之穷寇
'fan'jiu'zhang'yu'si'li 反旧章于司隶
'fang'tang'shui'bai 方塘水白
'fei'du'si'gui'wang'zi 非独思归王子
'fei'suo'wang'yu'lun'dou 非所望于论都
'fei'wu'bei'que'zhi'bing 非无北阙之兵
'fei'yu'guan'zhi'ke'wang 非玉关之可望
'fei'yu'sou'zhi'ke'yi'shan 非愚叟之可移山
'fei'yu'zhu'zhi'neng'tiao 非玉烛之能调
'fen'nan'yang'er'ci'tian 分南阳而赐田
'fen'quan'qiu'fei 愤泉秋沸
'feng'biao'dao'zu 风飙道阻
'feng'biao'lin'ran 风飙凛然
'feng'e'ban'zhi'ji'xian 逢鄂坂之讥嫌
'feng'fei'bao'san 风飞雹散
