'an'quan'xu'yao 安全需要
'an'shi 暗示
'an'xiao'shou'liang'chou'cheng'fa 按销售量抽成法
'ba'guan'ren 把关人
'bao'zhi 报纸
'bei'zhui'qiu'gong'zhong 被追求公众
'bi'suo'yuan'ze 闭锁原则
'bian'ma 编码
'bian'ma'zhe 编码者
'biao'tong'zuo'yong 表同作用
'bu'chang'zuo'yong 补偿作用
'bu'luo'cun 部落村
'bu'shou'huan'ying'gong'zhong 不受欢迎公众
'cai'wu'gong'gong'guan'xi 财务公共关系
'can'yu'zhi 参与制
'can'zhao'qun 参照群
'cao'zuo'ce'yan 操作测验
'ce'yan'fa 测验法
'chan'pin'xing'xiang 产品形象
'chao'gong'neng'guan'xi 超功能关系
'cheng'jian'xiao'ying 成见效应
'cheng'jiu'ping'heng'xi'yin'gui'lv 成就平衡吸引规律
'cheng'shi'she'qu 城市社区
'chong'tu'xing'tai 冲突形态
'chu'ji'she'hui'qun'ti 初级社会群体
'chuan'bo'chan'ye 传播产业
'chuan'bo'dai'ma 传播代码
'chuan'bo'dui'xiang 传播对象
'chuan'bo'fu'hao 传播符号
'chuan'bo'gong'neng 传播功能
'chuan'bo'guan'xi 传播关系
'chuan'bo'jie'gou 传播结构
'chuan'bo'mei'jie'fa'zhan'si'jie'duan 传播媒介发展四阶段
'chuan'bo'mo'shi 传播模式
'chuan'bo'xiao'guo 传播效果
'chuan'bo'xue 传播学
'chuan'zhe 传者
'ci'shan'tuan'ti'gong'zhong 慈善团体公众
'ci'shu'guan'xi 次属关系
'ci'yao'gong'zhong 次要公众
'cuo'zhe 挫折
'cuo'zhe'li'lun 挫折理论
'da'zhong'chuan'bo 大众传播
'da'zhong'chuan'bo'mei'jie 大众传播媒介
'da'zhong'jiao'liu 大众交流
'da'zhong'mei'ti 大众媒体
'da'zhong'she'hui 大众社会
'da'zhong'wen'hua 大众文化
'dai'ma 代码
'dan'gong'neng'guan'xi 单功能关系
'dan'xiang'chuan'bo 单向传播
'dao'de'kong'zhi 道德控制
'di'fang'guan'xi 地方关系
'di'qiu'cun 地球村
'di'wei'he'zun'yan'xu'yao 地位和尊严需要
'di'yi'yin'xiang 第一印象
'di'yuan'qun'ti 地缘群体
'di'yuan'ren'ji'guan'xi 地缘人际关系
'dian'shi 电视
'dong'ji 动机
'dong'shi'gong'zhong 董事公众
'dou'zheng'guan'xi 斗争关系
'du'li'gong'zhong 独立公众
'dui'ge'ren'de'zhi'jue 对个人的知觉
'dui'li'guan'xi 对立关系
'duo'gong'neng'guan'xi 多功能关系
'duo'yu'xin'xi 多余信息
'fa'song'zhe 发送者
'fan'gan'guan'xi 反感关系
'fan'kui 反馈
'fan'she 反射
'fang'yu'xing'gong'gong'guan'xi 防御型公共关系
'fei'gong'zhong 非公众
'fei'yu'yan'fu'hao 非语言符号
'fei'zheng'shi'qun'ti 非正式群体
'feng'bi'ren'ji'guan'xi 封闭人际关系
'feng'bi'xing'tai 封闭形态
'fu'hao 符号
'fu'wu'bei'fu'wu'xing'ye'yuan'guan'xi 服务被服务型业缘关系
'fu'wu'xing'gong'gong'guan'xi 服务性公共关系
'fu'za'guan'xi 复杂关系
'fu'za'ren 复杂人
'gan'qing 感情
'gan'qing'tou'zi 感情投资
'gan'qing'xu'yao 感情需要
'gan'ran 感染
'gan'zhao'li 感召力
'ge'an'fa 个案法
'ge'bie'ce'yan 个别测验
'ge'ren'jue'ce 个人决策
'ge'ren'xin'li'chong'tu 个人心理冲突
'ge'ren'xu'yao'man'zu'yuan'ze 个人需要满足原则
'ge'ti'xin'li 个体心理
'ge'xing 个性
'ge'xing'ce'yan 个性测验
'ge'xing'ji'lu'biao 个性记录表
'ge'xing'xin'li'xue 个性心理学
'gong'gao'pai 公告牌
'gong'gong'guan'xi 公共关系
'gong'gong'guan'xi'cheng'xu 公共关系程序
'gong'gong'guan'xi'cong'ye'ren'yuan 公共关系从业人员
'gong'gong'guan'xi'de'dui'xiang 公共关系的对象
'gong'gong'guan'xi'diao'cha 公共关系调查
'gong'gong'guan'xi'gong'zuo 公共关系工作
'gong'gong'guan'xi'guo'cheng 公共关系过程
'gong'gong'guan'xi'huo'dong 公共关系活动
'gong'gong'guan'xi'ji'hua 公共关系计划
'gong'gong'guan'xi'mo'shi 公共关系模式
'gong'gong'guan'xi'mu'biao 公共关系目标
'gong'gong'guan'xi'xue 公共关系学
'gong'gong'guan'xi'ye'wu 公共关系业务
'gong'gong'guan'xi'zhi'ye 公共关系职业
'gong'gong'guan'xi'zhuang'tai 公共关系状态
'gong'gong'guan'xi'zi'yi 公共关系咨议
'gong'guan 公关
'gong'ji 攻击
'gong'ren'gong'zhong 工人公众
'gong'sheng'xiao'ying 共生效应
'gong'ye'she'hui 工业社会
'gong'yi 公意
'gong'zhong 公众
'gong'zhong'guan'xi 公众关系
'gong'zhong'tong'xun 公众通讯
'gong'zuo'man'zu'gan 工作满足感
'gu'dian'guan'li 古典管理
'gu'dong'gong'zhong 股东公众
'gu'dong'guan'xi 股东关系
'gu'ke'gong'zhong 顾客公众
'gu'ke'guan'xi 顾客关系
'gu'zhi 固执
'guan'cha'fa 观察法
'guan'cha'li 观察力
'guan'cha'ping'ding'fa 观察评定法
'guan'li 管理
'guan'li'fang'fa 管理方法
'guan'li'fu'du 管理幅度
'guan'li'ke'xue 管理科学
'guan'li'kua'du 管理跨度
'guan'li'kuan'tiao 管理宽调
'guan'li'xin'li'xue 管理心理学
'guan'li'xin'li'yu'xing'wei'jue'ce 管理心理与行为决策
'guan'li'zhi'neng 管理职能
'guan'xi'wang 关系网
'guan'zhong'xiao'ying 观众效应
'guang'bo 广播
'guang'gao'xin'li'xue 广告心理学
'guang'huan'xiao'ying 光环效应
'gui'shu'xu'yao 归属需要
'gui'yin 归因
'guo'ji'gong'gong'guan'xi 国际公共关系
'hai'bao 海报
'han'du 函牍
'he'mu'guan'xi 和睦关系
'heng'xiang'tong'ye'gong'zhong 横向同业公众
'hou'gong'ye'she'hui 后工业社会
'hou'guang'xiao'ying 后光效应
'hu'bu'xing'tai 互补形态
'hu'li'xing'tai 互利形态
'hu'yi'yuan'ze 互益原则
'huan'jing'jian'shi 环境监视
'hui'kui 回馈
'ji'ben'qun 基本群
'ji'ben'tai'du 基本态度
'ji'duan'xing'zhuan'yi 极端性转移
'ji'li 激励
'ji'li'yin'su 激励因素
'ji'shu'yuan'gong'zhong 技术员公众
'ji'ti'ce'yan 集体测验
'ji'ti'yi'shi 集体意识
