'a'lan're'ba'yi'you'xun 阿兰若八一由旬
'ai'ji'xing'yin'zhi'tan'zhe 爱即行淫之贪者
'ba'qian'si'qian'yu'er'qian 八千四千与二千
'ba'shan'gao'du'ban'ban'jian 八山高度半半减
'ba'shi'zhong'jie'yi'da'jie 八十中劫一大劫
'ba'wan'you'xun'mei'shui'zhong 八万由旬没水中
'ba'yu'zhi'wai'shi'liu'yu 八狱之外十六狱
'bei'ju'lu'zhou'er'bei'zeng 北俱卢洲二倍增
'bei'ju'lu'zhou'shou'qian'nian 北俱卢洲寿千年
'bei'ju'zhou'ba'si'bian'deng 北俱洲八四边等
'ben'you'ji'shi'si'you'qian 本有即是死有前
'bi'bian'ba'wan'you'xun'ye 彼边八万由旬也
'bi'bing'fei'wei'se'zhi'chu 彼并非为色之处
'bi'chu'tong'fen'yu'ming'gen 彼处同分与命根
'bi'deng'bu'de'jian'shang'jie 彼等不得见上界
'bi'deng'hou'du'yi'deng'gao 彼等厚度亦等高
'bi'deng'lin'yuan'zhi'si'fang 彼等林苑之四方
'bi'deng'qi'jian'wei'qi'hai 彼等七间为七海
'bi'deng'shou'ji'ba'wan'jian 彼等寿即八万间
'bi'deng'zhi'jian'ba'xiao'zhou 彼等之间八小洲
'bi'deng'zhi'wai'tie'wei'shan 彼等之外铁围山
'bi'ding'qu'ru'zheng'xie'dao 必定趋入正邪道
'bi'shang'ban'ban'er'di'zeng 彼上半半而递增
'bi'shang'zhu'tian'wu'liang'dian 彼上诸天无量殿
'bi'wei'nei'hai'bian'san'bei 彼为内海边三倍
'bi'zhi'qian'shu'cheng'xu'wei 彼之千数承许为
'bi'zhi'qian'shu'san'qian'jie 彼之千数三千界
'bi'zhi'shang'fang'qi'di'yu 彼之上方七地狱
'bi'zhi'xia'tian'ban'da'jie 彼之下天半大劫
'bi'zhi'zhong'yang'er'qian'wu 彼之中央二千五
'bi'zhong'di'yu'deng'wu'qu 彼中地狱等五趣
'bian'chang'er'bai'wu'you'xun 边长二百五由旬
'bian'chang'er'qian'wu'you'xun 边长二千五由旬
'bian'duan'bai'zhou'ze'xiang'fan 变短白昼则相反
'bu'ke'tui'zhuan'ji'xun'xiang 不可退转即寻香
'bu'li'zi'gen'jie'tuo'gu 不利自根解脱故
'bu'yue'ren'shou'ba'wan'jian 不越人寿八万间
'bu'zu'san'shi'zai'nei'yue 不足三十在内月
'cheng'huai'kong'jie'yi'tong'deng 成坏空劫亦同等
'cheng'jie'ji'zhi'cong'chu'feng 成劫即指从初风
'chi'man'chang'zui'zhi'yao'cha 持鬘常醉之药叉
'chi'zhou'shan'yu'dan'mu'shan 持轴山与担木山
