'bo'luo'jie'di 波罗揭谛
'bo'luo'seng'jie'di 波罗僧揭谛
'bo're'bo'luo'mi'duo'xin'jing 般若波罗蜜多心经
'bu'gou'bu'jing 不垢不净
'bu'sheng'bu'mie 不生不灭
'bu'zeng'bu'jian 不增不减
'de'a'nou'duo'luo'san'miao'san'pu'ti 得阿耨多罗三藐三菩提
'du'yi'qie'ku'e 度一切苦厄
'gu'shuo'bo're'bo'luo'mi'duo'zhou 故说般若波罗蜜多咒
'gu'zhi'bo're'bo'luo'mi'duo 故知般若波罗蜜多
'guan'zi'zai'pu'sa 观自在菩萨
'ji'shuo'zhou'yue 即说咒曰
'jie'di'jie'di 揭谛揭谛
'jiu'jing'nie'pan 究竟涅盘
'kong'bu'yi'se 空不异色
'kong'ji'shi'se 空即是色
'nai'zhi'wu'lao'si 乃至无老死
'nai'zhi'wu'yi'shi'jie 乃至无意识界
'neng'chu'yi'qie'ku'zhen'shi'bu'xu 能除一切苦真实不虚
'pu'ti'sa'duo 菩提萨埵
'pu'ti'sa'po'he 菩提萨婆诃
'san'shi'zhu'fo 三世诸佛
'se'bu'yi'kong 色不异空
'se'ji'shi'kong 色即是空
'she'li'zi 舍利子
'shi'da'ming'zhou 是大明咒
'shi'da'shen'zhou 是大神咒
'shi'gu'kong'zhong'wu'se 是故空中无色
'shi'wu'deng'deng'zhou 是无等等咒
'shi'wu'shang'zhou 是无上咒
'shi'zhu'fa'kong'xiang 是诸法空相
'shou'xiang'xing'shi 受想行识
'wu'gua'ai'gu 无挂碍故
'wu'ku'ji'mie'dao 无苦集灭道
'wu'se'sheng'xiang'wei'chu'fa 无色声香味触法
'wu'shou'xiang'xing'shi 无受想行识
'wu'wu'ming 无无明
'wu'yan'er'bi'she'shen'yi 无眼耳鼻舌身意
'wu'yan'jie 无眼界
'wu'you'kong'bu 无有恐怖
'wu'zhi'yi'wu'de 无智亦无得
'xin'wu'gua'ai 心无挂碍
'xing'shen'bo're'bo'luo'mi'duo'shi 行深般若波罗蜜多时
'yi'bo're'bo'luo'mi'duo'gu 依般若波罗蜜多故
'yi'fu'ru'shi 亦复如是
'yi'wu'lao'si'jin 亦无老死尽
'yi'wu'suo'de'gu 以无所得故
'yi'wu'wu'ming'jin 亦无无明尽
'yuan'li'dian'dao'meng'xiang 远离颠倒梦想
'zhao'jian'wu'yun'jie'kong 照见五蕴皆空
