'a'da'pa'lin 阿达帕林
'a'di'sen'bing 阿狄森病
'a'er'xin'lan 阿尔新蓝
'a'fu'ta're 阿夫他热
'a'fu'ta'xian'zhou'yan 阿弗它腺周炎
'a'gen'ting'chu'xue're 阿根廷出血热
'a'luo'xi'lin 阿洛西林
'a'mi'ba'xing'bao'pi'gui'tou'yan 阿米巴性包皮龟头炎
'a'mi'ka'xing 阿米卡星
'a'mi'ti'lin 阿米替林
'a'mo'xi'lin 阿莫西林
'a'mu'si'te'dan'zhu'ru 阿姆斯特丹侏儒
'a'si'pi'lin 阿司匹林
'a'tang'bao'gan 阿糖胞苷
'a'tang'xian'gan 阿糖腺苷
'a'ti'luo'er 阿替洛尔
'a'xi'luo'wei 阿昔洛韦
'a'zha'li'bin 阿扎利宾
'a'zha'li'ping 阿扎立平
'a'zha'ta'ding 阿扎他啶
'ai'ke'bing'du 埃可病毒
'ai'ke'bing'du'zhen 埃克病毒疹
'ai'xiao'ruan'xia'gan 矮小软下疳
'ai'yao'jing'mao'yang'zong'he'zheng 矮妖精貌样综合症
'ai'zi'bing 艾滋病
'an'ben'feng 氨苯砜
'an'ben'huang'an 氨苯磺胺
'an'ben'liu'niao 氨苯硫脲
'an'bian'xi'lin 氨苄西林
'an'dian'tong 胺碘酮
'an'die'ling 氨蝶呤
'an'ding 安定
'an'ji'ben'niao'pei'la'ge'xiao'nao'xing'gong'ji'shi'tiao 氨基本尿陪拉格小脑性共济失调
'an'ji'duo'tang'bing 氨基多糖病
'an'jia'huan'suan 氨甲环酸
'an'se'si'bao'mei'bing 暗色丝孢霉病
'an'ti'shu'tong 安体舒通
'an'xi'lin 氨西林
'ang'dan'si'qiong 昂丹司琼
'ao'ge'ting'ding 奥格汀丁
'ao'luo'ya're 奥罗亚热
'ao'sha'mi'te 奥沙米特
'ao'xi'kang'zuo 奥昔康唑
'ba'die'qiu'jun 八叠球菌
'ba'er'tong'ti'bing 巴尔通体病
'ba'jian'ji'ji'yuan 八碱基基元
'ba'jian'ji'jie'he'dan'bai 八碱基结合蛋白
'ba'long'mei'su 巴龙霉素
'ba'mao'pi 拔毛癖
'ba'pu'bai'ling 巴蒲白蛉
'ba'shi'fan'ying 巴氏反应
'ba'shi'mao'pi 拔食毛癖
'ba'si'de'tu'la're'gan'jun 巴斯德土拉热杆菌
'ba'xi'li'shi'man'yuan'chong 巴西利士曼原虫
'ba'xi'nu'ka'jun 巴西奴卡菌
'ba'xi'tian'pao'chuang 巴西天疱疮
'bai'ban'hei'pi'bing 白斑黑皮病
'bai'bu 百部
'bai'dian'bing 白点病
'bai'dian'feng 白癜风
'bai'duo'bang 百多邦
'bai'e'tu 白垩土
'bai'fa 白发
'bai'hou'bang'zhuang'gan'jun 白喉棒状杆菌
'bai'hua'bing 白化病
'bai'hua'bing'chu'xue'xing'su'zhi 白化病出血性素质
'bai'hua'bing'xue'xiao'ban'bing 白化病血小板病
'bai'jia 白甲
'bai'jie'er'bai'se'mao'jie'jie'jun 白杰尔白色毛结节菌
'bai'jie'su 白介素
'bai'la 白蜡
'bai'ling'ding'yao 白蛉叮咬
'bai'ling're 白蛉热
'bai'nei'zhang 白内障
'bai'se'hai'mian'zhuang'zhi 白色海绵状痣
'bai'se'kang'zhen 白色糠疹
'bai'se'tai'xian 白色苔藓
'bai'se'wei'suo 白色萎缩
'bai'se'zhou'zhe'bing 白色皱折病
'bai'se'zhou'zhe'xing'chi'yin'kou'qiang'yan 白色皱褶性齿龈口腔炎
'bai'xi'bao'sui'lie 白细胞碎裂
'bai'xi'bao'sui'lie'xing'xue'guan'yan 白细胞碎裂性血管炎
'bai'xi'bao'tou'xi 白细胞透析
'bai'xian 白线
'bai'xiao'an 白消安
'bai'xue'zheng'de'pi'fu'biao'xian 败血症的皮肤表现
'ban'bao'zi'wa'fen'mei'jun 半孢子蛙粪霉菌
'ban'bo'bing 斑驳病
'ban'ce'mian'fei'da 半侧面肥大
'ban'ceng 板层
'ban'ceng'ke'li 板层颗粒
'ban'ceng'su 板层素
'ban'dian're'lei 斑点热类
'ban'hen 瘢痕
'ban'hen'ge'da'xing'cuo'chuang 瘢痕疙瘩性痤疮
'ban'hen'jie'jie'bing 瘢痕结节病
'ban'hen'xing'hong'ban'pi'fu'wei'suo 瘢痕性红斑皮肤萎缩
'ban'hen'xing'lei'tian'pao'chuang 瘢痕性类天疱疮
'ban'hen'xing'tuo'fa'mao'zhou'jiao'hua'bing 瘢痕性脱发毛周角化病
'ban'hen'xing'ya'sheng'jun'bing 瘢痕型芽生菌病
'ban'kang'yuan 半抗原
'ban'kuai 斑块
'ban'kuai'xing'fu'yin'xie'bing 斑块型副银屑病
'ban'kuai'zhuang'ying'ban'bing 斑块状硬斑病
'ban'pian 斑片
'ban'qiao'li 半桥粒
'ban'qiao'li'nei'ban'kuai 半桥粒内斑块
'ban'qiu'zhen 斑丘疹
'ban'tie'shi'yan 斑贴试验
'ban'tu 斑秃
'ban'zhen 斑疹
'ban'zhen'shang'han'lei 斑疹伤寒类
'ban'zhi'xing'cuo'gou'liu'bing 斑痣性错构瘤病
'ban'zhuang'dian'fen'yang'bian 斑状淀粉样变
'ban'zhuang'pi'fu'wei'suo 斑状皮肤萎缩
'ban'zhuang'wei'suo 斑状萎缩
'ban'zhuang'wei'suo'xing'pi'yan 斑状萎缩性皮炎
'bang'zhuang'gan'jun'shu 棒状杆菌属
'bao'ban'zhuang'bai'dian'feng 豹斑状白癜风
'bao'bi'xian'er'tai'lei 胞壁酰二肽类
'bao'chong'bing 包虫病
'bao'fa'xing'zi'dian 暴发性紫癜
'bao'han'you 包涵疣
'bao'mo 包膜
'bao'pi'gui'tou'yan 包皮龟头炎
'bao'wen'yang'qiu'zhen'bing 鲍温样丘疹病
'bao'zhi'nei'bao'han'ti 胞质内包涵体
'bao'zi'chong'gang 孢子虫纲
'bao'zi'si'jun'bing 孢子丝菌病
'bao'zong'he'zheng 豹综合征
'bei'bu'tan'xing'xian'wei'liu 背部弹性纤维瘤
'bei'ke'yang'xiao'ti 贝壳样小体
'bei'mo'ke'li 被膜颗粒
'bei'ta'mi'song 倍他米松
'bei'ta'mi'song'wu'suan'zhi 倍他米松戊酸酯
'ben'bing'an 苯丙胺
'ben'bing'suan'nuo'long 苯丙酸诺龙
'ben'bing'tong'niao'zheng 苯丙酮尿症
'ben'ding'suan'dan'jie 苯丁酸氮芥
'ben'e'luo'fen 苯恶洛芬
'ben'jia'chun 苯甲醇
'ben'jia'suan 苯甲酸
'ben'jia'suan'xia'zhi 苯甲酸下酯
'ben'jia'xian'ben'yi'xi 苯甲酰苯乙烯
'ben'zuo'ka'yin 苯佐卡因
'ben'zuo'ka'yin 苯唑卡因
'ben'zuo'xi'lin 苯唑西林
'beng'kui'xing'gui'tou'yan 崩溃性龟头炎
'beng'shi'xing'ruan'xia'gan 崩蚀性软下疳
'bi'bao'zi'jun'bing 鼻孢子菌病
'bi'bing'du 鼻病毒
'bi'heng'gou 鼻横沟
'bi'hong'li'bing 鼻红粒病
'bi'ju 鼻疽
'bi'lu'you 秘鲁疣
'bi'luo'wan'tong 吡咯烷酮
'bi'ma'you 蓖麻油
'bi'mai'sen 必麦森
'bi'mao'jia'xing'mao'nang'yan 鼻毛假性毛囊炎
'bi'qin'xian'an 吡嗪酰胺
