'ai'lan'sha 埃兰沙
'an'lu 安庐
'an'ru'shi 安如是
'ba'ya 巴雅
'bu'ye 步夜
'cang'yang 苍阳
'chen'yu'yan 陈喻言
'da'jing 大景
'han'jiang 寒江
'hua'chen 花忱
'hua'jia'jun'zhu 花家郡主
'hua'jia'shi'zi 花家世子
'hua'qing 华清
'hua'yi'shan'xin'zhi'yue 花亦山心之月
'hua'zhao'lu 花诏录
'hua'zhao'zhi'jing 花朝之竟
'ji'yuan'qi 季元启
'jia'hua 伽华
'jin'lan 金兰
'jing'mo 惊墨
'jing'yu'xun'bao 景域寻宝
'ling'xi 灵息
'ling'yan'ru 凌晏如
'ming'yong 明雍
'ming'yong'hui'wu 明雍会武
'ming'yong'shu'yuan 明雍书院
'mo'hai 漠海
'nan'tang 南塘
'ping'luan'si'fang 平乱四方
'qi'an 齐安
'qi'fu'zhao'cai 祈福招彩
'qian'li'jing'cheng 千里景城
'qian'men'li'lian 乾门历练
'qie'cuo'ji'xing 切磋纪行
'qing'feng'lun'dao 青锋论道
'qu'rong 渠戎
'shu'zhong 蜀中
'si'yi'zhi'zheng 四艺之争
'tian'jing'bai'wen 天景百问
'tian'quan 天泉
'wan'yan'yi 完颜逸
'wei'yang 未央
'wen'si'you 文思宥
'wu'lan 邬兰
'xie'xing'yi 谢行逸
'xuan'jing 宣京
'xuan'wang'jun 宣望钧
'xuan'xing'zhi 宣行之
'xun'lu'xin'fu 寻路心府
'yi'lan'tian 弋兰天
'yi'wang'gu'ji 伊王古迹
'yin'zhu 银珠
'yu'hu 玉胡
'yu'liang 玉粱
'yu'ze 玉泽
'yue'lian 月怜
'yue'yang 越阳
'yun'wu'ji 云无羁
'zhao'yang'gong'zhu 昭阳公主
