'a'dun 阿顿
'a'er'wei'si 阿尔维斯
'a'er'wei'si'xiu'li'zhuang'zhi 阿尔维斯修理装置
'a'ge'ma'bing'cang'shi 阿格玛冰藏师
'a'ge'ma'jing'gu'lie'ren 阿格玛鲸骨猎人
'a'ge'ma'ling'lu'ren 阿格玛领路人
'a'ge'ma'zao'bing'ke 阿格玛凿冰客
'ai'xi 埃西
'ai'xi'gu'long 埃西骨龙
'an'bu'luo'si 安布罗斯
'an'guang'yuan'ling 暗光源灵
'an'hei'qi'shi'lu 暗黑启示录
'an'hei'yuan'ling'wang 暗黑源灵王
'an'wen'tai'zhi'yan 安文泰之眼
'an'wen'tai'zhi'zhao 安文泰之爪
'an'ye'mo'wang 黯夜魔王
'an'ye'xin'tu 黯夜信徒
'an'yi'ao'shu'shi 暗裔奥术师
'an'yi'da'shi 暗裔大师
'an'yi'fu'sheng'shi 暗裔复生尸
'an'yi'po'xi'zhe 暗裔破袭者
'an'yi'qian'xing'zhe 暗裔潜行者
'an'yi'qie'mi'ren 暗裔窃密人
'an'yi'zhi'hun 暗裔之魂
'an'ying'mo 暗影魔
'an'zhen'gui'lei 暗针诡雷
'an'zhong'qie'qu 暗中窃取
'ao'shu'hua'xiang'yi 奥术滑翔翼
'ao'shu'xue'tu 奥术学徒
'ao'shu'yuan'ling 奥术源灵
'ao'shu'zhi'dao'yi 奥术制导仪
'ba'er 巴尔
'bai'gu'zhan'che 白骨战车
'bai'kai'jiao'xi 白铠角犀
'ban'jia'yan'mao 伴驾魇猫
'ban'zhou'pen'huo'yi 绊咒喷火仪
'bao'chou'xue'hen 报仇雪恨
'bao'lei'xing'ka'la'nuo 堡垒型卡拉诺
'bao'lie'yan'mo 爆裂炎魔
'bao'lie'yan'tuan 爆裂焰团
'bao'nue'ka'la'nuo 暴虐卡拉诺
'bao'qun'yan'hu 孢群掩护
'bao'xue'si'nue 暴雪肆虐
'bei'jing'cheng'qiang 北境城墙
'bei'lei'hua'ji'sheng 蓓蕾花寄生
'bei'shui'yi'zhan 背水一战
'bei'zhan'yuan'ling 备战源灵
'ben'lei'da'jun 奔雷大军
'ben'zhuo'de'jiang'shi 笨拙的僵尸
'bi'hu'yuan'ling 庇护源灵
'bian'jing'xie'mei 边境邪魅
'bing'feng'yu'qun 冰风鱼群
'bing'hu'ya'long 冰湖亚龙
'bing'lao 冰牢
'bing'leng'wei'shi 冰棱卫士
'bing'yuan'shi'hun'guai 冰原噬魂怪
'bing'zhao'shui'ling 冰沼水灵
'bing'zhao'yuan'ling 冰沼怨灵
'bo'duo 剥夺
'bo'hui 驳回
'bo'leng'ke'li'jian'cheng 伯棱克利坚城
'bo'leng'ke'li'jing'rui'qi'bing 伯棱克利精锐骑兵
'bo'leng'ke'li'kuang'zhan'shi 伯棱克利狂战士
'bo'leng'ke'li'lie'shou'zhe 伯棱克利猎首者
'bo'leng'ke'li'qing'nian'jun 伯棱克利青年军
'bo'leng'ke'li'shen'su'chi'hou 伯棱克利神速斥候
'bo'leng'ke'li'tu'ji'zhe 伯棱克利突击者
'bo'leng'ke'li'xian'zhen'bing 伯棱克利陷阵兵
'bo'leng'ke'li'xue'yi'yong'zhe 伯棱克利血仪勇者
'bo'leng'ke'li'zhi'qi'shou 伯棱克利执旗手
'bo'leng'ke'li'zhong'jia'bing 伯棱克利重甲兵
'bu'lu'tu 布鲁图
'bu'mie'wei'luo'yao 不灭维罗妖
'bu'qu'de'wei'bing 不屈的卫兵
'bu'rong'sheng'xi 不容生息
'bu'si'jun'wang 不死君王
'bu'si'shi'shi'gui 不死食尸鬼
'bu'xi'yuan'ling 不熄源灵
'bu'xiu'shi'xiang 不朽石像
'cai'bian 踩扁
'cai'jue'zhi'shi 裁决执事
'chan'zhi'hua'ji'sheng 缠枝花寄生
'che'di'cui'hui 彻底摧毁
'che'gu'shen'han 彻骨深寒
'chen'yan'yuan'su 尘烟元素
'cheng'fa'zhi'bian 惩罚之鞭
'cheng'jie'tian'shi 惩戒天使
'chi'cheng'tai'ma'ha 赤诚泰马哈
'chi'ji'yuan'ling 炽棘源灵
'chi'yi'mu'shi 炽翼牧师
'chi'yi'xin'tu 炽翼信徒
'chi'yi'zhen'xuan'guan 炽翼甄选官
'chong'sheng'gu'qiang 重生骨墙
'chong'su'cai'lin 重塑彩鳞
'chuang'shi'shen'wei'she 创世神威慑
'chun'zhi'ci'fu 春之赐福
'ci'fu'tian'shi 赐福天使
'ci'si 赐死
'ci'yi'tian'shi 赐翼天使
'ci'yu'yong'qi 赐予勇气
'cong'lin'ni'xi 丛林逆袭
'cong'sheng'shu'jing 丛生树精
'cui'du'yao'ji 淬毒药剂
'cui'ku'la'xiu 摧枯拉朽
'cui'lv'yuan'ling'wang 翠绿源灵王
'da'dan'hua'xiang'ke 大胆滑翔客
'da'di'sheng'hui 大地生辉
'da'dong'shu 打洞鼠
'da'fa'shi'zhi'huo 大法师之擭
'da'jiu'xing'a'er'wei'si 大救星阿尔维斯
'dai'ci'fen'fang 带刺芬芳
'dai'de'la'di'gong'jie'ling 戴德拉地宫界灵
'dai'de'la'lu'ba 戴德拉路霸
'dai'de'la'shou'hu'ling 戴德拉守护灵
'dai'de'la'yuan'ling 戴德拉怨灵
'di'jing'kong'qi 涤净空气
'di'xia'jiao'yi 地下交易
'di'xia'jie'e'quan 地下街恶犬
'di'xia'jie'hao'zu 地下街豪族
'di'xia'jie'kuai'shou 地下街快手
'di'xia'lue'duo'zhe 地下掠夺者
'di'xia'nue'xing'zhe 地下虐刑者
'di'yu'yuan'ling 低语源灵
'dian'liu'yuan'su 电流元素
'dong'yong'chong'zhuang'qi'shi 冬拥重装骑士
'dong'yong'ju'shi'ling 冬拥巨石灵
'dong'yong'long'shou'ju'jian 冬拥龙首巨舰
'dong'yong'long'yu'ji 冬拥龙语姬
'dong'yong'shuang'long'qi'shi 冬拥霜龙骑士
'dong'yong'ya'long 冬拥亚龙
'dong'yong'zhen'yan'shi 冬拥真言士
'dong'yun'han'ling 冻云寒灵
'du'mang'xing'ka'la'nuo 毒芒型卡拉诺
'du'wang'ye'mei 渡亡夜魅
'duan'nu'yan'ling 锻怒炎灵
'duo'zu'yuan'ling 多足源灵
'e'mo'juan'gu 恶魔眷顾
'e'mo'zhi'chu 恶魔之触
'e'zhang'ming'ling 恶瘴冥灵
'en'guang'xiao'rong 恩光消融
'fa'er'kao 法尔考
'fa'er'kao'de'jia'jiang 法尔考的嘉奖
'fa'er'kao'zhi'dun 法尔考之盾
'fa'li'tiao'jiao 法力调教
'fa'shu'fu'song'ou 法术复诵偶
'fa'yuan'xi'fu'zhuang'zhi 发源吸附装置
'fan'hun'chong'sheng 返魂重生
'fan'ming'e'mo 返命恶魔
'fang'xie'liao'fa 放血疗法
'fei'cui'gu'shen 翡翠古神
'fei'cui'zhi'jiao 翡翠之角
'fei'luo'meng 费洛蒙
'fei'luo'meng'chu'shou 费洛蒙触手
'fei'luo'meng'cuo'luan'duo'tou'long 费洛蒙错乱多头龙
'fei'te'lie 腓特烈
'fen'jian'shi'cong'guai 分拣侍从怪
'fen'lie'xing'ka'la'nuo 分裂型卡拉诺
