'bian'zao'zhuo'ru 便遭浊辱
'bu'ming'dao'de 不名道德
'chang'chen'ku'hai 常沉苦海
'chang'neng'qian'qi'yu 常能遣其欲
'chang'qing'jing'yi 常清静矣
'chang'yang'wan'wu 长养万物
'chang'ying'chang'jing 常应常静
'cheng'qi'xin 澄其心
'cheng'qi'xin'er'shen'zi'qing 澄其心而神自清
'cheng'xin 澄心
'cheng'xin'qian'yu'qing'shen 澄心遣欲清神
'da'dao'wu'ming 大道无名
'da'dao'wu'qing 大道无情
'da'dao'wu'xing 大道无形
'de'wu'dao'zhe 得悟道者
'dong'zhe 动者
'dong'zhe'jing'zhi'ji 动者静之基
'er'shen'zi'qing 而神自清
'er'sheng'wan'wu 而生万物
'er'xin'rao'zhi 而心扰之
'er'xin'zi'jing 而心自静
'er'yu'qian'zhi 而欲牵之
'fan'nao'wang'xiang 烦恼妄想
'fu'dao'zhe 夫道者
'fu'ren'shen'hao'qing 夫人神好清
'fu'ren'shen'hao'qing'er'xin'rao'zhi 夫人神好清而心扰之
'guan'kong'yi'kong 观空亦空
'ji'jing'qi'shen 即惊其神
'ji'jing'qi'shen 既惊其神
'ji'ru'zhen'dao 既入真道
'ji'sheng'tan'qiu 即生贪求
'ji'sheng'tan'qiu 既生贪求
'ji'shi'fan'nao 即是烦恼
'ji'shi'zhen'jing 即是真静
'ji'wu'suo'ji 寂无所寂
'ji'you'wang'xin 既有妄心
'ji'zhuo'wan'wu 即著万物
'ji'zhuo'wan'wu 既著万物
'jian'ru'zhen'dao 渐入真道
'jiang'ben'liu'mo 降本流末
'jing'zhi'ji 静之基
'ke'chuan'sheng'dao 可传圣道
'kong'wu'suo'kong 空无所空
'lao'jun'yue 老君曰
'liu'lang'sheng'si 流浪生死
'liu'yu'bu'sheng 六欲不生
'ming'wei'de'dao 名为得道
'nan'dong'nv'jing 男动女静
'nan'qing'nv'zhuo 男清女浊
'nan'qing'nv'zhuo'nan'dong'nv'jing 男清女浊男动女静
'nei'guan'qi'xin 内观其心
'neng'qian'qi'yu 能遣其欲
'neng'qian'zhi'zhe 能遣之者
'neng'wu'zhi'zhe 能悟之者
'qian'qi'yu 遣其欲
'qian'yu 遣欲
'qiang'ming'yue'dao 强名曰道
'qing'qi'shen 清其神
'qing'shen 清神
'qing'zhe 清者
'qing'zhe'zhuo'zhi'yuan 清者浊之源
'ren'neng'chang'qing'jing 人能常清静
'ren'shen'hao'qing 人神好清
'ren'xin'hao'jing 人心好静
'ru'ci'qing'jing 如此清静
'san'du'xiao'mie 三毒消灭
'san'zhe'ji'wu 三者既悟
'shang'de'bu'de 上德不德
'shang'shi'wu'zheng 上士无争
'shen'zi'qing 神自清
'sheng'yu'tian'di 生育天地
'shi'wu'suo'de 实无所得
'sui'ming'de'dao 虽名得道
'suo'kong'ji'wu 所空既无
'suo'yi'bu'neng'zhe 所以不能者
'tian'di'xi'jie'gui 天地悉皆归
'tian'dong'di'jing 天动地静
'tian'qing'di'zhuo 天清地浊
'tian'qing'di'zhuo'tian'dong'di'jing 天清地浊天动地静
'wai'guan'qi'xing 外观其形
'wei'hua'zhong'sheng 为化众生
'wei'jian'yu'kong 唯见於空
'wei'xin'wei'cheng 为心未澄
'wei'you'wang'xin 为有妄心
'wu'bu'zhi'qi'ming 吾不知其名
'wu'wu'ji'wu 无无既无
'wu'wu'qi'wu 物无其物
'wu'wu'yi'wu 无无亦无
'wu'zhe'zi'de 悟者自得
'xia'de'zhi'de 下德执德
'xia'shi'hao'zheng 下士好争
'xin'wei'cheng 心未澄
'xin'wu'qi'xin 心无其心
'xin'zi'jing 心自静
'xing'wu'qi'xing 形无其形
'yong'shi'zhen'dao 永失真道
'you'dong'you'jing 有动有静
'you'ku'shen'xin 忧苦身心
'you'qing'you'zhuo 有清有浊
'you'qing'you'zhuo'you'dong'you'jing 有清有浊有动有静
'yu'ji'bu'sheng 欲既不生
'yu'qi'neng'sheng 欲岂能生
'yu'wei'qian'ye 欲未遣也
'yuan'guan'qi'wu 远观其物
'yun'xing'ri'yue 运行日月
'zhan'ran'chang'ji 湛然常寂
'zhen'chang'de'xing 真常得性
'zhen'chang'ying'wu 真常应物
'zhen'chang'zhi'dao 真常之道
'zhi'zhuo'zhi'zhe 执著之者
'zhong'sheng'suo'yi'bu'de'zhen'dao'zhe 众生所以不得真道者
'zhuo'zhi'yuan 浊之源
'zi'de 自得
'zi'ran'liu'yu'bu'sheng 自然六欲不生
